Date,Adj Close_PAYTM.NS,Close_PAYTM.NS,High_PAYTM.NS,Low_PAYTM.NS,Open_PAYTM.NS,Volume_PAYTM.NS,Date
2021-11-15,1560.800048828125,1560.800048828125,1955.0,1560.0,1950.0,23955434,2021-11-15
2021-11-22,1782.5999755859375,1782.5999755859375,1873.699951171875,1271.0,1509.0,79155613,2021-11-22
2021-11-29,1648.3499755859375,1648.3499755859375,1810.0,1592.0,1700.0,10470479,2021-11-29
2021-12-06,1567.550048828125,1567.550048828125,1680.050048828125,1525.0999755859375,1658.0,5685291,2021-12-06
2021-12-13,1321.0,1321.0,1578.75,1296.0,1578.0,20093450,2021-12-13
2021-12-20,1369.550048828125,1369.550048828125,1385.0,1290.0,1321.0,6311475,2021-12-20
2021-12-27,1334.550048828125,1334.550048828125,1379.1500244140625,1325.0999755859375,1365.0,4140558,2021-12-27
2022-01-03,1231.5999755859375,1231.5999755859375,1350.0,1230.0,1335.0,7395259,2022-01-03
2022-01-10,1118.5999755859375,1118.5999755859375,1230.0,1000.0,1230.0,39386465,2022-01-10
2022-01-17,960.2999877929688,960.2999877929688,1145.9000244140625,952.2999877929688,1127.699951171875,26920040,2022-01-17
2022-01-24,903.0499877929688,903.0499877929688,960.2999877929688,875.0,960.2999877929688,18703232,2022-01-24
2022-01-31,953.2999877929688,953.2999877929688,994.0,911.0,920.0,12434705,2022-01-31
2022-02-07,906.5,906.5,984.5,881.2999877929688,941.0,8757034,2022-02-07
2022-02-14,833.4000244140625,833.4000244140625,895.9500122070312,831.0,895.9500122070312,9793944,2022-02-14
2022-02-21,789.3499755859375,789.3499755859375,837.0499877929688,771.1500244140625,832.5,10630062,2022-02-21
2022-02-28,784.8499755859375,784.8499755859375,817.4500122070312,772.4000244140625,785.7999877929688,5307408,2022-02-28
2022-03-07,775.0499877929688,775.0499877929688,795.7999877929688,728.0499877929688,774.8499755859375,7521853,2022-03-07
2022-03-14,597.0499877929688,597.0499877929688,719.0,572.0,675.0,89569716,2022-03-14
2022-03-21,546.0,546.0,595.0,521.0,595.0,80658963,2022-03-21
2022-03-28,571.2999877929688,571.2999877929688,582.4500122070312,523.5,552.0,32739329,2022-03-28
2022-04-04,616.9500122070312,616.9500122070312,657.4000244140625,572.4000244140625,579.0,54483847,2022-04-04
2022-04-11,691.2000122070312,691.2000122070312,719.7000122070312,616.5,619.0,47765606,2022-04-11
2022-04-18,625.5999755859375,625.5999755859375,694.5,622.2999877929688,682.7000122070312,26051644,2022-04-18
2022-04-25,581.6500244140625,581.6500244140625,623.0,580.0,620.0,17980215,2022-04-25
2022-05-02,568.0,568.0,608.7000122070312,546.6500244140625,577.8499755859375,14174994,2022-05-02
2022-05-09,543.1500244140625,543.1500244140625,573.0,510.04998779296875,563.7000122070312,13663470,2022-05-09
2022-05-16,575.5,575.5,606.2999877929688,547.5999755859375,555.0,17317759,2022-05-16
2022-05-23,616.2999877929688,616.2999877929688,652.0,552.0,561.0,41405684,2022-05-23
2022-05-30,623.4500122070312,623.4500122070312,676.9000244140625,620.3499755859375,622.0,17210044,2022-05-30
2022-06-06,600.5,600.5,639.4000244140625,594.0,616.0,11298764,2022-06-06
2022-06-13,630.1500244140625,630.1500244140625,648.0,578.0,590.0,25797965,2022-06-13
2022-06-20,648.0499877929688,648.0499877929688,659.0,618.2000122070312,642.0,13557033,2022-06-20
2022-06-27,657.0,657.0,723.5999755859375,651.0499877929688,651.0499877929688,31712555,2022-06-27
2022-07-04,698.75,698.75,706.0,632.0,660.0499877929688,15118284,2022-07-04
2022-07-11,709.3499755859375,709.3499755859375,739.1500244140625,692.0,703.0,17530012,2022-07-11
2022-07-18,743.0499877929688,743.0499877929688,749.4000244140625,708.6500244140625,715.0,9978809,2022-07-18
2022-07-25,706.7999877929688,706.7999877929688,763.2999877929688,678.0999755859375,737.7000122070312,13388569,2022-07-25
2022-08-01,784.2999877929688,784.2999877929688,825.0,707.4500122070312,708.0,23758362,2022-08-01
2022-08-08,787.2999877929688,787.2999877929688,844.7000122070312,775.0,784.0,22297260,2022-08-08
2022-08-15,772.0999755859375,772.0999755859375,799.9000244140625,766.8499755859375,787.2999877929688,6302531,2022-08-15
2022-08-22,762.0499877929688,762.0499877929688,800.0,760.0,790.0,6919616,2022-08-22
2022-08-29,727.2000122070312,727.2000122070312,747.4000244140625,714.0999755859375,747.0,5472733,2022-08-29
2022-09-05,727.9000244140625,727.9000244140625,740.0,681.0,700.0,7518714,2022-09-05
2022-09-12,718.5999755859375,718.5999755859375,748.0,686.8499755859375,730.0,6861087,2022-09-12
2022-09-19,692.5999755859375,692.5999755859375,725.0,680.0499877929688,720.5,4901595,2022-09-19
2022-09-26,637.9500122070312,637.9500122070312,692.5999755859375,629.5499877929688,691.0999755859375,3540085,2022-09-26
2022-10-03,707.4500122070312,707.4500122070312,711.1500244140625,641.75,644.75,4561303,2022-10-03
2022-10-10,681.5,681.5,745.4500122070312,676.5999755859375,707.0,6170654,2022-10-10
2022-10-17,629.5999755859375,629.5999755859375,680.7999877929688,625.0,676.0,4435952,2022-10-17
2022-10-24,642.8499755859375,642.8499755859375,663.7999877929688,631.0499877929688,643.0,2859813,2022-10-24
2022-10-31,650.3499755859375,650.3499755859375,659.5,635.5999755859375,645.0,4133281,2022-10-31
2022-11-07,632.0,632.0,668.4000244140625,624.0999755859375,653.0,3950861,2022-11-07
2022-11-14,547.0,547.0,654.9000244140625,526.9000244140625,642.0,74585687,2022-11-14
2022-11-21,465.20001220703125,465.20001220703125,553.0,438.3500061035156,546.0,78920421,2022-11-21
2022-11-28,536.9500122070312,536.9500122070312,543.6500244140625,441.0,444.0,76076453,2022-11-28
2022-12-05,544.5999755859375,544.5999755859375,548.7000122070312,506.0,543.75,46087586,2022-12-05
2022-12-12,528.0,528.0,554.4500122070312,524.5,544.5999755859375,26216377,2022-12-12
2022-12-19,476.1000061035156,476.1000061035156,532.7999877929688,472.0,528.9000244140625,10348976,2022-12-19
2022-12-26,531.0,531.0,541.7000122070312,479.0,479.0,15826147,2022-12-26
2023-01-02,551.3499755859375,551.3499755859375,563.6500244140625,527.0499877929688,531.0,14137304,2023-01-02
2023-01-09,560.0999755859375,560.0999755859375,583.75,528.0999755859375,566.2000122070312,57858089,2023-01-09
2023-01-16,550.8499755859375,550.8499755859375,565.7999877929688,522.6500244140625,561.0,17730478,2023-01-16
2023-01-23,513.4000244140625,513.4000244140625,567.6500244140625,508.1000061035156,550.8499755859375,12577407,2023-01-23
2023-01-30,524.9500122070312,524.9500122070312,548.4000244140625,511.79998779296875,516.0,13761855,2023-01-30
2023-02-06,650.5499877929688,650.5499877929688,738.7000122070312,543.0499877929688,556.0,159701231,2023-02-06
2023-02-13,626.8499755859375,626.8499755859375,678.7000122070312,620.6500244140625,652.0,22545021,2023-02-13
2023-02-20,623.5,623.5,638.3499755859375,601.2999877929688,624.75,16802546,2023-02-20
