Date,Adj Close_PAYTM.NS,Close_PAYTM.NS,High_PAYTM.NS,Low_PAYTM.NS,Open_PAYTM.NS,Volume_PAYTM.NS,Date
2023-02-27,627.9000244140625,627.9000244140625,656.2999877929688,578.7000122070312,637.7999877929688,31736359,2023-02-27
2023-03-06,593.0499877929688,593.0499877929688,635.5,589.0999755859375,630.7000122070312,8667956,2023-03-06
2023-03-13,578.3499755859375,578.3499755859375,612.7999877929688,563.0499877929688,593.0,19326573,2023-03-13
2023-03-20,619.4500122070312,619.4500122070312,638.7999877929688,556.0499877929688,575.0,34172832,2023-03-20
2023-03-27,636.7999877929688,636.7999877929688,655.9000244140625,609.0,623.4500122070312,25137226,2023-03-27
2023-04-03,645.7999877929688,645.7999877929688,656.0,631.0,641.0,9562616,2023-04-03
2023-04-10,650.9000244140625,650.9000244140625,667.0,642.2999877929688,648.0,10209401,2023-04-10
2023-04-17,655.0499877929688,655.0499877929688,669.0,637.0,650.9000244140625,11309838,2023-04-17
2023-04-24,653.5999755859375,653.5999755859375,674.25,641.0,658.0,10589103,2023-04-24
2023-05-01,689.5999755859375,689.5999755859375,697.5999755859375,653.5999755859375,653.5999755859375,12781721,2023-05-01
2023-05-08,687.8499755859375,687.8499755859375,742.0,683.0999755859375,695.0,45678929,2023-05-08
2023-05-15,710.1500244140625,710.1500244140625,728.9500122070312,688.1500244140625,689.0,13081725,2023-05-15
2023-05-22,706.1500244140625,706.1500244140625,728.25,704.0499877929688,720.5,10358847,2023-05-22
2023-05-29,717.0,717.0,721.75,692.8499755859375,709.4000244140625,10227321,2023-05-29
2023-06-05,814.2999877929688,814.2999877929688,822.0,707.0,724.9500122070312,45492336,2023-06-05
2023-06-12,895.1500244140625,895.1500244140625,909.9000244140625,793.7999877929688,818.2999877929688,46891369,2023-06-12
2023-06-19,841.7000122070312,841.7000122070312,914.9500122070312,834.4500122070312,894.0,19461767,2023-06-19
2023-06-26,867.8499755859375,867.8499755859375,870.9500122070312,833.2999877929688,841.7000122070312,8333877,2023-06-26
2023-07-03,850.7000122070312,850.7000122070312,875.9500122070312,833.1500244140625,871.7999877929688,11353842,2023-07-03
2023-07-10,850.75,850.75,867.5999755859375,801.2999877929688,851.0,16898175,2023-07-10
2023-07-17,844.2999877929688,844.2999877929688,864.9000244140625,825.0999755859375,854.7000122070312,9306491,2023-07-17
2023-07-24,762.9000244140625,762.9000244140625,857.5499877929688,752.0,840.0,28561966,2023-07-24
2023-07-31,796.5999755859375,796.5999755859375,815.9000244140625,760.0,760.0,14603382,2023-07-31
2023-08-07,864.5499877929688,864.5499877929688,887.7000122070312,825.0499877929688,865.0,24886951,2023-08-07
2023-08-14,859.8499755859375,859.8499755859375,890.4000244140625,840.7999877929688,865.0,8933108,2023-08-14
2023-08-21,899.2000122070312,899.2000122070312,938.6500244140625,830.25,848.7999877929688,27028047,2023-08-21
2023-08-28,857.4000244140625,857.4000244140625,905.2999877929688,850.0,903.1500244140625,18683023,2023-08-28
2023-09-04,905.4000244140625,905.4000244140625,919.5,850.0,865.0,13422808,2023-09-04
2023-09-11,885.1500244140625,885.1500244140625,921.0,825.0,920.0,21790809,2023-09-11
2023-09-18,850.0,850.0,885.5,835.0999755859375,881.9000244140625,5538812,2023-09-18
2023-09-25,857.7000122070312,857.7000122070312,873.0,834.2999877929688,846.4000244140625,5607559,2023-09-25
2023-10-02,928.2999877929688,928.2999877929688,936.7000122070312,850.0999755859375,857.7000122070312,12608795,2023-10-02
2023-10-09,933.0999755859375,933.0999755859375,983.5499877929688,891.0,917.5,16315725,2023-10-09
2023-10-16,987.6500244140625,987.6500244140625,998.2999877929688,925.0,939.2999877929688,15088773,2023-10-16
2023-10-23,896.3499755859375,896.3499755859375,992.0,870.0,987.0,18186078,2023-10-23
2023-10-30,904.0499877929688,904.0499877929688,952.6500244140625,896.0,904.9000244140625,11478885,2023-10-30
2023-11-06,894.1500244140625,894.1500244140625,915.0,876.0499877929688,913.8499755859375,10728737,2023-11-06
2023-11-13,888.4000244140625,888.4000244140625,924.9500122070312,870.9000244140625,891.0,13003964,2023-11-13
2023-11-20,892.5499877929688,892.5499877929688,926.9500122070312,877.1500244140625,895.0,30158781,2023-11-20
2023-11-27,870.6500244140625,870.6500244140625,895.0,862.0999755859375,892.5499877929688,40750601,2023-11-27
2023-12-04,651.25,651.25,881.1500244140625,637.0,878.3499755859375,61099802,2023-12-04
2023-12-11,606.0999755859375,606.0999755859375,667.0,592.7000122070312,664.9000244140625,49139423,2023-12-11
2023-12-18,642.2000122070312,642.2000122070312,650.5999755859375,606.0499877929688,610.0,41311516,2023-12-18
2023-12-25,635.4500122070312,635.4500122070312,644.9000244140625,630.0,642.2000122070312,10178656,2023-12-25
2024-01-01,685.1500244140625,685.1500244140625,688.0,636.6500244140625,637.0,23458532,2024-01-01
2024-01-08,692.4500122070312,692.4500122070312,702.9500122070312,676.2000122070312,687.0,15833517,2024-01-08
2024-01-15,773.5999755859375,773.5999755859375,789.0,692.4500122070312,692.4500122070312,30713063,2024-01-15
2024-01-22,763.0499877929688,763.0499877929688,793.0,736.5999755859375,773.5999755859375,14663648,2024-01-22
2024-01-29,487.20001220703125,487.20001220703125,774.2999877929688,487.20001220703125,763.9500122070312,19592657,2024-01-29
2024-02-05,419.8500061035156,419.8500061035156,528.0,395.0,438.5,127653157,2024-02-05
2024-02-12,341.29998779296875,341.29998779296875,435.5,318.04998779296875,430.04998779296875,67511407,2024-02-12
2024-02-19,407.75,407.75,407.75,358.3500061035156,358.3500061035156,32304416,2024-02-19
2024-02-26,423.45001220703125,423.45001220703125,449.5,385.8999938964844,420.0,51933478,2024-02-26
2024-03-04,400.75,400.75,424.20001220703125,384.1000061035156,410.79998779296875,13235669,2024-03-04
2024-03-11,370.70001220703125,370.70001220703125,409.95001220703125,334.25,409.95001220703125,18365383,2024-03-11
2024-03-18,402.3500061035156,402.3500061035156,437.3999938964844,373.04998779296875,379.0,30237750,2024-03-18
2024-03-25,402.6499938964844,402.6499938964844,415.29998779296875,394.0,402.3500061035156,9306009,2024-03-25
2024-04-01,417.54998779296875,417.54998779296875,422.6499938964844,400.0,402.75,9487272,2024-04-01
2024-04-08,391.6000061035156,391.6000061035156,422.1499938964844,388.0,418.0,6495129,2024-04-08
2024-04-15,377.8500061035156,377.8500061035156,409.0,377.0,381.0,5585554,2024-04-15
2024-04-22,376.8999938964844,376.8999938964844,391.3500061035156,375.54998779296875,382.95001220703125,5633197,2024-04-22
2024-04-29,369.8999938964844,369.8999938964844,386.0,366.54998779296875,379.25,5291450,2024-04-29
2024-05-06,349.6499938964844,349.6499938964844,365.0,310.0,351.3999938964844,32198833,2024-05-06
2024-05-13,344.3999938964844,344.3999938964844,359.6000061035156,331.6499938964844,358.04998779296875,8586645,2024-05-13
2024-05-20,340.95001220703125,340.95001220703125,369.25,339.04998779296875,342.25,15356272,2024-05-20
2024-05-27,360.75,360.75,396.25,341.5,342.0,54289740,2024-05-27
2024-06-03,381.29998779296875,381.29998779296875,381.29998779296875,339.54998779296875,378.75,29716291,2024-06-03
2024-06-10,425.04998779296875,425.04998779296875,440.5,377.0,382.0,42778394,2024-06-10
2024-06-17,411.1499938964844,411.1499938964844,442.0,402.5,425.04998779296875,21321249,2024-06-17
2024-06-24,401.75,401.75,424.3999938964844,400.04998779296875,409.70001220703125,11239852,2024-06-24
2024-07-01,436.54998779296875,436.54998779296875,442.5,403.0,403.0,24083346,2024-07-01
2024-07-08,465.95001220703125,465.95001220703125,491.79998779296875,440.20001220703125,440.20001220703125,33745467,2024-07-08
2024-07-15,458.75,458.75,476.70001220703125,425.6000061035156,467.0,20258348,2024-07-15
2024-07-22,509.04998779296875,509.04998779296875,509.04998779296875,437.25,447.95001220703125,20454353,2024-07-22
2024-07-29,527.0,527.0,542.5999755859375,490.0,512.75,37163500,2024-07-29
2024-08-05,510.8500061035156,510.8500061035156,535.0,481.6499938964844,513.8499755859375,33128112,2024-08-05
2024-08-12,564.25,564.25,569.9000244140625,499.45001220703125,507.54998779296875,36183423,2024-08-12
2024-08-19,554.8499755859375,554.8499755859375,604.7000122070312,538.3499755859375,565.0,51843543,2024-08-19
2024-08-26,621.9000244140625,621.9000244140625,631.4500122070312,505.54998779296875,559.7999877929688,82132207,2024-08-26
2024-09-02,603.7999877929688,603.7999877929688,634.0,583.5999755859375,619.0,61767468,2024-09-02
2024-09-09,654.9500122070312,654.9500122070312,687.4000244140625,584.0999755859375,605.5,97313013,2024-09-09
2024-09-16,664.0999755859375,664.0999755859375,703.25,628.5,659.0,45939629,2024-09-16
2024-09-23,672.2999877929688,672.2999877929688,724.7999877929688,648.0,665.0,52369614,2024-09-23
2024-09-30,695.1500244140625,695.1500244140625,755.9000244140625,655.0499877929688,672.0,64897073,2024-09-30
2024-10-07,724.5,724.5,772.8499755859375,637.0999755859375,701.6500244140625,96811837,2024-10-07
2024-10-14,725.1500244140625,725.1500244140625,742.7000122070312,670.4000244140625,729.5999755859375,38376514,2024-10-14
2024-10-21,744.4500122070312,744.4500122070312,790.0,669.7999877929688,725.0,120480790,2024-10-21
2024-10-28,761.8499755859375,761.8499755859375,778.5,724.6500244140625,747.7000122070312,31222863,2024-10-28
2024-11-04,848.5499877929688,848.5499877929688,855.0999755859375,747.0,761.8499755859375,51762871,2024-11-04
2024-11-11,769.0999755859375,769.0999755859375,853.8499755859375,750.0,848.0,30607329,2024-11-11
2024-11-18,900.9500122070312,900.9500122070312,909.75,758.0,771.0,58118142,2024-11-18
2024-11-25,901.75,901.75,952.0,879.4000244140625,913.7999877929688,58843430,2024-11-25
2024-12-02,976.25,976.25,991.25,882.2000122070312,903.0,41687327,2024-12-02
2024-12-09,984.25,984.25,1007.0,934.2000122070312,997.4500122070312,32143071,2024-12-09
2024-12-16,945.25,945.25,1062.949951171875,940.0499877929688,987.0,47280038,2024-12-16
2024-12-23,1014.25,1014.25,1025.0,944.4500122070312,959.7999877929688,25795914,2024-12-23
2024-12-30,982.7999877929688,982.7999877929688,1030.949951171875,965.5,1017.0,27190032,2024-12-30
2025-01-06,847.7000122070312,847.7000122070312,1000.0,836.2999877929688,985.0,38711330,2025-01-06
2025-01-13,900.1500244140625,900.1500244140625,926.7000122070312,785.1500244140625,828.0,44278804,2025-01-13
2025-01-20,807.4500122070312,807.4500122070312,920.0,773.0499877929688,901.0,47934801,2025-01-20
2025-01-27,743.0999755859375,743.0999755859375,814.7000122070312,735.0499877929688,788.0,32412946,2025-01-27
2025-02-03,809.7999877929688,809.7999877929688,823.8499755859375,710.7000122070312,734.0,25637660,2025-02-03
2025-02-10,724.0499877929688,724.0499877929688,815.8499755859375,713.0999755859375,811.0,23464298,2025-02-10
2025-02-17,766.1500244140625,766.1500244140625,779.9500122070312,706.0,722.0,21768359,2025-02-17
2025-02-24,714.9500122070312,714.9500122070312,773.0,698.2999877929688,753.0,20894036,2025-02-24
2025-03-03,684.8499755859375,684.8499755859375,734.7999877929688,680.25,700.0,30270195,2025-03-03
2025-03-10,682.8499755859375,682.8499755859375,720.2999877929688,651.5,687.0,27551651,2025-03-10
2025-03-17,751.0499877929688,751.0499877929688,772.0,682.0999755859375,685.0,24111856,2025-03-17
2025-03-24,783.4500122070312,783.4500122070312,816.6500244140625,743.4500122070312,757.4500122070312,35400520,2025-03-24
2025-03-31,817.0499877929688,817.0499877929688,843.0,772.0,783.4500122070312,25786305,2025-03-31
2025-04-07,840.7000122070312,840.7000122070312,846.9500122070312,753.0999755859375,765.0,23739706,2025-04-07
2025-04-14,849.5999755859375,849.5999755859375,880.0,827.5,840.7000122070312,19368231,2025-04-14
2025-04-21,875.6500244140625,875.6500244140625,912.75,852.0,853.2999877929688,22949814,2025-04-21
2025-04-28,831.3499755859375,831.3499755859375,893.0,828.4000244140625,877.0499877929688,15723070,2025-04-28
2025-05-05,832.6500244140625,832.6500244140625,892.4000244140625,808.0,839.0,36422654,2025-05-05
2025-05-12,852.3499755859375,852.3499755859375,869.6500244140625,829.0,866.0,46333314,2025-05-12
2025-05-19,843.9500122070312,843.9500122070312,881.8499755859375,818.0,855.0,23149348,2025-05-19
2025-05-26,890.4500122070312,890.4500122070312,895.3499755859375,849.2000122070312,851.4000244140625,18875929,2025-05-26
2025-06-02,961.9500122070312,961.9500122070312,968.9000244140625,883.6500244140625,888.9000244140625,32897588,2025-06-02
2025-06-09,882.25,882.25,978.0,864.4000244140625,966.25,39606861,2025-06-09
2025-06-16,871.2000122070312,871.2000122070312,896.5,857.1500244140625,886.6500244140625,24736890,2025-06-16
2025-06-23,919.3499755859375,919.3499755859375,921.9500122070312,862.0,865.0,19093885,2025-06-23
2025-06-30,930.8499755859375,930.8499755859375,936.9000244140625,911.0,919.0,13576852,2025-06-30
2025-07-07,951.1500244140625,951.1500244140625,957.3499755859375,896.0999755859375,930.8499755859375,17487542,2025-07-07
2025-07-14,988.4500122070312,988.4500122070312,999.7999877929688,935.0999755859375,943.0,10649522,2025-07-14
