Date,Adj Close_APEX.NS,Close_APEX.NS,High_APEX.NS,Low_APEX.NS,Open_APEX.NS,Volume_APEX.NS,Date
2020-07-13,233.18260192871094,241.4499969482422,243.75,220.5,220.5,1037078,2020-07-13
2020-07-20,226.71202087402344,234.75,247.1999969482422,231.14999389648438,243.0,1093920,2020-07-20
2020-07-27,219.1307830810547,226.89999389648438,241.0500030517578,222.60000610351562,233.1999969482422,2100874,2020-07-27
2020-08-03,234.19664001464844,242.5,257.8500061035156,225.5,226.60000610351562,2309390,2020-08-03
2020-08-10,248.7313232421875,257.54998779296875,275.0,238.5,244.0,3733558,2020-08-10
2020-08-17,270.50921630859375,280.1000061035156,286.79998779296875,252.0,258.45001220703125,3263729,2020-08-17
2020-08-24,268.2879638671875,277.79998779296875,299.3999938964844,276.70001220703125,281.0,3435572,2020-08-24
2020-08-31,261.0930480957031,270.3500061035156,284.45001220703125,246.35000610351562,280.79998779296875,1778089,2020-08-31
2020-09-07,258.1957702636719,267.3500061035156,275.04998779296875,251.0,271.95001220703125,1439570,2020-09-07
2020-09-14,255.8296661376953,264.8999938964844,285.1000061035156,264.0,269.5,1408600,2020-09-14
2020-09-21,237.5285186767578,245.9499969482422,272.3500061035156,238.0500030517578,267.45001220703125,527185,2020-09-21
2020-09-28,249.8419647216797,258.70001220703125,262.0,243.5,246.0,415779,2020-09-28
2020-10-05,251.0008544921875,259.8999938964844,274.20001220703125,256.0,260.0,873804,2020-10-05
2020-10-12,260.7550354003906,270.0,272.0,251.60000610351562,260.3500061035156,704364,2020-10-12
2020-10-19,256.65057373046875,265.75,275.0,263.0,270.5,306570,2020-10-19
2020-10-26,241.584716796875,250.14999389648438,266.0,248.0,266.0,312873,2020-10-26
2020-11-02,246.8480987548828,255.60000610351562,262.20001220703125,249.10000610351562,257.0,263379,2020-11-02
2020-11-09,274.08251953125,283.79998779296875,286.0,256.8999938964844,257.79998779296875,1060173,2020-11-09
2020-11-16,276.0140075683594,285.79998779296875,312.3999938964844,273.5,276.79998779296875,1822998,2020-11-16
2020-11-23,280.215087890625,290.1499938964844,294.0,276.1499938964844,288.0,707317,2020-11-23
2020-11-30,284.70587158203125,294.79998779296875,303.29998779296875,289.29998779296875,290.1499938964844,760670,2020-11-30
2020-12-07,298.61279296875,309.20001220703125,311.8999938964844,292.0,295.5,1085407,2020-12-07
2020-12-14,304.0693359375,314.8500061035156,327.8500061035156,302.0,315.0,1506989,2020-12-14
2020-12-21,293.7357177734375,304.1499938964844,318.0,277.0,314.0,655874,2020-12-21
2020-12-28,296.826171875,307.3500061035156,317.3999938964844,304.1499938964844,306.6000061035156,385558,2020-12-28
2021-01-04,295.5706481933594,306.04998779296875,315.0,299.8500061035156,310.45001220703125,511489,2021-01-04
2021-01-11,287.4100036621094,297.6000061035156,310.1499938964844,295.75,309.5,332907,2021-01-11
2021-01-18,272.7304382324219,282.3999938964844,302.0,281.1000061035156,301.8999938964844,361538,2021-01-18
