Date,Adj Close_GREENPOWER.NS,Close_GREENPOWER.NS,High_GREENPOWER.NS,Low_GREENPOWER.NS,Open_GREENPOWER.NS,Volume_GREENPOWER.NS,Date
2020-07-13,1.979665994644165,1.979665994644165,2.0717430114746094,1.8415499925613403,1.8415499925613403,15223713,2020-07-13
2020-07-20,1.979665994644165,1.979665994644165,2.2558979988098145,1.979665994644165,2.0717430114746094,15003629,2020-07-20
2020-07-27,1.979665994644165,1.979665994644165,2.025705099105835,1.79551100730896,1.979665994644165,11507358,2020-07-27
2020-08-03,2.025705099105835,2.025705099105835,2.0717430114746094,1.8875880241394043,2.025705099105835,14522194,2020-08-03
2020-08-10,1.9336270093917847,1.9336270093917847,2.0717430114746094,1.8415499925613403,2.025705099105835,15469506,2020-08-10
2020-08-17,1.9336270093917847,1.9336270093917847,1.979665994644165,1.8875880241394043,1.9336270093917847,9333857,2020-08-17
2020-08-24,1.979665994644165,1.979665994644165,2.0717430114746094,1.9336270093917847,1.979665994644165,8229314,2020-08-24
2020-08-31,1.8415499925613403,1.8415499925613403,1.979665994644165,1.8415499925613403,1.979665994644165,7635093,2020-08-31
2020-09-07,1.8415499925613403,1.8415499925613403,1.8875880241394043,1.7494720220565796,1.8875880241394043,6256894,2020-09-07
2020-09-14,1.7494720220565796,1.7494720220565796,1.8415499925613403,1.7494720220565796,1.8415499925613403,4925015,2020-09-14
2020-09-21,1.6113560199737549,1.6113560199737549,1.7494720220565796,1.5192780494689941,1.7494720220565796,6012929,2020-09-21
2020-09-28,1.6573950052261353,1.6573950052261353,1.7494720220565796,1.6113560199737549,1.6573950052261353,2654356,2020-09-28
2020-10-05,1.7034330368041992,1.7034330368041992,1.7494720220565796,1.6573950052261353,1.6573950052261353,3799044,2020-10-05
2020-10-12,1.6573950052261353,1.6573950052261353,1.7034330368041992,1.5653170347213745,1.7034330368041992,2729829,2020-10-12
2020-10-19,1.7494720220565796,1.7494720220565796,1.7494720220565796,1.6113560199737549,1.6113560199737549,3012291,2020-10-19
2020-10-26,1.79551100730896,1.79551100730896,2.1177821159362793,1.79551100730896,1.8415499925613403,10961391,2020-10-26
2020-11-02,1.8875880241394043,1.8875880241394043,1.979665994644165,1.79551100730896,1.79551100730896,3665015,2020-11-02
2020-11-09,2.025705099105835,2.025705099105835,2.025705099105835,1.79551100730896,1.8875880241394043,7803705,2020-11-09
2020-11-16,1.8875880241394043,1.8875880241394043,2.0717430114746094,1.8415499925613403,1.979665994644165,7235741,2020-11-16
