Date,Adj Close_GINNIFILA.NS,Close_GINNIFILA.NS,High_GINNIFILA.NS,Low_GINNIFILA.NS,Open_GINNIFILA.NS,Volume_GINNIFILA.NS,Date
2020-07-13,10.899999618530273,10.899999618530273,11.899999618530273,10.600000381469727,11.899999618530273,150530,2020-07-13
2020-07-20,10.449999809265137,10.449999809265137,11.199999809265137,10.149999618530273,10.600000381469727,152484,2020-07-20
2020-07-27,9.850000381469727,9.850000381469727,10.899999618530273,9.5,10.899999618530273,117364,2020-07-27
2020-08-03,9.850000381469727,9.850000381469727,10.199999809265137,9.399999618530273,9.399999618530273,85148,2020-08-03
2020-08-10,12.199999809265137,12.199999809265137,12.199999809265137,9.649999618530273,9.649999618530273,322918,2020-08-10
2020-08-17,11.850000381469727,11.850000381469727,12.800000190734863,11.399999618530273,12.800000190734863,423144,2020-08-17
2020-08-24,13.25,13.25,14.199999809265137,11.600000381469727,12.149999618530273,501847,2020-08-24
2020-08-31,12.649999618530273,12.649999618530273,13.699999809265137,12.0,13.5,344060,2020-08-31
2020-09-07,11.850000381469727,11.850000381469727,13.0,11.5,13.0,158478,2020-09-07
2020-09-14,11.850000381469727,11.850000381469727,12.100000381469727,11.5,11.800000190734863,251224,2020-09-14
2020-09-21,11.100000381469727,11.100000381469727,12.0,10.699999809265137,11.649999618530273,218863,2020-09-21
2020-09-28,11.399999618530273,11.399999618530273,12.0,11.199999809265137,11.350000381469727,95981,2020-09-28
2020-10-05,12.699999809265137,12.699999809265137,14.199999809265137,11.399999618530273,11.399999618530273,335682,2020-10-05
2020-10-12,11.800000190734863,11.800000190734863,12.75,11.350000381469727,12.699999809265137,153843,2020-10-12
2020-10-19,11.649999618530273,11.649999618530273,12.399999618530273,11.100000381469727,11.5,174105,2020-10-19
2020-10-26,11.600000381469727,11.600000381469727,12.199999809265137,11.25,11.850000381469727,88333,2020-10-26
2020-11-02,11.800000190734863,11.800000190734863,12.649999618530273,11.149999618530273,11.399999618530273,97561,2020-11-02
2020-11-09,13.5,13.5,13.5,11.800000190734863,12.149999618530273,248510,2020-11-09
2020-11-16,15.399999618530273,15.399999618530273,15.449999809265137,12.300000190734863,12.300000190734863,584833,2020-11-16
2020-11-23,17.649999618530273,17.649999618530273,18.899999618530273,15.699999809265137,15.699999809265137,1671465,2020-11-23
2020-11-30,17.299999237060547,17.299999237060547,18.5,15.75,17.649999618530273,413090,2020-11-30
2020-12-07,20.5,20.5,22.049999237060547,17.350000381469727,18.149999618530273,1073565,2020-12-07
2020-12-14,21.299999237060547,21.299999237060547,23.25,19.75,21.299999237060547,986795,2020-12-14
2020-12-21,21.200000762939453,21.200000762939453,21.799999237060547,18.950000762939453,20.350000381469727,366348,2020-12-21
2020-12-28,21.950000762939453,21.950000762939453,22.899999618530273,20.549999237060547,21.649999618530273,545049,2020-12-28
2021-01-04,23.75,23.75,24.25,22.100000381469727,22.149999618530273,859517,2021-01-04
2021-01-11,20.899999618530273,20.899999618530273,24.75,20.899999618530273,24.0,517305,2021-01-11
2021-01-18,18.149999618530273,18.149999618530273,21.25,17.899999618530273,20.5,374885,2021-01-18
2021-01-25,19.649999618530273,19.649999618530273,19.850000381469727,17.25,17.25,362378,2021-01-25
2021-02-01,19.25,19.25,21.399999618530273,19.0,20.600000381469727,613884,2021-02-01
2021-02-08,18.600000381469727,18.600000381469727,19.899999618530273,18.399999618530273,19.899999618530273,406044,2021-02-08
