Date,Adj Close_CHEMFAB.NS,Close_CHEMFAB.NS,High_CHEMFAB.NS,Low_CHEMFAB.NS,Open_CHEMFAB.NS,Volume_CHEMFAB.NS,Date
2020-07-13,141.96511840820312,144.4499969482422,156.0,141.3000030517578,147.0,50395,2020-07-13
2020-07-20,141.47372436523438,143.9499969482422,149.5,141.0,143.35000610351562,25906,2020-07-20
2020-07-27,129.16476440429688,130.3000030517578,145.75,126.94999694824219,143.35000610351562,33184,2020-07-27
2020-08-03,143.1419219970703,144.39999389648438,149.39999389648438,127.19999694824219,129.0500030517578,33866,2020-08-03
2020-08-10,137.39247131347656,138.60000610351562,146.10000610351562,135.85000610351562,146.10000610351562,26765,2020-08-10
2020-08-17,161.77813720703125,163.1999969482422,173.64999389648438,136.4499969482422,137.0,178304,2020-08-17
2020-08-24,160.53903198242188,161.9499969482422,172.0,154.25,168.0,127329,2020-08-24
2020-08-31,143.6375732421875,144.89999389648438,167.0,140.25,161.25,55520,2020-08-31
2020-09-07,141.65501403808594,142.89999389648438,149.8000030517578,138.39999389648438,147.0,11714,2020-09-07
2020-09-14,142.24978637695312,143.5,153.0,140.1999969482422,149.9499969482422,36103,2020-09-14
2020-09-21,137.0455322265625,138.25,145.89999389648438,131.9499969482422,145.0500030517578,17818,2020-09-21
2020-09-28,142.001953125,143.25,144.4499969482422,136.0,138.4499969482422,17987,2020-09-28
2020-10-05,132.78297424316406,133.9499969482422,144.89999389648438,132.5,144.89999389648438,12329,2020-10-05
2020-10-12,127.87611389160156,129.0,144.0,126.94999694824219,134.3000030517578,14849,2020-10-12
2020-10-19,135.50901794433594,136.6999969482422,140.0,124.05000305175781,129.0500030517578,24586,2020-10-19
2020-10-26,129.46217346191406,130.60000610351562,146.89999389648438,128.4499969482422,138.8000030517578,32924,2020-10-26
2020-11-02,122.02750396728516,123.0999984741211,130.25,121.55000305175781,130.25,27130,2020-11-02
2020-11-09,120.63970184326172,121.69999694824219,130.0,115.0999984741211,123.05000305175781,44586,2020-11-09
2020-11-16,123.41531372070312,124.5,127.4000015258789,117.3499984741211,119.8499984741211,21981,2020-11-16
2020-11-23,132.28733825683594,133.4499969482422,143.5,122.0,126.0,70779,2020-11-23
2020-11-30,139.67242431640625,140.89999389648438,145.0,132.1999969482422,133.4499969482422,46356,2020-11-30
2020-12-07,138.48287963867188,139.6999969482422,152.0,136.0500030517578,140.89999389648438,61125,2020-12-07
2020-12-14,140.71327209472656,141.9499969482422,144.4499969482422,136.5,139.1999969482422,54080,2020-12-14
2020-12-21,138.1855010986328,139.39999389648438,150.0,116.6500015258789,142.64999389648438,65705,2020-12-21
2020-12-28,143.68714904785156,144.9499969482422,148.75,138.0,138.60000610351562,67275,2020-12-28
2021-01-04,147.4540252685547,148.75,159.0,144.0,146.0,94776,2021-01-04
2021-01-11,141.3576202392578,142.60000610351562,151.75,141.5,151.75,47950,2021-01-11
2021-01-18,136.99595642089844,138.1999969482422,146.5,135.10000610351562,139.8000030517578,35892,2021-01-18
2021-01-25,132.68385314941406,133.85000610351562,139.75,128.64999389648438,139.0,15816,2021-01-25
2021-02-01,133.67514038085938,134.85000610351562,139.8000030517578,132.14999389648438,134.4499969482422,29433,2021-02-01
2021-02-08,128.42132568359375,129.5500030517578,137.6999969482422,129.1999969482422,135.9499969482422,43244,2021-02-08
2021-02-15,128.02479553222656,129.14999389648438,134.5500030517578,126.0,134.5,46022,2021-02-15
2021-02-22,127.18220520019531,128.3000030517578,134.0,125.30000305175781,134.0,20052,2021-02-22
2021-03-01,128.5699920654297,129.6999969482422,136.6999969482422,115.0,131.8000030517578,79477,2021-03-01
2021-03-08,127.38046264648438,128.5,135.14999389648438,125.4000015258789,132.85000610351562,20870,2021-03-08
2021-03-15,122.17620086669922,123.25,134.89999389648438,120.8499984741211,127.1500015258789,69171,2021-03-15
2021-03-22,122.96923828125,124.05000305175781,134.0,121.0,124.69999694824219,33211,2021-03-22
2021-03-29,129.75955200195312,130.89999389648438,137.0,121.19999694824219,124.05000305175781,15148,2021-03-29
2021-04-05,139.9202423095703,141.14999389648438,145.9499969482422,123.4000015258789,127.0,78133,2021-04-05
2021-04-12,135.85597229003906,137.0500030517578,147.6999969482422,132.5,144.9499969482422,91106,2021-04-12
2021-04-19,130.8995361328125,132.0500030517578,135.75,128.3000030517578,135.0,13017,2021-04-19
2021-04-26,152.1130828857422,153.4499969482422,174.0,130.0500030517578,135.35000610351562,600919,2021-04-26
2021-05-03,146.1157989501953,147.39999389648438,160.89999389648438,142.64999389648438,156.0,92723,2021-05-03
2021-05-10,148.39576721191406,149.6999969482422,168.3000030517578,144.85000610351562,144.85000610351562,199397,2021-05-10
2021-05-17,158.50689697265625,159.89999389648438,178.0,147.14999389648438,152.0500030517578,510288,2021-05-17
2021-05-24,146.36361694335938,147.64999389648438,155.6999969482422,143.39999389648438,145.10000610351562,226928,2021-05-24
2021-05-31,145.57058715820312,146.85000610351562,151.0,141.89999389648438,149.8000030517578,70330,2021-05-31
2021-06-07,149.04010009765625,150.35000610351562,155.5,145.10000610351562,149.9499969482422,92025,2021-06-07
2021-06-14,146.21493530273438,147.5,159.5,145.25,153.60000610351562,125519,2021-06-14
2021-06-21,145.81842041015625,147.10000610351562,154.5,137.8000030517578,146.3000030517578,72732,2021-06-21
2021-06-28,153.25306701660156,154.60000610351562,158.89999389648438,145.8000030517578,147.8000030517578,144664,2021-06-28
2021-07-05,160.53903198242188,161.9499969482422,170.6999969482422,152.10000610351562,160.8000030517578,340032,2021-07-05
2021-07-12,178.7787322998047,180.35000610351562,194.39999389648438,157.5,164.6999969482422,859298,2021-07-12
2021-07-19,179.62132263183594,181.1999969482422,189.0,162.60000610351562,179.9499969482422,201738,2021-07-19
2021-07-26,178.2830810546875,179.85000610351562,192.39999389648438,173.0500030517578,182.0,174836,2021-07-26
2021-08-02,164.80157470703125,166.25,186.25,159.3000030517578,185.0,119941,2021-08-02
2021-08-09,161.18338012695312,162.60000610351562,167.0,150.0,166.5,58442,2021-08-09
2021-08-16,150.77487182617188,152.10000610351562,162.4499969482422,147.60000610351562,158.0,25717,2021-08-16
2021-08-23,150.47747802734375,151.8000030517578,156.0,146.1999969482422,153.0,20701,2021-08-23
2021-08-30,153.40176391601562,154.75,157.0,150.0500030517578,154.0,25815,2021-08-30
2021-09-06,149.73399353027344,151.0500030517578,159.4499969482422,149.6999969482422,157.0,41383,2021-09-06
2021-09-13,154.14523315429688,155.5,167.75,151.6999969482422,154.75,87179,2021-09-13
2021-09-20,169.4110565185547,170.89999389648438,175.0,150.5500030517578,157.0,133381,2021-09-20
2021-09-27,188.29510498046875,189.9499969482422,194.6999969482422,173.0,175.0,336591,2021-09-27
2021-10-04,204.84957885742188,206.64999389648438,218.1999969482422,186.0,192.0,984298,2021-10-04
2021-10-11,206.03915405273438,207.85000610351562,218.0,203.0,211.0,192867,2021-10-11
2021-10-18,192.359375,194.0500030517578,216.39999389648438,192.64999389648438,208.9499969482422,206478,2021-10-18
2021-10-25,180.4639129638672,182.0500030517578,198.6999969482422,176.0,191.10000610351562,78490,2021-10-25
2021-11-01,170.50146484375,172.0,176.0,161.0,169.0,96716,2021-11-01
2021-11-08,168.56846618652344,170.0500030517578,177.0500030517578,161.14999389648438,172.0,88025,2021-11-08
2021-11-15,165.6937255859375,167.14999389648438,174.9499969482422,163.0,173.39999389648438,60242,2021-11-15
2021-11-22,153.35218811035156,154.6999969482422,173.0,149.89999389648438,167.0500030517578,127901,2021-11-22
2021-11-29,148.09837341308594,149.39999389648438,158.9499969482422,143.5,156.75,66911,2021-11-29
2021-12-06,153.6495819091797,155.0,158.85000610351562,147.25,147.85000610351562,42586,2021-12-06
2021-12-13,146.0166778564453,147.3000030517578,158.9499969482422,146.0,158.9499969482422,32376,2021-12-13
2021-12-20,146.51231384277344,147.8000030517578,150.0,131.4499969482422,149.39999389648438,68571,2021-12-20
2021-12-27,153.25306701660156,154.60000610351562,161.9499969482422,142.3000030517578,145.4499969482422,67789,2021-12-27
2022-01-03,155.38433837890625,156.75,169.5,155.0,155.5500030517578,81516,2022-01-03
2022-01-10,182.0004119873047,183.60000610351562,201.0,157.14999389648438,159.4499969482422,879832,2022-01-10
2022-01-17,184.23081970214844,185.85000610351562,199.0,177.0,183.60000610351562,171826,2022-01-17
2022-01-24,183.7351837158203,185.35000610351562,190.89999389648438,161.6999969482422,184.5,103705,2022-01-24
2022-01-31,213.6224822998047,215.5,239.0,186.0,188.25,1420725,2022-01-31
2022-02-07,199.24880981445312,201.0,224.64999389648438,194.25,222.89999389648438,284321,2022-02-07
2022-02-14,186.36207580566406,188.0,205.5500030517578,181.64999389648438,189.0,151187,2022-02-14
2022-02-21,175.35877990722656,176.89999389648438,187.5500030517578,168.0,186.14999389648438,102699,2022-02-21
2022-02-28,173.22752380371094,174.75,180.0,168.0,173.9499969482422,120650,2022-02-28
2022-03-07,183.5864715576172,185.1999969482422,186.8000030517578,165.10000610351562,174.0,89548,2022-03-07
2022-03-14,193.05325317382812,194.75,203.0,182.5500030517578,190.0,99355,2022-03-14
2022-03-21,210.20254516601562,212.0500030517578,220.0,195.10000610351562,195.10000610351562,228086,2022-03-21
2022-03-28,249.8540496826172,252.0500030517578,264.79998779296875,196.60000610351562,212.60000610351562,888170,2022-03-28
2022-04-04,226.1127166748047,228.10000610351562,259.0,220.0500030517578,256.95001220703125,195345,2022-04-04
2022-04-11,225.76576232910156,227.75,240.9499969482422,221.0,229.89999389648438,46754,2022-04-11
2022-04-18,234.0925750732422,236.14999389648438,239.35000610351562,218.0500030517578,218.0500030517578,49063,2022-04-18
2022-04-25,221.3049774169922,223.25,240.0,222.14999389648438,240.0,67745,2022-04-25
2022-05-02,201.92529296875,203.6999969482422,233.9499969482422,203.6999969482422,223.10000610351562,53694,2022-05-02
2022-05-09,176.6474609375,178.1999969482422,208.89999389648438,167.10000610351562,208.89999389648438,55203,2022-05-09
2022-05-16,191.56634521484375,193.25,194.0,175.14999389648438,186.89999389648438,32263,2022-05-16
2022-05-23,171.4431915283203,172.9499969482422,202.89999389648438,170.10000610351562,199.75,36821,2022-05-23
2022-05-30,170.8979949951172,172.39999389648438,176.9499969482422,164.60000610351562,172.9499969482422,66601,2022-05-30
2022-06-06,170.50146484375,172.0,177.9499969482422,164.0500030517578,177.0,29803,2022-06-06
2022-06-13,156.8217010498047,158.1999969482422,171.85000610351562,153.0,170.0,34265,2022-06-13
