Date,Adj Close_SHYAMMETL.NS,Close_SHYAMMETL.NS,High_SHYAMMETL.NS,Low_SHYAMMETL.NS,Open_SHYAMMETL.NS,Volume_SHYAMMETL.NS,Date
2021-06-21,370.9175720214844,389.0,406.0,370.0,380.0,37304966,2021-06-21
2021-06-28,354.2311096191406,371.5,393.95001220703125,361.1000061035156,387.79998779296875,9005452,2021-06-28
2021-07-05,399.1893615722656,418.6499938964844,428.3999938964844,374.04998779296875,374.6499938964844,27404465,2021-07-05
2021-07-12,394.0880126953125,413.29998779296875,428.5,404.25,427.0,6281965,2021-07-12
2021-07-19,411.2513122558594,431.29998779296875,461.1499938964844,413.0,414.8500061035156,18246427,2021-07-19
2021-07-26,416.1142883300781,436.3999938964844,446.20001220703125,414.25,429.95001220703125,8206016,2021-07-26
2021-08-02,401.52545166015625,421.1000061035156,442.5,413.5,438.75,6051144,2021-08-02
2021-08-09,395.6613464355469,414.95001220703125,428.95001220703125,392.0,425.0,4612627,2021-08-09
2021-08-16,373.4921569824219,391.70001220703125,430.79998779296875,385.5,414.0,3847743,2021-08-16
2021-08-23,368.5338439941406,386.5,402.0,361.3500061035156,395.79998779296875,3851708,2021-08-23
2021-08-30,376.73406982421875,395.1000061035156,402.79998779296875,387.95001220703125,391.1000061035156,2424354,2021-08-30
2021-09-06,388.2716064453125,407.20001220703125,409.70001220703125,382.0,395.04998779296875,2466084,2021-09-06
2021-09-13,384.89471435546875,400.8999938964844,417.75,393.0,407.79998779296875,2792648,2021-09-13
2021-09-20,359.5967102050781,374.54998779296875,398.8999938964844,367.3999938964844,393.0,2294825,2021-09-20
2021-09-27,357.820556640625,372.70001220703125,381.79998779296875,362.0,375.5,5862603,2021-09-27
2021-10-04,349.27581787109375,363.79998779296875,378.0,357.0,376.8500061035156,3669593,2021-10-04
2021-10-11,347.7877502441406,362.25,369.0,361.5,366.70001220703125,2202917,2021-10-11
2021-10-18,340.05914306640625,354.20001220703125,382.3500061035156,351.25,365.0,3349133,2021-10-18
2021-10-25,323.2098083496094,336.6499938964844,357.3999938964844,333.04998779296875,357.0,1783818,2021-10-25
2021-11-01,342.2193298339844,356.45001220703125,358.70001220703125,338.20001220703125,339.29998779296875,1019920,2021-11-01
2021-11-08,333.5306091308594,347.3999938964844,373.0,346.25,362.0,3662728,2021-11-08
