Date,Adj Close_GPIL.NS,Close_GPIL.NS,High_GPIL.NS,Low_GPIL.NS,Open_GPIL.NS,Volume_GPIL.NS,Date
2020-07-13,39.637386322021484,39.95000076293945,40.974998474121094,38.25,40.462501525878906,930964,2020-07-13
2020-07-20,42.63871383666992,42.974998474121094,46.25,40.0,40.04999923706055,3572692,2020-07-20
2020-07-27,42.32865524291992,42.662498474121094,45.45000076293945,41.26250076293945,43.349998474121094,2178456,2020-07-27
2020-08-03,57.08726119995117,57.537498474121094,58.400001525878906,42.48749923706055,42.5,7868632,2020-08-03
2020-08-10,69.17938232421875,69.7249984741211,71.69999694824219,58.73749923706055,59.474998474121094,5295464,2020-08-10
2020-08-17,74.95880889892578,75.55000305175781,75.55000305175781,66.57499694824219,73.07499694824219,5089380,2020-08-17
2020-08-24,78.79108428955078,79.4124984741211,88.75,75.36250305175781,78.5999984741211,6334092,2020-08-24
2020-08-31,74.84718322753906,75.4375,82.42500305175781,71.6875,80.25,2526744,2020-08-31
2020-09-07,71.31256866455078,71.875,78.67500305175781,70.5250015258789,74.7750015258789,1546368,2020-09-07
2020-09-14,73.94182586669922,74.5250015258789,79.5,73.0,73.75,1223536,2020-09-14
2020-09-21,69.97312927246094,70.5250015258789,76.0,66.75,76.0,974792,2020-09-21
2020-09-28,76.11221313476562,76.7125015258789,78.7125015258789,72.98750305175781,74.05000305175781,1640328,2020-09-28
2020-10-05,78.20817565917969,78.82499694824219,81.3499984741211,76.75,77.17500305175781,1395652,2020-10-05
2020-10-12,84.28524780273438,84.94999694824219,85.05000305175781,75.26249694824219,78.75,2441556,2020-10-12
2020-10-19,93.3388442993164,94.07499694824219,94.07499694824219,86.75,89.1875,1651584,2020-10-19
2020-10-26,87.00132751464844,87.6875,96.25,85.01249694824219,95.8499984741211,1178204,2020-10-26
2020-11-02,92.53270721435547,93.26249694824219,100.125,86.2750015258789,86.2750015258789,3384580,2020-11-02
2020-11-09,94.28141784667969,95.0250015258789,96.75,86.2874984741211,94.0,2206360,2020-11-09
2020-11-16,96.53861999511719,97.30000305175781,101.5250015258789,93.4124984741211,93.4124984741211,2881552,2020-11-16
2020-11-23,103.73188018798828,104.55000305175781,105.25,95.0625,98.3125,2228596,2020-11-23
2020-11-30,115.37752532958984,116.2874984741211,118.0,104.55000305175781,104.55000305175781,3562628,2020-11-30
2020-12-07,116.7913818359375,117.7125015258789,123.75,113.3125,118.25,3289848,2020-12-07
2020-12-14,116.03484344482422,116.94999694824219,122.5,116.25,118.76249694824219,1765064,2020-12-14
2020-12-21,112.42581176757812,113.3125,118.25,105.5625,116.9749984741211,2343336,2020-12-21
2020-12-28,123.57537841796875,124.55000305175781,124.5999984741211,110.26249694824219,112.2750015258789,3073924,2020-12-28
2021-01-04,132.5049591064453,133.5500030517578,139.625,126.0,126.0,4576584,2021-01-04
