Date,Adj Close_GODREJAGRO.NS,Close_GODREJAGRO.NS,High_GODREJAGRO.NS,Low_GODREJAGRO.NS,Open_GODREJAGRO.NS,Volume_GODREJAGRO.NS,Date
2020-07-13,417.8260803222656,449.75,458.0,431.5,444.0,509314,2020-07-13
2020-07-20,422.7498474121094,455.04998779296875,493.79998779296875,446.1499938964844,454.0,1746076,2020-07-20
2020-07-27,431.84100341796875,459.1499938964844,470.0,440.25,455.04998779296875,844908,2020-07-27
2020-08-03,436.9197998046875,464.54998779296875,479.8999938964844,460.5,473.95001220703125,1113325,2020-08-03
2020-08-10,455.3070068359375,484.1000061035156,496.20001220703125,461.04998779296875,467.0,2157520,2020-08-10
2020-08-17,464.383056640625,493.75,515.4000244140625,475.54998779296875,485.95001220703125,1732626,2020-08-17
2020-08-24,460.9501647949219,490.1000061035156,506.0,487.1000061035156,495.1000061035156,870689,2020-08-24
2020-08-31,462.5960998535156,491.8500061035156,501.0,475.54998779296875,494.5,661388,2020-08-31
2020-09-07,461.6085510253906,490.79998779296875,494.95001220703125,471.04998779296875,493.04998779296875,354625,2020-09-07
2020-09-14,497.6775817871094,529.1500244140625,545.0,491.0,495.0,1254601,2020-09-14
2020-09-21,467.721923828125,497.29998779296875,533.9500122070312,481.25,533.9500122070312,505898,2020-09-21
2020-09-28,478.9141845703125,509.20001220703125,517.7000122070312,500.0,502.95001220703125,250910,2020-09-28
2020-10-05,501.25152587890625,532.9500122070312,548.5,503.6000061035156,509.25,990857,2020-10-05
2020-10-12,494.76190185546875,526.0499877929688,538.9500122070312,514.8499755859375,534.7999877929688,486026,2020-10-12
2020-10-19,490.7177429199219,521.75,537.5,505.45001220703125,526.0499877929688,365593,2020-10-19
2020-10-26,484.9334716796875,515.5999755859375,528.9500122070312,510.1000061035156,523.0,281842,2020-10-26
2020-11-02,472.80078125,502.70001220703125,537.75,501.04998779296875,513.0,685413,2020-11-02
2020-11-09,471.6250915527344,501.45001220703125,505.3999938964844,488.0,504.5,470889,2020-11-09
2020-11-16,482.3000183105469,512.7999877929688,524.0,492.8500061035156,492.8500061035156,706518,2020-11-16
2020-11-23,479.5725402832031,509.8999938964844,522.5,505.3500061035156,514.9500122070312,587851,2020-11-23
2020-11-30,489.3539733886719,520.2999877929688,522.0,502.20001220703125,509.8999938964844,405870,2020-11-30
2020-12-07,493.30413818359375,524.5,542.0,508.0,522.8499755859375,899782,2020-12-07
2020-12-14,524.4824829101562,557.6500244140625,565.0,525.0,528.0999755859375,1718418,2020-12-14
2020-12-21,501.0634460449219,532.75,569.0,515.25,560.4500122070312,782213,2020-12-21
2020-12-28,506.2833557128906,538.2999877929688,545.0,527.75,535.3499755859375,507403,2020-12-28
2021-01-04,504.0260925292969,535.9000244140625,546.0,527.75,540.0,866652,2021-01-04
2021-01-11,512.3497314453125,544.75,549.7999877929688,515.0999755859375,535.9000244140625,945072,2021-01-11
2021-01-18,508.11737060546875,540.25,554.75,525.0,545.9500122070312,707738,2021-01-18
2021-01-25,503.36773681640625,535.2000122070312,554.0,524.9500122070312,547.0,389498,2021-01-25
2021-02-01,477.9736328125,508.20001220703125,547.0999755859375,505.29998779296875,538.8499755859375,986135,2021-02-01
2021-02-08,471.4840393066406,501.29998779296875,514.5,490.1000061035156,511.0,936314,2021-02-08
2021-02-15,455.260009765625,484.04998779296875,505.70001220703125,480.04998779296875,503.79998779296875,632988,2021-02-15
2021-02-22,456.85888671875,485.75,495.0,476.3999938964844,486.5,527848,2021-02-22
2021-03-01,468.2862854003906,497.8999938964844,509.20001220703125,478.04998779296875,490.95001220703125,1119278,2021-03-01
2021-03-08,456.4356384277344,485.29998779296875,503.8999938964844,480.0,499.8500061035156,452872,2021-03-08
2021-03-15,461.5615234375,490.75,497.0,475.20001220703125,486.04998779296875,660488,2021-03-15
2021-03-22,462.5960998535156,491.8500061035156,497.8999938964844,482.0,490.75,437679,2021-03-22
2021-03-29,487.1907653808594,518.0,532.3499755859375,488.79998779296875,491.8500061035156,763114,2021-03-29
