Date,Adj Close_DSSL.NS,Close_DSSL.NS,High_DSSL.NS,Low_DSSL.NS,Open_DSSL.NS,Volume_DSSL.NS,Date
2020-07-13,21.188737869262695,21.700000762939453,21.899999618530273,20.100000381469727,21.899999618530273,18834,2020-07-13
2020-07-20,24.118057250976562,24.700000762939453,25.200000762939453,21.149999618530273,21.75,57782,2020-07-20
2020-07-27,22.36046600341797,22.899999618530273,24.549999237060547,21.700000762939453,24.0,34093,2020-07-27
2020-08-03,22.311643600463867,22.850000381469727,24.299999237060547,22.25,22.899999618530273,55912,2020-08-03
2020-08-10,22.89750862121582,23.450000762939453,25.450000762939453,21.100000381469727,23.950000762939453,68969,2020-08-10
2020-08-17,28.0726375579834,28.75,29.5,24.0,25.75,90464,2020-08-17
2020-08-24,26.852087020874023,27.5,31.25,26.200000762939453,31.100000381469727,70126,2020-08-24
2020-08-31,26.315048217773438,26.950000762939453,27.549999237060547,24.25,27.549999237060547,36845,2020-08-31
2020-09-07,26.705623626708984,27.350000381469727,27.600000381469727,25.350000381469727,27.200000762939453,18481,2020-09-07
2020-09-14,28.65850257873535,29.350000381469727,30.75,25.0,27.5,119981,2020-09-14
2020-09-21,28.512035369873047,29.200000762939453,31.549999237060547,26.100000381469727,30.649999618530273,74256,2020-09-21
2020-09-28,29.557817459106445,29.75,30.899999618530273,28.200000762939453,29.399999618530273,40886,2020-09-28
2020-10-05,37.65517044067383,37.900001525878906,37.900001525878906,28.75,30.0,193179,2020-10-05
2020-10-12,43.51705551147461,43.79999923706055,54.849998474121094,40.150001525878906,40.150001525878906,992292,2020-10-12
2020-10-19,39.19515609741211,39.45000076293945,47.0,38.150001525878906,43.95000076293945,187353,2020-10-19
2020-10-26,40.536434173583984,40.79999923706055,42.650001525878906,36.150001525878906,40.75,193674,2020-10-26
2020-11-02,37.90355682373047,38.150001525878906,40.79999923706055,36.29999923706055,40.599998474121094,106631,2020-11-02
2020-11-09,38.10226058959961,38.349998474121094,39.900001525878906,34.0,39.70000076293945,71332,2020-11-09
2020-11-16,44.311885833740234,44.599998474121094,44.599998474121094,35.599998474121094,38.45000076293945,128398,2020-11-16
2020-11-23,44.113182067871094,44.400001525878906,47.45000076293945,41.099998474121094,47.45000076293945,192000,2020-11-23
2020-11-30,42.62287139892578,42.900001525878906,45.0,41.099998474121094,44.400001525878906,82447,2020-11-30
2020-12-07,44.90801239013672,45.20000076293945,49.45000076293945,43.04999923706055,43.849998474121094,162890,2020-12-07
2020-12-14,65.07687377929688,65.5,85.5,45.25,46.70000076293945,1944810,2020-12-14
2020-12-21,65.57364654541016,66.0,69.44999694824219,56.5,60.29999923706055,571390,2020-12-21
2020-12-28,68.45491027832031,68.9000015258789,68.9000015258789,61.400001525878906,68.44999694824219,247612,2020-12-28
2021-01-04,69.49813079833984,69.94999694824219,72.30000305175781,63.599998474121094,70.75,498325,2021-01-04
2021-01-11,63.08979034423828,63.5,71.75,61.70000076293945,71.44999694824219,175412,2021-01-11
2021-01-18,57.87371063232422,58.25,65.75,57.25,64.0,139638,2021-01-18
2021-01-25,56.97951889038086,57.349998474121094,60.45000076293945,52.900001525878906,60.0,105968,2021-01-25
2021-02-01,56.681461334228516,57.04999923706055,63.95000076293945,56.29999923706055,59.650001525878906,87093,2021-02-01
2021-02-08,61.40077590942383,61.79999923706055,63.0,54.45000076293945,57.04999923706055,108558,2021-02-08
2021-02-15,61.549808502197266,61.95000076293945,70.8499984741211,61.20000076293945,64.80000305175781,240339,2021-02-15
2021-02-22,64.8284912109375,65.25,68.8499984741211,60.45000076293945,63.349998474121094,186964,2021-02-22
2021-03-01,65.0271987915039,65.44999694824219,71.05000305175781,63.099998474121094,65.69999694824219,460520,2021-03-01
2021-03-08,72.87615966796875,73.3499984741211,77.69999694824219,63.75,66.5999984741211,242804,2021-03-08
2021-03-15,72.6277847290039,73.0999984741211,78.6500015258789,65.4000015258789,75.55000305175781,421618,2021-03-15
2021-03-22,72.67745971679688,73.1500015258789,80.0,68.0,70.5,349902,2021-03-22
2021-03-29,72.13101196289062,72.5999984741211,77.0,71.5,73.1500015258789,137798,2021-03-29
2021-04-05,81.81802368164062,82.3499984741211,90.1500015258789,69.1500015258789,72.5999984741211,611073,2021-04-05
2021-04-12,74.66453552246094,75.1500015258789,81.69999694824219,71.0,81.69999694824219,310910,2021-04-12
2021-04-19,72.6277847290039,73.0999984741211,77.0999984741211,70.75,74.94999694824219,176708,2021-04-19
2021-04-26,78.8870849609375,79.4000015258789,88.8499984741211,72.0999984741211,74.75,686378,2021-04-26
2021-05-03,117.9332046508789,118.69999694824219,123.69999694824219,77.1500015258789,77.1500015258789,1717893,2021-05-03
2021-05-10,110.18360137939453,110.9000015258789,125.5,103.55000305175781,119.0,530342,2021-05-10
2021-05-17,106.95458984375,107.6500015258789,119.0,106.0,112.9000015258789,253578,2021-05-17
2021-05-24,105.16622161865234,105.8499984741211,112.5,102.3499984741211,106.8499984741211,211264,2021-05-24
2021-05-31,115.35000610351562,116.0999984741211,127.80000305175781,105.0,107.44999694824219,386027,2021-05-31
2021-06-07,154.04840087890625,155.0500030517578,177.25,118.5,120.0,1441819,2021-06-07
2021-06-14,150.4219512939453,151.39999389648438,169.8000030517578,140.10000610351562,154.89999389648438,353647,2021-06-14
2021-06-21,153.501953125,154.5,162.39999389648438,146.0,156.0,297065,2021-06-21
2021-06-28,147.2426300048828,148.1999969482422,169.8000030517578,143.35000610351562,157.39999389648438,463868,2021-06-28
2021-07-05,145.7523193359375,146.6999969482422,153.0,142.14999389648438,148.0,167593,2021-07-05
2021-07-12,154.19741821289062,155.1999969482422,160.60000610351562,142.4499969482422,148.89999389648438,307377,2021-07-12
2021-07-19,149.92520141601562,150.89999389648438,155.4499969482422,147.1999969482422,153.4499969482422,132256,2021-07-19
2021-07-26,146.6465301513672,147.60000610351562,159.0,140.5500030517578,152.39999389648438,135538,2021-07-26
2021-08-02,140.63560485839844,141.5500030517578,152.6999969482422,140.0,149.0,93356,2021-08-02
2021-08-09,130.55116271972656,131.39999389648438,145.4499969482422,117.44999694824219,143.0,198410,2021-08-09
2021-08-16,128.3653564453125,129.1999969482422,136.4499969482422,122.0,136.39999389648438,142953,2021-08-16
2021-08-23,121.87434387207031,122.19999694824219,133.5500030517578,116.5,131.8000030517578,115330,2021-08-23
2021-08-30,125.01595306396484,125.3499984741211,128.89999389648438,119.0,125.80000305175781,93821,2021-08-30
2021-09-06,123.27061462402344,123.5999984741211,128.0,122.0,126.5,61156,2021-09-06
2021-09-13,140.52450561523438,140.89999389648438,153.0500030517578,123.25,126.0,442564,2021-09-13
2021-09-20,147.10691833496094,147.5,154.6999969482422,138.0500030517578,144.5,432623,2021-09-20
2021-09-27,145.66079711914062,146.0500030517578,153.0,143.14999389648438,150.35000610351562,305142,2021-09-27
2021-10-04,156.8808135986328,157.3000030517578,161.0500030517578,145.1999969482422,148.1999969482422,380436,2021-10-04
2021-10-11,168.30029296875,168.75,183.0,163.0,163.0,826602,2021-10-11
2021-10-18,147.9546661376953,148.35000610351562,176.1999969482422,145.1999969482422,173.89999389648438,304102,2021-10-18
2021-10-25,148.95199584960938,149.35000610351562,152.75,140.0,152.75,133033,2021-10-25
2021-11-01,143.61624145507812,144.0,155.89999389648438,140.0,155.89999389648438,88897,2021-11-01
2021-11-08,149.00186157226562,149.39999389648438,152.5,141.0,143.14999389648438,130864,2021-11-08
2021-11-15,145.26185607910156,145.64999389648438,151.9499969482422,142.0,150.89999389648438,99931,2021-11-15
2021-11-22,142.1701202392578,142.5500030517578,151.0,140.5,147.5,165701,2021-11-22
2021-11-29,141.32237243652344,141.6999969482422,147.5,132.6999969482422,140.10000610351562,140380,2021-11-29
2021-12-06,155.53440856933594,155.9499969482422,163.5,139.35000610351562,142.0,476479,2021-12-06
2021-12-13,141.87091064453125,142.25,157.0,140.75,156.89999389648438,154941,2021-12-13
2021-12-20,144.9127960205078,145.3000030517578,151.0,137.89999389648438,142.0,101392,2021-12-20
2021-12-27,163.81228637695312,164.25,173.0,145.3000030517578,149.0,672412,2021-12-27
2022-01-03,159.67335510253906,160.10000610351562,168.89999389648438,156.14999389648438,168.89999389648438,217872,2022-01-03
2022-01-10,208.14382934570312,208.6999969482422,224.3000030517578,159.6999969482422,162.0,2182907,2022-01-10
2022-01-17,196.47500610351562,197.0,218.5,193.14999389648438,209.89999389648438,335098,2022-01-17
2022-01-24,235.37107849121094,236.0,236.0,171.1999969482422,200.0,620742,2022-01-24
2022-01-31,222.20626831054688,222.8000030517578,263.8999938964844,216.0,255.0,1009547,2022-01-31
2022-02-07,213.1803741455078,213.75,240.0,211.39999389648438,226.0,226046,2022-02-07
2022-02-14,195.67713928222656,196.1999969482422,213.64999389648438,188.0,201.0,173422,2022-02-14
2022-02-21,196.92381286621094,197.4499969482422,208.10000610351562,171.0,197.9499969482422,644702,2022-02-21
2022-02-28,222.65505981445312,223.25,247.39999389648438,190.85000610351562,199.64999389648438,745563,2022-02-28
2022-03-07,226.943603515625,227.5500030517578,242.75,205.0,222.0,342148,2022-03-07
2022-03-14,230.08518981933594,230.6999969482422,251.9499969482422,224.0,234.8000030517578,467014,2022-03-14
2022-03-21,222.35586547851562,222.9499969482422,242.4499969482422,220.64999389648438,233.64999389648438,232225,2022-03-21
2022-03-28,219.21424865722656,219.8000030517578,227.39999389648438,208.3000030517578,227.39999389648438,193544,2022-03-28
2022-04-04,232.37905883789062,233.0,242.0,218.64999389648438,220.0,282066,2022-04-04
2022-04-11,321.3912353515625,322.25,322.25,231.1999969482422,236.39999389648438,2155370,2022-04-11
2022-04-18,328.5720520019531,329.45001220703125,368.8999938964844,318.20001220703125,330.0,1267288,2022-04-18
2022-04-25,311.7669677734375,312.6000061035156,328.8999938964844,308.5,327.70001220703125,217753,2022-04-25
2022-05-02,290.72320556640625,291.5,319.0,275.1000061035156,310.8999938964844,246365,2022-05-02
2022-05-09,245.2945556640625,245.9499969482422,290.8500061035156,229.1999969482422,289.95001220703125,307118,2022-05-09
2022-05-16,276.0124816894531,276.75,295.0,250.10000610351562,257.29998779296875,226922,2022-05-16
2022-05-23,273.76849365234375,274.5,307.0,255.25,280.0,293059,2022-05-23
2022-05-30,309.4730529785156,310.29998779296875,328.3999938964844,272.5,272.5,385762,2022-05-30
2022-06-06,370.2107849121094,371.20001220703125,375.0,303.95001220703125,305.0,955309,2022-06-06
2022-06-13,405.6660461425781,406.75,456.70001220703125,336.0,369.8999938964844,2393756,2022-06-13
2022-06-20,321.29150390625,322.1499938964844,415.04998779296875,303.29998779296875,410.79998779296875,332330,2022-06-20
2022-06-27,310.8693542480469,311.70001220703125,345.8999938964844,306.79998779296875,330.0,73713,2022-06-27
2022-07-04,328.1730651855469,329.04998779296875,329.04998779296875,307.0,316.79998779296875,58183,2022-07-04
2022-07-11,309.6226806640625,310.45001220703125,352.95001220703125,307.8999938964844,345.0,67978,2022-07-11
2022-07-18,326.3280334472656,327.20001220703125,342.8999938964844,289.0,305.1499938964844,108293,2022-07-18
2022-07-25,309.3234558105469,310.1499938964844,340.0,303.0,327.0,46858,2022-07-25
2022-08-01,302.04296875,302.8500061035156,319.95001220703125,296.0,305.04998779296875,62130,2022-08-01
2022-08-08,277.20928955078125,277.95001220703125,308.79998779296875,277.95001220703125,307.75,57923,2022-08-08
2022-08-15,304.8853454589844,305.70001220703125,305.70001220703125,252.0500030517578,277.95001220703125,69831,2022-08-15
2022-08-22,292.26904296875,293.04998779296875,320.45001220703125,290.0,320.45001220703125,59996,2022-08-22
2022-08-29,285.75506591796875,286.04998779296875,299.79998779296875,278.6000061035156,283.04998779296875,44193,2022-08-29
2022-09-05,284.4564208984375,284.75,294.8999938964844,280.04998779296875,289.70001220703125,44745,2022-09-05
2022-09-12,307.63250732421875,307.95001220703125,325.70001220703125,280.0,284.75,151651,2022-09-12
2022-09-19,283.557373046875,283.8500061035156,317.0,281.8999938964844,317.0,64711,2022-09-19
2022-09-26,264.07745361328125,264.3500061035156,288.8500061035156,262.1000061035156,288.8500061035156,64146,2022-09-26
2022-10-03,279.7612609863281,280.04998779296875,280.04998779296875,254.0,260.45001220703125,44909,2022-10-03
2022-10-10,288.80194091796875,289.1000061035156,312.0,255.10000610351562,284.79998779296875,121472,2022-10-10
2022-10-17,279.0120544433594,279.29998779296875,292.1000061035156,277.0,292.0,38807,2022-10-17
2022-10-24,271.07025146484375,271.3500061035156,293.0,265.6499938964844,289.0,21843,2022-10-24
2022-10-31,277.5635681152344,277.8500061035156,282.45001220703125,263.1000061035156,270.0,53021,2022-10-31
2022-11-07,337.3518371582031,337.70001220703125,351.0,305.6000061035156,305.6000061035156,305006,2022-11-07
2022-11-14,309.33074951171875,309.6499938964844,347.0,299.54998779296875,347.0,158671,2022-11-14
2022-11-21,337.8513488769531,338.20001220703125,340.75,298.0,312.0,182357,2022-11-21
2022-11-28,345.6432800292969,346.0,351.0,320.0,351.0,171032,2022-11-28
2022-12-05,361.7266845703125,362.1000061035156,392.8999938964844,353.5,358.0,451232,2022-12-05
2022-12-12,364.97332763671875,365.3500061035156,384.29998779296875,350.0,360.1000061035156,151318,2022-12-12
2022-12-19,303.0372314453125,303.3500061035156,377.8999938964844,300.0,368.0,215335,2022-12-19
2022-12-26,352.58612060546875,352.95001220703125,359.0,304.1000061035156,304.1000061035156,129149,2022-12-26
2023-01-02,365.9223327636719,366.29998779296875,380.5,344.0,355.54998779296875,154117,2023-01-02
2023-01-09,401.18597412109375,401.6000061035156,411.3999938964844,361.25,380.95001220703125,458649,2023-01-09
2023-01-16,433.2029113769531,433.6499938964844,441.79998779296875,402.95001220703125,403.0,498486,2023-01-16
2023-01-23,532.9000244140625,533.4500122070312,535.8499755859375,440.45001220703125,444.95001220703125,1255008,2023-01-23
2023-01-30,498.78521728515625,499.29998779296875,555.7999877929688,457.45001220703125,549.0,386169,2023-01-30
2023-02-06,462.77239990234375,463.25,514.9500122070312,455.29998779296875,514.9500122070312,176953,2023-02-06
2023-02-13,387.0006103515625,387.3999938964844,483.95001220703125,387.1000061035156,468.0,236505,2023-02-13
2023-02-20,392.39501953125,392.79998779296875,426.95001220703125,380.0,382.0,178220,2023-02-20
2023-02-27,376.7611389160156,377.1499938964844,399.0,346.0,399.0,169031,2023-02-27
2023-03-06,350.08868408203125,350.45001220703125,392.8500061035156,346.0,388.6499938964844,102667,2023-03-06
2023-03-13,330.6587219238281,331.0,360.0,315.75,354.0,127580,2023-03-13
2023-03-20,327.2122802734375,327.54998779296875,340.0,317.95001220703125,327.6499938964844,73098,2023-03-20
2023-03-27,312.7272644042969,313.04998779296875,335.0,284.54998779296875,335.0,119948,2023-03-27
2023-04-03,358.48004150390625,358.8500061035156,362.3500061035156,327.25,328.70001220703125,94411,2023-04-03
2023-04-10,369.0191345214844,369.3999938964844,374.1499938964844,346.0,368.70001220703125,74751,2023-04-10
2023-04-17,381.7060546875,382.1000061035156,406.5,357.04998779296875,373.0,171312,2023-04-17
2023-04-24,379.2585754394531,379.6499938964844,401.20001220703125,370.20001220703125,390.0,116226,2023-04-24
2023-05-01,383.6040954589844,384.0,398.6000061035156,379.6499938964844,379.6499938964844,90719,2023-05-01
2023-05-08,368.9692077636719,369.3500061035156,390.0,359.95001220703125,390.0,103675,2023-05-08
2023-05-15,369.568603515625,369.95001220703125,379.8999938964844,360.79998779296875,372.0,76878,2023-05-15
2023-05-22,402.5845031738281,403.0,410.0,363.0,369.8999938964844,208510,2023-05-22
2023-05-29,471.81304931640625,472.29998779296875,480.0,423.1499938964844,423.1499938964844,351468,2023-05-29
2023-06-05,472.1127624511719,472.6000061035156,520.6500244140625,455.0,495.8999938964844,369250,2023-06-05
2023-06-12,460.6246337890625,461.1000061035156,490.04998779296875,455.0,466.1499938964844,159046,2023-06-12
2023-06-19,514.6688232421875,515.2000122070312,538.9500122070312,453.0,464.0,372868,2023-06-19
2023-06-26,491.4927673339844,492.0,528.4000244140625,484.20001220703125,515.0499877929688,139260,2023-06-26
2023-07-03,496.43768310546875,496.95001220703125,508.79998779296875,471.0,496.8999938964844,194590,2023-07-03
2023-07-10,514.818603515625,515.3499755859375,535.5,493.0,506.54998779296875,232269,2023-07-10
2023-07-17,548.5838623046875,549.1500244140625,594.1500244140625,515.0999755859375,528.0,636835,2023-07-17
2023-07-24,554.3279418945312,554.9000244140625,574.7999877929688,547.0999755859375,563.1500244140625,126122,2023-07-24
2023-07-31,579.2022094726562,579.7999877929688,616.0,564.9000244140625,575.0,399993,2023-07-31
2023-08-07,562.6193237304688,563.2000122070312,584.9000244140625,560.0999755859375,578.9000244140625,180432,2023-08-07
2023-08-14,637.3422241210938,638.0,638.0,535.0499877929688,571.8499755859375,257516,2023-08-14
2023-08-21,680.1480102539062,680.8499755859375,719.0,625.0,658.0,483894,2023-08-21
2023-08-28,726.7171630859375,726.9500122070312,750.5499877929688,672.5999755859375,714.5499877929688,466490,2023-08-28
2023-09-04,711.9219360351562,712.1500244140625,749.9500122070312,690.0,749.9500122070312,188370,2023-09-04
2023-09-11,694.9773559570312,695.2000122070312,720.0,659.8499755859375,710.2000122070312,172355,2023-09-11
2023-09-18,664.9369506835938,665.1500244140625,701.4500122070312,661.0999755859375,690.1500244140625,69455,2023-09-18
2023-09-25,695.1773071289062,695.4000244140625,736.7999877929688,665.0,679.7999877929688,224951,2023-09-25
