Date,Adj Close_GULFOILLUB.NS,Close_GULFOILLUB.NS,High_GULFOILLUB.NS,Low_GULFOILLUB.NS,Open_GULFOILLUB.NS,Volume_GULFOILLUB.NS,Date
2020-07-13,515.707275390625,591.7000122070312,607.5,576.7999877929688,599.0,91533,2020-07-13
2020-07-20,508.1681213378906,583.0499877929688,605.0,576.0,592.0,130690,2020-07-20
2020-07-27,498.8424072265625,572.3499755859375,595.0,570.25,586.5999755859375,57368,2020-07-27
2020-08-03,545.340576171875,625.7000122070312,683.5499877929688,565.0,575.0,498837,2020-08-03
2020-08-10,557.4554443359375,639.5999755859375,690.0,620.0,625.7000122070312,270866,2020-08-10
2020-08-17,592.4487915039062,679.75,684.5499877929688,640.0,645.0,92457,2020-08-17
2020-08-24,586.5658569335938,673.0,732.9000244140625,670.0,690.0,684008,2020-08-24
2020-08-31,581.074951171875,666.7000122070312,701.0,643.5499877929688,679.9500122070312,147895,2020-08-31
2020-09-07,550.1777954101562,631.25,684.9500122070312,603.25,666.0,93984,2020-09-07
2020-09-14,580.1802368164062,658.2000122070312,702.0,630.0499877929688,630.0499877929688,82749,2020-09-14
2020-09-21,562.3746337890625,638.0,666.0,620.0,666.0,33062,2020-09-21
2020-09-28,566.6937866210938,642.9000244140625,685.7999877929688,635.9500122070312,641.2000122070312,141822,2020-09-28
2020-10-05,563.1238403320312,638.8499755859375,655.1500244140625,626.4500122070312,644.0,43570,2020-10-05
2020-10-12,561.2286987304688,636.7000122070312,647.6500244140625,625.0499877929688,638.8499755859375,51724,2020-10-12
2020-10-19,564.66650390625,640.5999755859375,644.9500122070312,626.2000122070312,630.0499877929688,61810,2020-10-19
2020-10-26,581.634521484375,659.8499755859375,697.0,644.5999755859375,665.0,183118,2020-10-26
2020-11-02,599.748779296875,680.4000244140625,693.0,653.2999877929688,653.2999877929688,58126,2020-11-02
2020-11-09,612.5740966796875,694.9500122070312,700.0,665.2000122070312,692.0,162062,2020-11-09
2020-11-16,698.2525024414062,792.1500244140625,842.0,682.6500244140625,697.1500244140625,489566,2020-11-16
2020-11-23,697.6795043945312,791.5,829.9000244140625,778.0,786.0,270050,2020-11-23
2020-11-30,692.7433471679688,785.9000244140625,825.0,773.5499877929688,791.5,94941,2020-11-30
2020-12-07,671.2355346679688,761.5,792.0,757.0,788.7999877929688,130116,2020-12-07
2020-12-14,661.0546264648438,749.9500122070312,774.5499877929688,743.0,760.0,146527,2020-12-14
2020-12-21,639.4147338867188,725.4000244140625,749.9500122070312,695.0,749.9500122070312,59624,2020-12-21
2020-12-28,637.51953125,723.25,765.0,715.0,729.0,116415,2020-12-28
2021-01-04,648.714111328125,735.9500122070312,753.2999877929688,713.0999755859375,726.8499755859375,195730,2021-01-04
2021-01-11,651.13818359375,738.7000122070312,779.9000244140625,727.6500244140625,740.0,136742,2021-01-11
2021-01-18,630.2034301757812,714.9500122070312,738.7000122070312,709.2999877929688,738.7000122070312,79208,2021-01-18
2021-01-25,604.2882690429688,685.5499877929688,726.5499877929688,675.75,718.4500122070312,144264,2021-01-25
2021-02-01,612.1333618164062,694.4500122070312,730.0,668.0,687.0,105092,2021-02-01
2021-02-08,642.8524169921875,729.2999877929688,770.0,703.2000122070312,703.2000122070312,150689,2021-02-08
2021-02-15,636.9025268554688,722.5499877929688,757.0,716.6500244140625,740.25,60320,2021-02-15
2021-02-22,649.6605224609375,730.0499877929688,749.9000244140625,621.9000244140625,719.2999877929688,77604,2021-02-22
2021-03-01,700.2506713867188,786.9000244140625,827.5999755859375,729.7000122070312,739.0,420791,2021-03-01
2021-03-08,652.953125,733.75,799.8499755859375,725.0,798.7999877929688,106276,2021-03-08
2021-03-15,640.9396362304688,720.25,785.1500244140625,690.6500244140625,737.5999755859375,226555,2021-03-15
