Date,Adj Close_INDUSTOWER.NS,Close_INDUSTOWER.NS,High_INDUSTOWER.NS,Low_INDUSTOWER.NS,Open_INDUSTOWER.NS,Volume_INDUSTOWER.NS,Date
2020-07-13,172.0579376220703,198.10000610351562,212.39999389648438,188.8000030517578,211.0,38750290,2020-07-13
2020-07-20,169.97341918945312,195.6999969482422,209.0,192.3000030517578,202.0,46888767,2020-07-20
2020-07-27,166.8466796875,192.10000610351562,199.89999389648438,187.75,197.14999389648438,35023103,2020-07-27
2020-08-03,167.28094482421875,192.60000610351562,196.75,188.0,192.10000610351562,25816117,2020-08-03
2020-08-10,175.16217041015625,199.25,205.5,191.89999389648438,194.0,29499815,2020-08-10
2020-08-17,175.38194274902344,199.5,203.89999389648438,196.8000030517578,199.0,17920779,2020-08-17
2020-08-24,177.14015197753906,201.5,213.75,193.1999969482422,200.0,42336413,2020-08-24
2020-08-31,188.87625122070312,214.85000610351562,230.8000030517578,178.6999969482422,206.0,189209604,2020-08-31
2020-09-07,177.44784545898438,201.85000610351562,235.4499969482422,197.89999389648438,217.0,144888691,2020-09-07
2020-09-14,175.2500762939453,199.35000610351562,206.10000610351562,195.3000030517578,204.9499969482422,38403964,2020-09-14
2020-09-21,160.7008514404297,182.8000030517578,199.1999969482422,162.1999969482422,199.1999969482422,115997061,2020-09-21
2020-09-28,157.3162841796875,178.9499969482422,187.5,173.64999389648438,183.5,41913538,2020-09-28
2020-10-05,163.9535369873047,186.5,192.89999389648438,176.5500030517578,180.0,38690828,2020-10-05
2020-10-12,160.4810791015625,182.5500030517578,195.0,177.5,186.60000610351562,46733076,2020-10-12
2020-10-19,168.9204864501953,192.14999389648438,205.75,179.14999389648438,183.9499969482422,48269621,2020-10-19
2020-10-26,163.11839294433594,185.5500030517578,195.39999389648438,179.1999969482422,193.5500030517578,32840441,2020-10-26
2020-11-02,157.7998046875,179.5,187.14999389648438,176.5500030517578,186.60000610351562,32733070,2020-11-02
2020-11-09,159.4261474609375,181.35000610351562,182.6999969482422,175.25,181.75,32931714,2020-11-09
2020-11-16,192.56849670410156,219.0500030517578,223.0500030517578,180.6999969482422,180.6999969482422,90727937,2020-11-16
2020-11-23,192.1728973388672,218.60000610351562,238.0,213.0,221.6999969482422,90484414,2020-11-23
2020-11-30,208.6561737060547,237.35000610351562,247.25,210.35000610351562,218.60000610351562,199044129,2020-11-30
2020-12-07,215.2934112548828,244.89999389648438,249.39999389648438,234.14999389648438,237.64999389648438,40985550,2020-12-07
