Date,Adj Close_BALAMINES.NS,Close_BALAMINES.NS,High_BALAMINES.NS,Low_BALAMINES.NS,Open_BALAMINES.NS,Volume_BALAMINES.NS,Date
2020-07-13,588.5291137695312,596.4000244140625,638.6500244140625,573.0,634.7999877929688,865723,2020-07-13
2020-07-20,576.4407958984375,584.1500244140625,602.2000122070312,562.0,598.5,1329613,2020-07-20
2020-07-27,562.9215087890625,570.4500122070312,592.1500244140625,555.2000122070312,588.75,1187019,2020-07-27
2020-08-03,605.683837890625,613.1500244140625,636.9500122070312,566.4500122070312,570.4500122070312,1902024,2020-08-03
2020-08-10,708.3679809570312,717.0999755859375,753.9000244140625,613.0,617.2000122070312,3356078,2020-08-10
2020-08-17,853.2816772460938,863.7999877929688,880.0,718.0,726.0,4380922,2020-08-17
2020-08-24,872.5936279296875,883.3499755859375,994.7999877929688,868.0,878.0,3013379,2020-08-24
2020-08-31,855.9981689453125,866.5499877929688,914.0,761.9000244140625,884.9500122070312,1476406,2020-08-31
2020-09-07,830.1666259765625,840.4000244140625,878.6500244140625,785.0,874.9000244140625,701503,2020-09-07
2020-09-14,882.4224243164062,893.2999877929688,910.0,853.0,865.0,912800,2020-09-14
2020-09-21,803.3966064453125,813.2999877929688,911.2999877929688,741.6500244140625,900.0,792869,2020-09-21
2020-09-28,796.4324951171875,806.25,838.8499755859375,804.0,819.8499755859375,370107,2020-09-28
2020-10-05,820.9799194335938,831.0999755859375,868.7999877929688,795.0,813.0,609422,2020-10-05
2020-10-12,822.1651611328125,832.2999877929688,884.3499755859375,802.0,835.0,640523,2020-10-12
2020-10-19,834.1673583984375,844.4500122070312,855.4000244140625,815.5,837.7000122070312,249314,2020-10-19
2020-10-26,832.6856079101562,842.9500122070312,887.0,821.2999877929688,851.3499755859375,1131853,2020-10-26
2020-11-02,876.1497802734375,886.9500122070312,914.9000244140625,800.0,834.0,1155982,2020-11-02
2020-11-09,938.0369262695312,949.5999755859375,977.9000244140625,846.4000244140625,895.0,1882321,2020-11-09
2020-11-16,979.9700317382812,992.0499877929688,1019.0,937.6500244140625,955.0999755859375,1181824,2020-11-16
2020-11-23,989.74951171875,1001.9500122070312,1054.550048828125,960.0,997.8499755859375,1158154,2020-11-23
2020-11-30,971.67236328125,983.6500244140625,1035.0,976.0,1001.9500122070312,445727,2020-11-30
2020-12-07,912.205322265625,923.4500122070312,1013.2000122070312,905.5499877929688,988.9000244140625,687761,2020-12-07
2020-12-14,910.0321044921875,921.25,955.9000244140625,910.25,930.5,459060,2020-12-14
2020-12-21,914.0328369140625,925.2999877929688,945.1500244140625,850.0,923.5,527730,2020-12-21
2020-12-28,927.7636108398438,939.2000122070312,948.0,906.7999877929688,930.5999755859375,551451,2020-12-28
2021-01-04,1131.7490234375,1145.699951171875,1315.0,945.0,945.0,4176163,2021-01-04
2021-01-11,1137.379638671875,1151.4000244140625,1228.5999755859375,1130.800048828125,1150.5999755859375,1049724,2021-01-11
2021-01-18,1092.236083984375,1105.699951171875,1192.699951171875,1080.0999755859375,1135.0,679666,2021-01-18
2021-01-25,1110.7083740234375,1124.4000244140625,1169.0,1065.3499755859375,1116.699951171875,349182,2021-01-25
2021-02-01,1196.55029296875,1211.300048828125,1245.800048828125,1122.050048828125,1125.0,649584,2021-02-01
2021-02-08,1623.6849365234375,1643.699951171875,1754.0,1217.050048828125,1222.199951171875,4375746,2021-02-08
2021-02-15,1586.5428466796875,1606.0999755859375,1685.4000244140625,1512.0999755859375,1639.199951171875,1226010,2021-02-15
2021-02-22,1609.3121337890625,1629.1500244140625,1730.0,1580.0,1636.449951171875,745084,2021-02-22
2021-03-01,1771.759765625,1793.5999755859375,1905.550048828125,1635.0,1648.6500244140625,1428517,2021-03-01
2021-03-08,1751.1142578125,1772.699951171875,1899.0,1715.0,1820.0,366155,2021-03-08
2021-03-15,1668.087646484375,1688.6500244140625,1807.0,1555.0,1786.0,618885,2021-03-15
2021-03-22,1674.7554931640625,1695.4000244140625,1815.0,1652.0999755859375,1719.0,831103,2021-03-22
2021-03-29,1765.3883056640625,1787.1500244140625,1820.0,1695.4000244140625,1695.4000244140625,400792,2021-03-29
2021-04-05,1973.7200927734375,1998.050048828125,2047.9000244140625,1725.050048828125,1800.0,1597318,2021-04-05
2021-04-12,1820.5086669921875,1842.949951171875,1931.25,1820.0,1930.0,497854,2021-04-12
2021-04-19,1915.7843017578125,1939.4000244140625,1989.699951171875,1761.1500244140625,1817.8499755859375,725597,2021-04-19
2021-04-26,2558.511474609375,2590.050048828125,2673.699951171875,1964.0,1970.699951171875,5615265,2021-04-26
2021-05-03,2374.18359375,2403.449951171875,2655.0,2381.0,2595.0,847858,2021-05-03
2021-05-10,2376.94970703125,2406.25,2519.0,2307.10009765625,2403.0,616801,2021-05-10
2021-05-17,2768.868408203125,2803.0,2926.39990234375,2419.39990234375,2419.39990234375,1168458,2021-05-17
2021-05-24,2811.88818359375,2846.550048828125,2957.800048828125,2711.0,2834.0,1249581,2021-05-24
2021-05-31,2668.25830078125,2701.14990234375,2879.39990234375,2645.0,2849.800048828125,446452,2021-05-31
2021-06-07,2667.71533203125,2700.60009765625,2806.0,2657.949951171875,2720.0,420852,2021-06-07
2021-06-14,2544.28662109375,2575.64990234375,2730.0,2451.699951171875,2690.0,302373,2021-06-14
2021-06-21,2658.8251953125,2691.60009765625,2766.0,2495.0,2550.0,339047,2021-06-21
2021-06-28,2751.235595703125,2785.14990234375,2855.0,2642.0,2708.0,537110,2021-06-28
2021-07-05,2763.435302734375,2797.5,2855.050048828125,2746.050048828125,2808.5,235924,2021-07-05
2021-07-12,2874.614990234375,2910.050048828125,3180.0,2790.0,2790.0,497961,2021-07-12
2021-07-19,3008.810546875,3045.89990234375,3120.0,2765.0,2880.0,506496,2021-07-19
2021-07-26,3226.97119140625,3266.75,3441.0,3080.050048828125,3085.0,1083294,2021-07-26
2021-08-02,3402.37060546875,3440.199951171875,3619.0,3233.0,3292.60009765625,714292,2021-08-02
2021-08-09,3388.920166015625,3426.60009765625,3548.89990234375,3169.699951171875,3448.0,441944,2021-08-09
2021-08-16,3282.503173828125,3319.0,3464.800048828125,3305.050048828125,3439.949951171875,142009,2021-08-16
2021-08-23,3747.038330078125,3788.699951171875,3830.0,3180.0,3353.949951171875,943539,2021-08-23
