Date,Adj Close_UNIVASTU.NS,Close_UNIVASTU.NS,High_UNIVASTU.NS,Low_UNIVASTU.NS,Open_UNIVASTU.NS,Volume_UNIVASTU.NS,Date
2020-07-13,31.899999618530273,31.899999618530273,32.54999923706055,26.049999237060547,30.0,49519,2020-07-13
2020-07-20,33.75,33.75,42.29999923706055,31.899999618530273,33.5,322984,2020-07-20
2020-07-27,32.099998474121094,32.099998474121094,35.0,30.549999237060547,34.5,26378,2020-07-27
2020-08-03,31.149999618530273,31.149999618530273,37.0,29.399999618530273,30.200000762939453,18080,2020-08-03
2020-08-10,33.45000076293945,33.45000076293945,37.349998474121094,30.600000381469727,30.600000381469727,35636,2020-08-10
2020-08-17,31.5,31.5,33.900001525878906,30.899999618530273,32.0,32288,2020-08-17
2020-08-24,32.95000076293945,32.95000076293945,34.75,30.600000381469727,31.5,318510,2020-08-24
2020-08-31,33.099998474121094,33.099998474121094,38.5,26.549999237060547,33.95000076293945,674041,2020-08-31
2020-09-07,31.25,31.25,34.099998474121094,26.5,33.099998474121094,79337,2020-09-07
2020-09-14,32.20000076293945,32.20000076293945,34.45000076293945,29.25,31.299999237060547,31439,2020-09-14
2020-09-21,31.950000762939453,31.950000762939453,40.900001525878906,28.299999237060547,32.95000076293945,187450,2020-09-21
2020-09-28,31.350000381469727,31.350000381469727,33.849998474121094,31.0,32.900001525878906,8379,2020-09-28
2020-10-05,31.350000381469727,31.350000381469727,33.79999923706055,30.299999237060547,31.0,9060,2020-10-05
2020-10-12,31.5,31.5,33.900001525878906,31.0,31.799999237060547,5760,2020-10-12
2020-10-19,31.100000381469727,31.100000381469727,32.349998474121094,30.299999237060547,31.450000762939453,1125,2020-10-19
2020-10-26,30.75,30.75,32.5,30.200000762939453,32.150001525878906,9066,2020-10-26
2020-11-02,31.75,31.75,37.0,30.399999618530273,30.799999237060547,16905,2020-11-02
2020-11-09,30.5,30.5,33.54999923706055,29.100000381469727,31.899999618530273,4123,2020-11-09
2020-11-16,32.45000076293945,32.45000076293945,36.0,29.299999237060547,31.350000381469727,16317,2020-11-16
2020-11-23,31.899999618530273,31.899999618530273,32.79999923706055,31.049999237060547,32.0,5266,2020-11-23
2020-11-30,32.150001525878906,32.150001525878906,33.0,31.049999237060547,31.899999618530273,4699,2020-11-30
2020-12-07,31.700000762939453,31.700000762939453,34.75,31.299999237060547,34.75,5466,2020-12-07
2020-12-14,32.599998474121094,32.599998474121094,34.5,31.149999618530273,33.0,10596,2020-12-14
2020-12-21,33.400001525878906,33.400001525878906,35.5,31.200000762939453,33.04999923706055,9656,2020-12-21
2020-12-28,32.75,32.75,34.70000076293945,32.29999923706055,33.400001525878906,7012,2020-12-28
2021-01-04,35.25,35.25,37.0,32.29999923706055,35.0,34000,2021-01-04
2021-01-11,33.5,33.5,38.75,30.049999237060547,36.5,59821,2021-01-11
2021-01-18,33.54999923706055,33.54999923706055,46.79999923706055,30.350000381469727,35.95000076293945,2235341,2021-01-18
2021-01-25,32.29999923706055,32.29999923706055,35.099998474121094,31.149999618530273,34.79999923706055,91385,2021-01-25
2021-02-01,30.899999618530273,30.899999618530273,33.0,27.149999618530273,31.200000762939453,99375,2021-02-01
2021-02-08,30.549999237060547,30.549999237060547,31.0,29.049999237060547,30.100000381469727,32646,2021-02-08
2021-02-15,31.200000762939453,31.200000762939453,32.150001525878906,30.149999618530273,30.649999618530273,25610,2021-02-15
2021-02-22,30.5,30.5,31.950000762939453,29.549999237060547,30.700000762939453,13445,2021-02-22
