Date,Adj Close_GTPL.NS,Close_GTPL.NS,High_GTPL.NS,Low_GTPL.NS,Open_GTPL.NS,Volume_GTPL.NS,Date
2020-07-13,68.22850799560547,76.6500015258789,80.55000305175781,72.0,76.0,895145,2020-07-13
2020-07-20,84.20634460449219,94.5999984741211,94.5999984741211,77.80000305175781,80.3499984741211,1425456,2020-07-20
2020-07-27,75.88362121582031,85.25,96.0,83.5999984741211,95.80000305175781,849314,2020-07-27
2020-08-03,87.32180786132812,98.0999984741211,104.0,84.05000305175781,85.5,1719002,2020-08-03
2020-08-10,87.01026916503906,97.75,108.94999694824219,93.6500015258789,100.0999984741211,977589,2020-08-10
2020-08-17,91.2383804321289,102.5,110.94999694824219,98.0,101.0,839233,2020-08-17
2020-08-24,94.82293701171875,103.55000305175781,108.44999694824219,98.6500015258789,104.94999694824219,534036,2020-08-24
2020-08-31,86.58145141601562,94.55000305175781,107.80000305175781,85.69999694824219,107.80000305175781,418679,2020-08-31
2020-09-07,85.11630249023438,92.94999694824219,96.30000305175781,85.0,95.0,304065,2020-09-07
2020-09-14,85.57415008544922,93.44999694824219,97.0,91.5,94.69999694824219,206567,2020-09-14
2020-09-21,79.25568389892578,86.55000305175781,98.0,83.55000305175781,94.0,263643,2020-09-21
2020-09-28,80.40032196044922,87.80000305175781,90.0,86.0,86.94999694824219,85500,2020-09-28
2020-10-05,107.00202941894531,116.8499984741211,125.0,87.05000305175781,87.80000305175781,3540191,2020-10-05
2020-10-12,113.18314361572266,123.5999984741211,140.1999969482422,120.0999984741211,123.9000015258789,5442677,2020-10-12
2020-10-19,108.10089111328125,118.05000305175781,126.44999694824219,115.1500015258789,124.0,928160,2020-10-19
2020-10-26,104.43801879882812,114.05000305175781,121.4000015258789,110.94999694824219,119.94999694824219,640783,2020-10-26
2020-11-02,103.98015594482422,113.55000305175781,117.19999694824219,110.94999694824219,115.80000305175781,343823,2020-11-02
2020-11-09,105.67424011230469,115.4000015258789,118.0,111.0,116.0,333617,2020-11-09
