Date,Adj Close_NETWEB.NS,Close_NETWEB.NS,High_NETWEB.NS,Low_NETWEB.NS,Open_NETWEB.NS,Volume_NETWEB.NS,Date
2023-07-24,897.6574096679688,898.4500122070312,952.0,876.0499877929688,947.0,18733383,2023-07-24
2023-07-31,892.0123291015625,892.7999877929688,911.5499877929688,845.0,900.0,2737201,2023-07-31
2023-08-07,870.2315673828125,871.0,899.9000244140625,840.0,893.7999877929688,1026696,2023-08-07
2023-08-14,814.380859375,815.0999755859375,879.0,810.0499877929688,811.0,967359,2023-08-14
2023-08-21,864.4866943359375,865.25,920.7000122070312,782.7000122070312,816.4500122070312,1883517,2023-08-21
2023-08-28,845.0538330078125,845.7999877929688,892.0,832.0,868.0,995776,2023-08-28
2023-09-04,838.1099243164062,838.8499755859375,866.1500244140625,824.8499755859375,846.0,627994,2023-09-04
2023-09-11,815.8296508789062,816.5499877929688,854.9500122070312,806.8499755859375,842.9500122070312,626060,2023-09-11
2023-09-18,809.185546875,809.9000244140625,820.4500122070312,803.0999755859375,816.5499877929688,187416,2023-09-18
2023-09-25,826.9697875976562,827.7000122070312,834.2999877929688,790.0999755859375,814.2999877929688,317388,2023-09-25
2023-10-02,812.032958984375,812.75,859.9000244140625,811.0,827.7000122070312,237766,2023-10-02
2023-10-09,866.1851806640625,866.9500122070312,888.7999877929688,792.7999877929688,812.0,935518,2023-10-09
2023-10-16,886.966796875,887.75,918.9000244140625,852.9500122070312,855.0,597415,2023-10-16
2023-10-23,750.9368896484375,751.5999755859375,909.9000244140625,738.5999755859375,890.0,802588,2023-10-23
2023-10-30,796.197021484375,796.9000244140625,833.1500244140625,742.7000122070312,762.0,942013,2023-10-30
2023-11-06,769.2208251953125,769.9000244140625,808.7999877929688,765.75,801.0,324884,2023-11-06
2023-11-13,814.5807495117188,815.2999877929688,838.4500122070312,772.5,775.0,342809,2023-11-13
2023-11-20,810.584228515625,811.2999877929688,850.0,804.0,850.0,377228,2023-11-20
2023-11-27,896.7081909179688,897.5,916.9500122070312,811.2999877929688,811.2999877929688,1738982,2023-11-27
2023-12-04,994.1221923828125,995.0,1020.0,876.1500244140625,910.0,2143360,2023-12-04
2023-12-11,1289.4114990234375,1290.550048828125,1308.9000244140625,997.0999755859375,1019.6500244140625,2238542,2023-12-11
2023-12-18,1219.623046875,1220.699951171875,1298.949951171875,1084.300048828125,1298.699951171875,1044920,2023-12-18
2023-12-25,1186.50244140625,1187.550048828125,1263.699951171875,1180.0,1220.699951171875,451771,2023-12-25
2024-01-01,1189.699462890625,1190.75,1238.800048828125,1139.0,1205.0,280990,2024-01-01
