Date,Adj Close_ARVEE.NS,Close_ARVEE.NS,High_ARVEE.NS,Low_ARVEE.NS,Open_ARVEE.NS,Volume_ARVEE.NS,Date
2020-07-13,19.975000381469727,19.975000381469727,19.975000381469727,19.975000381469727,19.975000381469727,0,2020-07-13
2020-07-20,19.975000381469727,19.975000381469727,19.975000381469727,19.975000381469727,19.975000381469727,0,2020-07-20
2020-07-27,19.975000381469727,19.975000381469727,19.975000381469727,19.975000381469727,19.975000381469727,0,2020-07-27
2020-08-03,19.975000381469727,19.975000381469727,19.975000381469727,19.975000381469727,19.975000381469727,0,2020-08-03
2020-08-10,20.649999618530273,20.649999618530273,20.649999618530273,19.975000381469727,19.975000381469727,4000,2020-08-10
2020-08-17,20.649999618530273,20.649999618530273,20.649999618530273,20.649999618530273,20.649999618530273,0,2020-08-17
2020-08-24,34.54999923706055,34.54999923706055,34.54999923706055,22.5,22.5,48000,2020-08-24
2020-08-31,35.25,35.25,35.25,34.70000076293945,34.70000076293945,24000,2020-08-31
2020-09-07,35.400001525878906,35.400001525878906,38.474998474121094,35.25,35.29999923706055,84000,2020-09-07
2020-09-14,38.5,38.5,38.5,35.400001525878906,35.400001525878906,52000,2020-09-14
2020-09-21,35.625,35.625,35.625,35.025001525878906,35.025001525878906,44000,2020-09-21
2020-09-28,36.25,36.25,36.25,35.625,35.625,4000,2020-09-28
2020-10-05,39.875,39.875,39.875,36.25,36.25,4000,2020-10-05
2020-10-12,39.875,39.875,39.875,39.875,39.875,0,2020-10-12
2020-10-19,41.5,41.5,41.5,39.875,39.875,4000,2020-10-19
2020-10-26,41.5,41.5,41.5,41.5,41.5,0,2020-10-26
2020-11-02,41.5,41.5,41.5,41.5,41.5,0,2020-11-02
2020-11-09,41.5,41.5,41.5,41.5,41.5,0,2020-11-09
2020-11-16,41.5,41.5,41.5,41.5,41.5,0,2020-11-16
2020-11-23,41.5,41.5,41.5,41.5,41.5,0,2020-11-23
2020-11-30,41.5,41.5,41.5,41.5,41.5,0,2020-11-30
2020-12-07,41.5,41.5,41.5,41.5,41.5,0,2020-12-07
2020-12-14,41.5,41.5,41.5,41.5,41.5,0,2020-12-14
2020-12-21,41.5,41.5,41.5,41.5,41.5,0,2020-12-21
2020-12-28,41.5,41.5,41.5,41.5,41.5,0,2020-12-28
2021-01-04,41.5,41.5,41.5,41.5,41.5,0,2021-01-04
2021-01-11,41.5,41.5,41.5,41.5,41.5,0,2021-01-11
2021-01-18,41.5,41.5,41.5,41.5,41.5,0,2021-01-18
2021-01-25,41.5,41.5,41.5,41.5,41.5,0,2021-01-25
2021-02-01,41.5,41.5,41.5,41.5,41.5,0,2021-02-01
2021-02-08,41.5,41.5,41.5,41.5,41.5,0,2021-02-08
2021-02-15,41.5,41.5,41.5,41.5,41.5,0,2021-02-15
2021-02-22,41.5,41.5,41.5,41.5,41.5,0,2021-02-22
2021-03-01,41.5,41.5,41.5,41.5,41.5,0,2021-03-01
2021-03-08,41.5,41.5,41.5,41.5,41.5,0,2021-03-08
2021-03-15,41.5,41.5,41.5,41.5,41.5,0,2021-03-15
2021-03-22,52.79999923706055,52.79999923706055,52.79999923706055,43.54999923706055,43.54999923706055,1009,2021-03-22
2021-03-29,58.150001525878906,58.150001525878906,58.150001525878906,52.79999923706055,52.79999923706055,152,2021-03-29
2021-04-05,74.1500015258789,74.1500015258789,74.1500015258789,61.04999923706055,61.04999923706055,2990,2021-04-05
2021-04-12,90.0,90.0,90.0,74.1500015258789,77.8499984741211,10331,2021-04-12
2021-04-19,109.3499984741211,109.3499984741211,109.3499984741211,94.5,94.5,22701,2021-04-19
2021-04-26,139.39999389648438,139.39999389648438,139.39999389648438,112.0,114.80000305175781,12774,2021-04-26
2021-05-03,177.8000030517578,177.8000030517578,177.8000030517578,146.35000610351562,146.35000610351562,2098,2021-05-03
2021-05-10,195.4499969482422,195.4499969482422,215.9499969482422,186.64999389648438,186.64999389648438,17042,2021-05-10
2021-05-17,151.35000610351562,151.35000610351562,185.6999969482422,151.35000610351562,185.6999969482422,6019,2021-05-17
2021-05-24,117.3499984741211,117.3499984741211,143.8000030517578,117.3499984741211,143.8000030517578,34290,2021-05-24
2021-05-31,90.94999694824219,90.94999694824219,111.5,90.94999694824219,111.5,17030,2021-05-31
2021-06-07,115.94999694824219,115.94999694824219,115.94999694824219,86.44999694824219,86.44999694824219,26045,2021-06-07
2021-06-14,117.44999694824219,117.44999694824219,127.75,115.6500015258789,121.69999694824219,37301,2021-06-14
2021-06-21,117.80000305175781,117.80000305175781,122.94999694824219,109.3499984741211,122.94999694824219,12452,2021-06-21
2021-06-28,106.75,106.75,119.0,104.0999984741211,113.0,6926,2021-06-28
2021-07-05,106.0,106.0,115.25,102.0,102.0,5955,2021-07-05
2021-07-12,108.0,108.0,114.5,104.05000305175781,104.5,5867,2021-07-12
2021-07-19,109.69999694824219,109.69999694824219,113.0,102.5999984741211,112.0,3929,2021-07-19
2021-07-26,108.5999984741211,108.5999984741211,110.0,102.5999984741211,105.69999694824219,4404,2021-07-26
2021-08-02,106.0,106.0,113.8499984741211,104.0,109.5,2222,2021-08-02
2021-08-09,93.0,93.0,110.0,92.6500015258789,104.0,7527,2021-08-09
2021-08-16,97.8499984741211,97.8499984741211,100.9000015258789,87.9000015258789,93.0,3002,2021-08-16
2021-08-23,92.9000015258789,92.9000015258789,100.0,86.5999984741211,97.8499984741211,2429,2021-08-23
2021-08-30,92.44999694824219,92.44999694824219,98.0999984741211,89.0,95.0,2069,2021-08-30
2021-09-06,91.6500015258789,91.6500015258789,99.5,91.1500015258789,95.0,4997,2021-09-06
2021-09-13,92.0,92.0,95.19999694824219,90.0,95.0,3042,2021-09-13
2021-09-20,90.8499984741211,90.8499984741211,96.5999984741211,82.55000305175781,96.5999984741211,5612,2021-09-20
2021-09-27,88.75,88.75,92.69999694824219,83.6500015258789,92.69999694824219,1631,2021-09-27
2021-10-04,89.0,89.0,90.25,85.0,85.0,2141,2021-10-04
2021-10-11,88.5999984741211,88.5999984741211,90.0,84.19999694824219,86.0,2687,2021-10-11
2021-10-18,85.55000305175781,85.55000305175781,92.5999984741211,84.0,86.05000305175781,6475,2021-10-18
2021-10-25,72.94999694824219,72.94999694824219,88.55000305175781,68.8499984741211,84.94999694824219,11934,2021-10-25
2021-11-01,72.6500015258789,72.6500015258789,76.94999694824219,69.0,73.6500015258789,3380,2021-11-01
2021-11-08,74.44999694824219,74.44999694824219,76.9000015258789,70.30000305175781,74.8499984741211,6104,2021-11-08
2021-11-15,73.94999694824219,73.94999694824219,78.0,71.30000305175781,77.94999694824219,5550,2021-11-15
2021-11-22,75.94999694824219,75.94999694824219,79.25,70.30000305175781,77.55000305175781,5632,2021-11-22
2021-11-29,77.19999694824219,77.19999694824219,80.5,73.0999984741211,79.5,9976,2021-11-29
2021-12-06,84.94999694824219,84.94999694824219,87.19999694824219,71.5,79.0,14593,2021-12-06
2021-12-13,82.44999694824219,82.44999694824219,91.9000015258789,79.19999694824219,85.0,14963,2021-12-13
2021-12-20,84.1500015258789,84.1500015258789,90.25,74.5,80.5999984741211,9397,2021-12-20
2021-12-27,87.25,87.25,90.0,75.75,84.1500015258789,17266,2021-12-27
2022-01-03,84.44999694824219,84.44999694824219,90.0,79.05000305175781,90.0,11473,2022-01-03
2022-01-10,85.5,85.5,88.19999694824219,82.19999694824219,85.5,10893,2022-01-10
2022-01-17,98.25,98.25,98.25,80.5,81.5999984741211,51359,2022-01-17
2022-01-24,92.55000305175781,92.55000305175781,108.0,86.19999694824219,104.25,61043,2022-01-24
2022-01-31,94.25,94.25,99.0,80.0,91.0,36312,2022-01-31
2022-02-07,89.80000305175781,89.80000305175781,95.4000015258789,85.0,92.5,16797,2022-02-07
2022-02-14,82.05000305175781,82.05000305175781,91.0,81.0,91.0,14925,2022-02-14
2022-02-21,76.0,76.0,84.05000305175781,69.0999984741211,80.5999984741211,7368,2022-02-21
