Date,Adj Close_AARVI.NS,Close_AARVI.NS,High_AARVI.NS,Low_AARVI.NS,Open_AARVI.NS,Volume_AARVI.NS,Date
2020-07-13,29.69080352783203,32.900001525878906,35.849998474121094,30.700000762939453,33.849998474121094,6431,2020-07-13
2020-07-20,27.389537811279297,30.350000381469727,34.5,30.100000381469727,34.29999923706055,20348,2020-07-20
2020-07-27,28.4273624420166,31.5,32.75,29.850000381469727,31.75,34125,2020-07-27
2020-08-03,26.802940368652344,29.700000762939453,33.20000076293945,28.049999237060547,29.950000762939453,24454,2020-08-03
2020-08-10,30.503009796142578,33.79999923706055,34.25,27.0,27.0,40199,2020-08-10
2020-08-17,40.11416244506836,44.45000076293945,46.0,37.150001525878906,37.150001525878906,54060,2020-08-17
2020-08-24,39.70806121826172,44.0,45.45000076293945,42.25,44.5,12215,2020-08-24
2020-08-31,37.90314865112305,42.0,44.5,38.650001525878906,44.0,9613,2020-08-31
2020-09-07,32.48841094970703,36.0,41.95000076293945,35.0,40.099998474121094,6754,2020-09-07
2020-09-14,35.337345123291016,38.099998474121094,38.95000076293945,34.349998474121094,36.0,7590,2020-09-14
2020-09-21,36.68220520019531,39.54999923706055,39.900001525878906,36.75,39.70000076293945,3447,2020-09-21
2020-09-28,37.84156799316406,40.79999923706055,41.5,36.650001525878906,39.0,10162,2020-09-28
2020-10-05,38.16618728637695,41.150001525878906,45.0,40.54999923706055,42.79999923706055,17233,2020-10-05
2020-10-12,35.801090240478516,38.599998474121094,43.79999923706055,36.20000076293945,41.150001525878906,4423,2020-10-12
2020-10-19,35.9865837097168,38.79999923706055,42.79999923706055,35.45000076293945,39.95000076293945,8700,2020-10-19
2020-10-26,34.91997528076172,37.650001525878906,42.650001525878906,34.25,39.849998474121094,3849,2020-10-26
2020-11-02,32.554874420166016,35.099998474121094,38.349998474121094,33.75,36.400001525878906,18062,2020-11-02
2020-11-09,36.68220520019531,39.54999923706055,39.849998474121094,34.650001525878906,35.900001525878906,12447,2020-11-09
2020-11-16,34.96635055541992,37.70000076293945,39.95000076293945,35.150001525878906,36.25,27351,2020-11-16
2020-11-23,36.07933807373047,38.900001525878906,40.400001525878906,35.5,38.75,4762,2020-11-23
2020-11-30,36.77495574951172,39.650001525878906,42.70000076293945,37.25,38.900001525878906,41990,2020-11-30
2020-12-07,37.099571228027344,40.0,42.79999923706055,39.5,40.0,28524,2020-12-07
2020-12-14,42.432640075683594,45.75,49.79999923706055,39.0,41.0,110344,2020-12-14
2020-12-21,40.438533782958984,43.599998474121094,48.650001525878906,37.25,43.099998474121094,41188,2020-12-21
2020-12-28,46.6527099609375,50.29999923706055,54.650001525878906,42.099998474121094,47.75,730243,2020-12-28
2021-01-04,43.36012649536133,46.75,51.29999923706055,44.5,48.400001525878906,151297,2021-01-04
2021-01-11,43.45287322998047,46.849998474121094,52.95000076293945,46.25,48.5,170276,2021-01-11
2021-01-18,38.8154296875,41.849998474121094,48.45000076293945,38.20000076293945,47.79999923706055,85442,2021-01-18
2021-01-25,38.90817642211914,41.95000076293945,44.349998474121094,38.5,41.849998474121094,28684,2021-01-25
2021-02-01,38.3053092956543,41.29999923706055,45.900001525878906,40.29999923706055,41.95000076293945,48429,2021-02-01
2021-02-08,43.26737976074219,46.650001525878906,47.5,42.0,42.650001525878906,61097,2021-02-08
2021-02-15,44.47311782836914,47.95000076293945,50.349998474121094,44.099998474121094,50.0,81649,2021-02-15
2021-02-22,49.574310302734375,53.45000076293945,54.70000076293945,45.5,47.25,104699,2021-02-22
2021-03-01,52.54227066040039,56.650001525878906,62.5,52.0,52.400001525878906,211042,2021-03-01
2021-03-08,51.80028533935547,55.849998474121094,60.0,55.20000076293945,57.5,44718,2021-03-08
2021-03-15,48.5540657043457,52.349998474121094,56.95000076293945,50.54999923706055,55.900001525878906,36887,2021-03-15
2021-03-22,46.83821487426758,50.5,56.0,49.650001525878906,53.650001525878906,21587,2021-03-22
2021-03-29,47.07008743286133,50.75,54.400001525878906,48.29999923706055,50.5,19311,2021-03-29
2021-04-05,45.725223541259766,49.29999923706055,53.0,48.5,53.0,60643,2021-04-05
2021-04-12,47.99757385253906,51.75,51.75,41.95000076293945,50.0,74578,2021-04-12
2021-04-19,47.116458892822266,50.79999923706055,56.0,47.54999923706055,55.0,290038,2021-04-19
2021-04-26,44.70498275756836,48.20000076293945,51.45000076293945,47.5,51.45000076293945,72232,2021-04-26
2021-05-03,44.751365661621094,48.25,49.45000076293945,47.70000076293945,49.099998474121094,37982,2021-05-03
2021-05-10,47.34832763671875,51.04999923706055,53.900001525878906,46.25,49.099998474121094,61359,2021-05-10
2021-05-17,48.87868881225586,52.70000076293945,53.79999923706055,50.29999923706055,52.95000076293945,79422,2021-05-17
2021-05-24,64.36776733398438,69.4000015258789,78.0,52.04999923706055,52.75,2373268,2021-05-24
2021-05-31,62.976524353027344,67.9000015258789,72.69999694824219,62.099998474121094,72.69999694824219,362537,2021-05-31
2021-06-07,64.1358871459961,69.1500015258789,71.8499984741211,66.6500015258789,69.80000305175781,345000,2021-06-07
2021-06-14,61.86354064941406,66.69999694824219,70.0,65.0999984741211,69.0,184106,2021-06-14
2021-06-21,62.002662658691406,66.8499984741211,73.75,65.1500015258789,66.05000305175781,376723,2021-06-21
2021-06-28,62.605533599853516,67.5,69.0,65.0999984741211,66.8499984741211,143925,2021-06-28
