Date,Adj Close_MEDANTA.NS,Close_MEDANTA.NS,High_MEDANTA.NS,Low_MEDANTA.NS,Open_MEDANTA.NS,Volume_MEDANTA.NS,Date
2022-11-14,414.1499938964844,414.1499938964844,422.79998779296875,406.6499938964844,417.3500061035156,3521333,2022-11-14
2022-11-21,451.79998779296875,451.79998779296875,487.75,407.25,413.79998779296875,14235942,2022-11-21
2022-11-28,457.45001220703125,457.45001220703125,479.5,451.04998779296875,452.0,4413782,2022-11-28
2022-12-05,463.25,463.25,475.70001220703125,452.1000061035156,459.75,3072147,2022-12-05
2022-12-12,446.5,446.5,461.29998779296875,430.1000061035156,460.0,3473880,2022-12-12
2022-12-19,444.54998779296875,444.54998779296875,461.0,435.0,445.95001220703125,2802463,2022-12-19
2022-12-26,468.79998779296875,468.79998779296875,484.79998779296875,445.1499938964844,446.79998779296875,1988019,2022-12-26
2023-01-02,457.29998779296875,457.29998779296875,476.8500061035156,449.5,470.0,1214983,2023-01-02
2023-01-09,452.5,452.5,462.0,443.20001220703125,459.6000061035156,876975,2023-01-09
2023-01-16,451.79998779296875,451.79998779296875,458.04998779296875,444.1000061035156,451.29998779296875,588254,2023-01-16
2023-01-23,437.54998779296875,437.54998779296875,459.54998779296875,435.0,448.3999938964844,1022465,2023-01-23
2023-01-30,438.45001220703125,438.45001220703125,452.3999938964844,426.1499938964844,426.1499938964844,747973,2023-01-30
2023-02-06,454.79998779296875,454.79998779296875,463.79998779296875,435.29998779296875,439.75,2255701,2023-02-06
2023-02-13,517.0999755859375,517.0999755859375,533.25,451.0,455.95001220703125,5776967,2023-02-13
2023-02-20,505.25,505.25,533.7000122070312,481.5,514.0,3521535,2023-02-20
2023-02-27,504.79998779296875,504.79998779296875,538.0,492.0,505.25,3806846,2023-02-27
2023-03-06,500.6000061035156,500.6000061035156,523.9000244140625,495.6499938964844,504.04998779296875,1891760,2023-03-06
2023-03-13,486.75,486.75,514.7999877929688,481.0,501.0,2048957,2023-03-13
2023-03-20,476.6000061035156,476.6000061035156,496.70001220703125,470.0,476.0,644116,2023-03-20
2023-03-27,526.9500122070312,526.9500122070312,531.5999755859375,464.29998779296875,479.0,2147571,2023-03-27
2023-04-03,475.95001220703125,475.95001220703125,524.2999877929688,472.5,520.0,1725006,2023-04-03
