Date,Adj Close_EIHAHOTELS.NS,Close_EIHAHOTELS.NS,High_EIHAHOTELS.NS,Low_EIHAHOTELS.NS,Open_EIHAHOTELS.NS,Volume_EIHAHOTELS.NS,Date
2020-07-13,115.84296417236328,118.42500305175781,121.42500305175781,116.55000305175781,117.5,11994,2020-07-13
2020-07-20,119.46228790283203,122.125,127.0,116.2750015258789,120.0,38060,2020-07-20
2020-07-27,124.4266357421875,127.19999694824219,132.5,116.6500015258789,120.0999984741211,108592,2020-07-27
2020-08-03,124.50000762939453,127.2750015258789,138.5,123.625,127.19999694824219,285320,2020-08-03
2020-08-10,127.75251007080078,130.60000610351562,141.89999389648438,125.0,127.375,492998,2020-08-10
2020-08-17,135.04006958007812,138.0500030517578,145.0,129.0,133.4499969482422,576054,2020-08-17
2020-08-24,131.7141876220703,134.64999389648438,140.89999389648438,133.02499389648438,140.5,229036,2020-08-24
2020-08-31,119.97583770751953,122.6500015258789,136.8249969482422,120.80000305175781,134.97500610351562,134514,2020-08-31
2020-09-07,119.21773529052734,121.875,124.5,116.75,123.05000305175781,76212,2020-09-07
2020-09-14,116.45433044433594,119.05000305175781,125.0,117.5999984741211,124.07499694824219,89200,2020-09-14
2020-09-21,110.1205062866211,112.57499694824219,120.4749984741211,110.625,120.0,48074,2020-09-21
2020-09-28,118.31290435791016,120.94999694824219,124.2249984741211,112.67500305175781,115.92500305175781,52780,2020-09-28
2020-10-05,116.13641357421875,118.7249984741211,122.25,116.05000305175781,121.5,20404,2020-10-05
2020-10-12,111.31880187988281,113.80000305175781,120.5,111.17500305175781,118.17500305175781,25220,2020-10-12
2020-10-19,113.07955169677734,115.5999984741211,117.19999694824219,108.5,113.0250015258789,63974,2020-10-19
2020-10-26,111.71007537841797,114.19999694824219,117.3499984741211,111.55000305175781,117.3499984741211,47076,2020-10-26
2020-11-02,112.02799224853516,114.5250015258789,117.0,111.3499984741211,114.94999694824219,40820,2020-11-02
2020-11-09,122.07896423339844,124.80000305175781,129.85000610351562,113.5999984741211,115.05000305175781,136738,2020-11-09
2020-11-16,125.74720764160156,128.5500030517578,139.47500610351562,119.0250015258789,119.0250015258789,179058,2020-11-16
2020-11-23,126.06511688232422,128.875,132.1999969482422,122.5250015258789,127.5,76218,2020-11-23
2020-11-30,127.75251007080078,130.60000610351562,136.3249969482422,126.0999984741211,128.875,166830,2020-11-30
2020-12-07,126.55421447753906,129.375,137.0,127.4749984741211,132.0,133080,2020-12-07
2020-12-14,141.3249969482422,144.47500610351562,156.1999969482422,129.27499389648438,131.89999389648438,825316,2020-12-14
2020-12-21,132.66793823242188,135.625,144.89999389648438,127.4749984741211,144.4499969482422,131302,2020-12-21
2020-12-28,138.29258728027344,141.375,144.4250030517578,130.5749969482422,138.25,197546,2020-12-28
2021-01-04,141.59397888183594,144.75,156.1999969482422,140.6750030517578,145.89999389648438,213368,2021-01-04
2021-01-11,134.69769287109375,137.6999969482422,148.47500610351562,136.5,144.75,139742,2021-01-11
2021-01-18,135.7003631591797,138.72500610351562,142.3000030517578,135.1999969482422,135.85000610351562,50832,2021-01-18
2021-01-25,135.01560974121094,138.02499389648438,143.85000610351562,135.02499389648438,142.4499969482422,75526,2021-01-25
2021-02-01,134.79551696777344,137.8000030517578,142.39999389648438,133.0,140.0,107114,2021-02-01
2021-02-08,135.62698364257812,138.64999389648438,142.1999969482422,136.02499389648438,142.1999969482422,72530,2021-02-08
2021-02-15,132.66793823242188,135.625,147.35000610351562,135.0,140.0,88416,2021-02-15
2021-02-22,130.8093719482422,133.72500610351562,139.35000610351562,131.0,139.35000610351562,36002,2021-02-22
2021-03-01,136.042724609375,139.0749969482422,146.9499969482422,132.5500030517578,134.0500030517578,279090,2021-03-01
2021-03-08,133.91513061523438,136.89999389648438,144.4499969482422,136.375,140.0,120812,2021-03-08
2021-03-15,123.57070922851562,126.32499694824219,137.02499389648438,124.82499694824219,137.02499389648438,73588,2021-03-15
2021-03-22,114.66912078857422,117.2249984741211,128.5,116.0,128.375,76758,2021-03-22
2021-03-29,117.70153045654297,120.32499694824219,122.9749984741211,114.05000305175781,117.2249984741211,41200,2021-03-29
2021-04-05,116.1119613647461,118.69999694824219,123.19999694824219,115.9749984741211,123.19999694824219,39474,2021-04-05
2021-04-12,107.57719421386719,109.9749984741211,119.0,109.44999694824219,119.0,71920,2021-04-12
2021-04-19,112.17472076416016,114.67500305175781,116.0,102.67500305175781,110.0,108410,2021-04-19
2021-04-26,112.56599426269531,115.07499694824219,119.92500305175781,112.0999984741211,112.1500015258789,126744,2021-04-26
2021-05-03,116.74779510498047,119.3499984741211,121.67500305175781,111.5,114.94999694824219,93088,2021-05-03
2021-05-10,117.43253326416016,120.05000305175781,122.19999694824219,117.57499694824219,119.375,84804,2021-05-10
2021-05-17,132.20330810546875,135.14999389648438,137.77499389648438,120.5,120.5,491474,2021-05-17
2021-05-24,150.59339904785156,153.9499969482422,159.39999389648438,136.10000610351562,136.10000610351562,627866,2021-05-24
2021-05-31,182.43370056152344,186.5,186.5,145.64999389648438,152.5500030517578,788486,2021-05-31
2021-06-07,167.7852020263672,171.52499389648438,198.85000610351562,168.97500610351562,195.5,729838,2021-06-07
2021-06-14,169.44815063476562,173.22500610351562,181.875,166.5500030517578,172.5,170422,2021-06-14
2021-06-21,174.9505157470703,178.85000610351562,198.35000610351562,166.35000610351562,166.35000610351562,286642,2021-06-21
2021-06-28,172.6028289794922,176.4499969482422,181.97500610351562,174.625,181.97500610351562,76268,2021-06-28
2021-07-05,175.6841583251953,179.60000610351562,188.5,175.3000030517578,175.3249969482422,292030,2021-07-05
2021-07-12,171.404541015625,175.22500610351562,182.0,172.35000610351562,177.60000610351562,195394,2021-07-12
2021-07-19,162.18502807617188,165.8000030517578,175.0,156.5,174.0,208164,2021-07-19
