Date,Adj Close_KRN.NS,Close_KRN.NS,High_KRN.NS,Low_KRN.NS,Open_KRN.NS,Volume_KRN.NS,Date
2024-09-30,452.2099914550781,452.2099914550781,513.5,448.54998779296875,480.0,39339779,2024-09-30
2024-10-07,487.6300048828125,487.6300048828125,495.0,402.1000061035156,445.3500061035156,17371817,2024-10-07
2024-10-14,462.1400146484375,462.1400146484375,510.0,439.0,479.989990234375,6786026,2024-10-14
2024-10-21,428.1600036621094,428.1600036621094,467.45001220703125,416.07000732421875,462.1400146484375,2528344,2024-10-21
2024-10-28,467.8500061035156,467.8500061035156,483.45001220703125,429.0,442.8999938964844,2807091,2024-10-28
2024-11-04,588.0499877929688,588.0499877929688,636.75,446.0,466.8999938964844,21545640,2024-11-04
2024-11-11,652.2000122070312,652.2000122070312,673.0,583.2999877929688,586.75,12950573,2024-11-11
2024-11-18,790.5,790.5,821.9500122070312,640.0,659.4000244140625,16276845,2024-11-18
2024-11-25,782.25,782.25,819.75,711.5499877929688,809.0,6974369,2024-11-25
2024-12-02,847.5999755859375,847.5999755859375,879.9500122070312,766.0,774.5999755859375,7896106,2024-12-02
2024-12-09,783.5999755859375,783.5999755859375,860.25,770.0,849.0,2144640,2024-12-09
2024-12-16,703.4500122070312,703.4500122070312,809.9000244140625,686.6500244140625,778.0,2120296,2024-12-16
2024-12-23,731.75,731.75,767.0,698.0999755859375,708.8499755859375,2232663,2024-12-23
2024-12-30,795.5,795.5,823.5499877929688,687.0,733.9000244140625,5328174,2024-12-30
2025-01-06,706.9500122070312,706.9500122070312,815.5499877929688,702.0,798.0,2621327,2025-01-06
2025-01-13,753.4500122070312,753.4500122070312,777.0,675.2999877929688,695.0,3260826,2025-01-13
2025-01-20,809.5999755859375,809.5999755859375,904.4000244140625,749.7999877929688,758.9000244140625,10970775,2025-01-20
2025-01-27,863.0999755859375,863.0999755859375,873.5999755859375,695.0,809.5499877929688,8170378,2025-01-27
2025-02-03,938.5999755859375,938.5999755859375,1012.0,856.5499877929688,875.4500122070312,13039040,2025-02-03
2025-02-10,840.4500122070312,840.4500122070312,944.0,787.4500122070312,933.4500122070312,12647951,2025-02-10
2025-02-17,845.9500122070312,845.9500122070312,892.0,726.5999755859375,834.0,14143551,2025-02-17
2025-02-24,873.3499755859375,873.3499755859375,944.7999877929688,815.5,821.0,16921491,2025-02-24
2025-03-03,934.9000244140625,934.9000244140625,1010.0,806.5999755859375,886.0,23382401,2025-03-03
2025-03-10,929.0,929.0,1006.7000122070312,921.5999755859375,937.7000122070312,16640792,2025-03-10
2025-03-17,921.25,921.25,951.2000122070312,855.0,938.7000122070312,8763078,2025-03-17
2025-03-24,871.7000122070312,871.7000122070312,959.9000244140625,860.75,930.0999755859375,6753166,2025-03-24
2025-03-31,820.5499877929688,820.5499877929688,877.5,814.0,871.7000122070312,3474873,2025-03-31
2025-04-07,779.3499755859375,779.3499755859375,799.9000244140625,685.0,685.0,4466628,2025-04-07
2025-04-14,835.7000122070312,835.7000122070312,851.5,779.3499755859375,779.3499755859375,2684239,2025-04-14
2025-04-21,783.25,783.25,853.1500244140625,768.0499877929688,836.0499877929688,3403988,2025-04-21
2025-04-28,706.0999755859375,706.0999755859375,787.4500122070312,703.5,775.0,2495982,2025-04-28
2025-05-05,774.6500244140625,774.6500244140625,792.4500122070312,682.0499877929688,709.8499755859375,8008444,2025-05-05
2025-05-12,799.9000244140625,799.9000244140625,839.9500122070312,784.3499755859375,812.5,5145930,2025-05-12
2025-05-19,758.9000244140625,758.9000244140625,807.25,757.0499877929688,799.4500122070312,1989105,2025-05-19
2025-05-26,765.6500244140625,765.6500244140625,781.0,753.7999877929688,760.0,1800966,2025-05-26
2025-06-02,753.4500122070312,753.4500122070312,776.5499877929688,749.2999877929688,771.0,1249794,2025-06-02
2025-06-09,719.8499755859375,719.8499755859375,780.9500122070312,718.2999877929688,759.0,1929507,2025-06-09
2025-06-16,816.8499755859375,816.8499755859375,834.0,709.0,718.0,5761240,2025-06-16
2025-06-23,820.4500122070312,820.4500122070312,875.9000244140625,799.7000122070312,810.2000122070312,4079521,2025-06-23
2025-06-30,816.7000122070312,816.7000122070312,870.0,812.0,823.9000244140625,2128236,2025-06-30
2025-07-07,886.75,886.75,948.7999877929688,806.5,814.75,13301083,2025-07-07
2025-07-14,860.3499755859375,860.3499755859375,915.9500122070312,856.0,885.75,1410648,2025-07-14
