Date,Adj Close_PARACABLES.NS,Close_PARACABLES.NS,High_PARACABLES.NS,Low_PARACABLES.NS,Open_PARACABLES.NS,Volume_PARACABLES.NS,Date
2020-07-13,6.900000095367432,6.900000095367432,7.599999904632568,6.75,7.400000095367432,411864,2020-07-13
2020-07-20,6.25,6.25,7.150000095367432,6.150000095367432,6.900000095367432,877243,2020-07-20
2020-07-27,6.25,6.25,6.699999809265137,6.099999904632568,6.300000190734863,674083,2020-07-27
2020-08-03,6.300000190734863,6.300000190734863,6.699999809265137,6.199999809265137,6.199999809265137,597162,2020-08-03
2020-08-10,6.75,6.75,7.5,6.199999809265137,6.349999904632568,1559767,2020-08-10
2020-08-17,8.5,8.5,10.149999618530273,6.900000095367432,7.0,12192713,2020-08-17
2020-08-24,8.699999809265137,8.699999809265137,9.449999809265137,8.300000190734863,8.449999809265137,2375613,2020-08-24
2020-08-31,7.75,7.75,8.449999809265137,7.5,8.449999809265137,1125573,2020-08-31
2020-09-07,7.5,7.5,7.900000095367432,7.300000190734863,7.599999904632568,441544,2020-09-07
2020-09-14,7.25,7.25,7.650000095367432,7.25,7.5,512152,2020-09-14
2020-09-21,7.050000190734863,7.050000190734863,7.300000190734863,6.699999809265137,7.300000190734863,333072,2020-09-21
2020-09-28,6.900000095367432,6.900000095367432,7.199999809265137,6.800000190734863,6.949999809265137,205035,2020-09-28
2020-10-05,6.75,6.75,7.199999809265137,6.25,7.199999809265137,453394,2020-10-05
2020-10-12,7.449999809265137,7.449999809265137,7.849999904632568,6.5,6.599999904632568,1007028,2020-10-12
2020-10-19,7.25,7.25,7.699999809265137,6.800000190734863,7.25,337683,2020-10-19
2020-10-26,7.050000190734863,7.050000190734863,7.349999904632568,6.699999809265137,7.150000095367432,287268,2020-10-26
2020-11-02,6.650000095367432,6.650000095367432,7.099999904632568,6.050000190734863,7.099999904632568,459264,2020-11-02
2020-11-09,6.599999904632568,6.599999904632568,6.900000095367432,6.449999809265137,6.849999904632568,528955,2020-11-09
2020-11-16,6.550000190734863,6.550000190734863,6.75,6.300000190734863,6.550000190734863,464352,2020-11-16
2020-11-23,6.650000095367432,6.650000095367432,6.849999904632568,6.400000095367432,6.599999904632568,744607,2020-11-23
2020-11-30,8.0,8.0,8.199999809265137,6.650000095367432,6.650000095367432,1743455,2020-11-30
2020-12-07,7.650000095367432,7.650000095367432,8.5,7.150000095367432,8.050000190734863,1341842,2020-12-07
2020-12-14,7.699999809265137,7.699999809265137,8.350000381469727,7.5,7.800000190734863,1162101,2020-12-14
2020-12-21,7.25,7.25,7.949999809265137,6.900000095367432,7.949999809265137,614854,2020-12-21
2020-12-28,7.699999809265137,7.699999809265137,8.100000381469727,6.949999809265137,7.400000095367432,1131266,2020-12-28
2021-01-04,10.25,10.25,11.850000381469727,7.400000095367432,7.949999809265137,12511678,2021-01-04
2021-01-11,9.350000381469727,9.350000381469727,10.550000190734863,8.550000190734863,10.300000190734863,4492859,2021-01-11
2021-01-18,8.949999809265137,8.949999809265137,9.850000381469727,8.699999809265137,9.350000381469727,1509120,2021-01-18
2021-01-25,8.600000381469727,8.600000381469727,9.100000381469727,7.650000095367432,8.899999618530273,941676,2021-01-25
2021-02-01,8.649999618530273,8.649999618530273,9.25,8.350000381469727,8.75,871528,2021-02-01
2021-02-08,8.25,8.25,8.949999809265137,8.25,8.850000381469727,871730,2021-02-08
2021-02-15,8.449999809265137,8.449999809265137,9.100000381469727,8.100000381469727,8.199999809265137,1786436,2021-02-15
2021-02-22,8.25,8.25,9.0,8.050000190734863,8.449999809265137,1655030,2021-02-22
2021-03-01,8.600000381469727,8.600000381469727,9.149999618530273,8.199999809265137,8.350000381469727,1950494,2021-03-01
2021-03-08,9.550000190734863,9.550000190734863,10.649999618530273,8.600000381469727,8.600000381469727,6406072,2021-03-08
2021-03-15,8.350000381469727,8.350000381469727,9.850000381469727,8.050000190734863,9.550000190734863,1672639,2021-03-15
