Date,Adj Close_OSWALSEEDS.NS,Close_OSWALSEEDS.NS,High_OSWALSEEDS.NS,Low_OSWALSEEDS.NS,Open_OSWALSEEDS.NS,Volume_OSWALSEEDS.NS,Date
2020-07-13,6.466666221618652,6.466666221618652,7.0,6.199999809265137,6.516665935516357,264000,2020-07-13
2020-07-20,7.133333206176758,7.133333206176758,7.133333206176758,6.150000095367432,6.166666030883789,384000,2020-07-20
2020-07-27,6.566666126251221,6.566666126251221,7.791666030883789,6.566666126251221,7.166666030883789,552000,2020-07-27
2020-08-03,6.675000190734863,6.675000190734863,6.916666030883789,6.283332824707031,6.608333110809326,192000,2020-08-03
2020-08-10,6.566666126251221,6.566666126251221,7.0833330154418945,6.566666126251221,6.991665840148926,120000,2020-08-10
2020-08-17,6.658332824707031,6.658332824707031,6.8333330154418945,6.566666126251221,6.566666126251221,96000,2020-08-17
2020-08-24,6.3333330154418945,6.3333330154418945,6.666666030883789,6.3333330154418945,6.658332824707031,48000,2020-08-24
2020-08-31,6.5833330154418945,6.5833330154418945,6.5833330154418945,6.016665935516357,6.016665935516357,216000,2020-08-31
2020-09-07,7.3333330154418945,7.3333330154418945,7.3333330154418945,6.5,6.666666030883789,192000,2020-09-07
2020-09-14,7.916666030883789,7.916666030883789,8.333333015441895,7.416666030883789,7.699999809265137,336000,2020-09-14
2020-09-21,7.133333206176758,7.133333206176758,7.916666030883789,6.800000190734863,7.916666030883789,216000,2020-09-21
2020-09-28,7.349999904632568,7.349999904632568,7.349999904632568,7.133333206176758,7.133333206176758,24000,2020-09-28
2020-10-05,7.866665840148926,7.866665840148926,7.883333206176758,7.3333330154418945,7.716666221618652,96000,2020-10-05
2020-10-12,8.408332824707031,8.408332824707031,8.408332824707031,7.758333206176758,7.866665840148926,72000,2020-10-12
2020-10-19,7.758333206176758,7.758333206176758,8.408332824707031,7.758333206176758,8.408332824707031,72000,2020-10-19
2020-10-26,7.900000095367432,7.900000095367432,7.900000095367432,7.758333206176758,7.758333206176758,24000,2020-10-26
2020-11-02,7.900000095367432,7.900000095367432,7.900000095367432,7.900000095367432,7.900000095367432,0,2020-11-02
2020-11-09,7.900000095367432,7.900000095367432,7.900000095367432,7.900000095367432,7.900000095367432,0,2020-11-09
2020-11-16,7.133333206176758,7.133333206176758,7.900000095367432,7.133333206176758,7.900000095367432,48000,2020-11-16
2020-11-23,6.783332824707031,6.783332824707031,6.783332824707031,6.783332824707031,6.783332824707031,24000,2020-11-23
2020-11-30,6.783332824707031,6.783332824707031,6.783332824707031,6.783332824707031,6.783332824707031,0,2020-11-30
2020-12-07,6.791666030883789,6.791666030883789,7.108333110809326,6.783332824707031,6.783332824707031,120000,2020-12-07
2020-12-14,6.875,6.875,7.125,6.875,7.125,48000,2020-12-14
2020-12-21,6.875,6.875,6.875,6.875,6.875,0,2020-12-21
2020-12-28,6.875,6.875,6.875,6.533332824707031,6.875,96000,2020-12-28
2021-01-04,6.8333330154418945,6.8333330154418945,6.875,6.8333330154418945,6.875,72000,2021-01-04
2021-01-11,7.0,7.0,7.0,6.491665840148926,6.8333330154418945,48000,2021-01-11
2021-01-18,7.616665840148926,7.616665840148926,7.616665840148926,7.0,7.0,240000,2021-01-18
2021-01-25,7.616665840148926,7.616665840148926,7.616665840148926,7.616665840148926,7.616665840148926,0,2021-01-25
2021-02-01,7.616665840148926,7.616665840148926,7.616665840148926,7.616665840148926,7.616665840148926,0,2021-02-01
2021-02-08,4.8333330154418945,4.8333330154418945,7.616665840148926,4.824999809265137,7.616665840148926,720000,2021-02-08
2021-02-15,4.8333330154418945,4.8333330154418945,4.875,4.8333330154418945,4.8333330154418945,1296000,2021-02-15
2021-02-22,5.074999809265137,5.074999809265137,5.074999809265137,5.074999809265137,5.074999809265137,24000,2021-02-22
2021-03-01,5.074999809265137,5.074999809265137,5.074999809265137,5.074999809265137,5.074999809265137,0,2021-03-01
2021-03-08,4.816666126251221,4.816666126251221,5.074999809265137,4.816666126251221,5.074999809265137,48000,2021-03-08
2021-03-15,4.8333330154418945,4.8333330154418945,4.8333330154418945,4.666666030883789,4.666666030883789,456000,2021-03-15
2021-03-22,4.666666030883789,4.666666030883789,4.8333330154418945,4.666666030883789,4.8333330154418945,96000,2021-03-22
2021-03-29,5.391665935516357,5.391665935516357,5.391665935516357,4.666666030883789,4.666666030883789,72000,2021-03-29
2021-04-05,5.8333330154418945,5.8333330154418945,5.8333330154418945,5.125,5.166666030883789,360000,2021-04-05
2021-04-12,6.25,6.25,6.25,5.916666030883789,5.916666030883789,120000,2021-04-12
2021-04-19,6.625,6.625,6.625,5.900000095367432,6.2083330154418945,120000,2021-04-19
2021-04-26,6.300000190734863,6.300000190734863,6.625,6.300000190734863,6.625,24000,2021-04-26
2021-05-03,5.991665840148926,5.991665840148926,6.300000190734863,5.991665840148926,6.300000190734863,24000,2021-05-03
2021-05-10,5.416666030883789,5.416666030883789,5.991665840148926,5.416666030883789,5.991665840148926,48000,2021-05-10
2021-05-17,5.900000095367432,5.900000095367432,5.900000095367432,5.150000095367432,5.150000095367432,144000,2021-05-17
2021-05-24,6.574999809265137,6.574999809265137,7.0833330154418945,6.191666126251221,6.191666126251221,192000,2021-05-24
2021-05-31,6.7083330154418945,6.7083330154418945,6.800000190734863,6.25,6.574999809265137,216000,2021-05-31
2021-06-07,7.625,7.625,7.650000095367432,6.650000095367432,7.0,168000,2021-06-07
2021-06-14,6.891665935516357,6.891665935516357,7.625,6.891665935516357,7.625,72000,2021-06-14
2021-06-21,5.916666030883789,5.916666030883789,6.891665935516357,5.916666030883789,6.891665935516357,72000,2021-06-21
