Date,Adj Close_XELPMOC.NS,Close_XELPMOC.NS,High_XELPMOC.NS,Low_XELPMOC.NS,Open_XELPMOC.NS,Volume_XELPMOC.NS,Date
2020-07-13,88.1500015258789,88.1500015258789,93.0,80.0,80.0,37451,2020-07-13
2020-07-20,112.0999984741211,112.0999984741211,112.3499984741211,84.05000305175781,85.0,67934,2020-07-20
2020-07-27,115.0,115.0,129.6999969482422,106.0,117.5,99687,2020-07-27
2020-08-03,109.80000305175781,109.80000305175781,120.75,104.0,110.0,238517,2020-08-03
2020-08-10,121.5999984741211,121.5999984741211,134.39999389648438,112.0,112.0,246408,2020-08-10
2020-08-17,152.14999389648438,152.14999389648438,154.35000610351562,120.69999694824219,126.94999694824219,296954,2020-08-17
2020-08-24,160.5500030517578,160.5500030517578,177.35000610351562,144.5500030517578,159.75,616987,2020-08-24
2020-08-31,167.6999969482422,167.6999969482422,167.6999969482422,137.75,153.0,116676,2020-08-31
2020-09-07,175.25,175.25,189.89999389648438,165.89999389648438,170.0500030517578,285186,2020-09-07
2020-09-14,207.35000610351562,207.35000610351562,207.35000610351562,166.5,179.85000610351562,178141,2020-09-14
2020-09-21,253.0500030517578,253.0500030517578,253.0500030517578,197.85000610351562,217.6999969482422,281408,2020-09-21
2020-09-28,307.45001220703125,307.45001220703125,307.45001220703125,265.04998779296875,265.70001220703125,186795,2020-09-28
2020-10-05,290.6499938964844,290.6499938964844,355.79998779296875,290.6499938964844,322.79998779296875,330696,2020-10-05
2020-10-12,248.60000610351562,248.60000610351562,276.1499938964844,225.0,276.1499938964844,270858,2020-10-12
2020-10-19,298.29998779296875,298.29998779296875,298.29998779296875,233.4499969482422,236.1999969482422,429922,2020-10-19
2020-10-26,266.79998779296875,266.79998779296875,319.0,260.0,313.20001220703125,266143,2020-10-26
2020-11-02,289.54998779296875,289.54998779296875,308.79998779296875,270.25,279.95001220703125,103448,2020-11-02
2020-11-09,273.6000061035156,273.6000061035156,297.79998779296875,250.0,297.79998779296875,299359,2020-11-09
2020-11-16,247.60000610351562,247.60000610351562,277.0,236.0,269.5,306078,2020-11-16
2020-11-23,251.14999389648438,251.14999389648438,261.0,236.4499969482422,255.89999389648438,173074,2020-11-23
2020-11-30,242.9499969482422,242.9499969482422,251.14999389648438,237.0,251.14999389648438,135634,2020-11-30
2020-12-07,280.29998779296875,280.29998779296875,315.0,243.0,249.6999969482422,445153,2020-12-07
2020-12-14,272.6499938964844,272.6499938964844,292.20001220703125,271.0,287.0,142293,2020-12-14
2020-12-21,276.6000061035156,276.6000061035156,290.0,238.0500030517578,272.6499938964844,176633,2020-12-21
2020-12-28,350.5,350.5,387.29998779296875,271.20001220703125,283.0,691821,2020-12-28
2021-01-04,329.1499938964844,329.1499938964844,358.70001220703125,320.8999938964844,345.0,477337,2021-01-04
2021-01-11,313.45001220703125,313.45001220703125,334.5,306.3999938964844,334.5,215974,2021-01-11
2021-01-18,306.6499938964844,306.6499938964844,322.95001220703125,298.0,319.95001220703125,180065,2021-01-18
2021-01-25,318.3999938964844,318.3999938964844,329.3999938964844,291.0,314.6000061035156,105728,2021-01-25
2021-02-01,282.6000061035156,282.6000061035156,334.0,280.79998779296875,318.3999938964844,274587,2021-02-01
2021-02-08,303.8500061035156,303.8500061035156,315.1499938964844,281.8999938964844,291.0,228566,2021-02-08
2021-02-15,296.45001220703125,296.45001220703125,314.0,291.0,303.8500061035156,158174,2021-02-15
