Date,Adj Close_PANACHE.NS,Close_PANACHE.NS,High_PANACHE.NS,Low_PANACHE.NS,Open_PANACHE.NS,Volume_PANACHE.NS,Date
2020-07-13,59.295291900634766,59.54999923706055,59.70000076293945,49.150001525878906,49.150001525878906,88006,2020-07-13
2020-07-20,57.10470199584961,57.349998474121094,62.5,57.150001525878906,62.5,45245,2020-07-20
2020-07-27,57.353633880615234,57.599998474121094,59.45000076293945,52.849998474121094,57.349998474121094,38130,2020-07-27
2020-08-03,57.55278015136719,57.79999923706055,60.0,57.0,60.0,31802,2020-08-03
2020-08-10,55.860050201416016,56.099998474121094,60.0,55.04999923706055,58.900001525878906,36412,2020-08-10
2020-08-17,56.15876770019531,56.400001525878906,58.54999923706055,56.0,58.5,43171,2020-08-17
2020-08-24,63.2781867980957,63.54999923706055,63.54999923706055,55.0,59.0,61066,2020-08-24
2020-08-31,56.756202697753906,57.0,66.44999694824219,57.0,66.44999694824219,18912,2020-08-31
2020-09-07,58.15021514892578,58.400001525878906,60.70000076293945,56.25,56.25,40276,2020-09-07
2020-09-14,58.20000076293945,58.45000076293945,60.900001525878906,56.150001525878906,58.5,37472,2020-09-14
2020-09-21,54.21710968017578,54.45000076293945,59.849998474121094,51.400001525878906,59.849998474121094,37947,2020-09-21
2020-09-28,49.5,49.5,57.150001525878906,49.5,57.150001525878906,63129,2020-09-28
2020-10-05,45.0,45.0,51.25,44.099998474121094,49.0,55836,2020-10-05
2020-10-12,44.75,44.75,50.349998474121094,44.650001525878906,47.25,140354,2020-10-12
2020-10-19,45.04999923706055,45.04999923706055,46.849998474121094,44.0,46.75,39336,2020-10-19
2020-10-26,45.5,45.5,46.0,43.150001525878906,45.0,33659,2020-10-26
2020-11-02,43.099998474121094,43.099998474121094,46.25,43.0,45.5,60612,2020-11-02
2020-11-09,42.400001525878906,42.400001525878906,45.25,42.0,45.20000076293945,136242,2020-11-09
2020-11-16,41.849998474121094,41.849998474121094,44.0,41.0,42.0,91578,2020-11-16
2020-11-23,42.349998474121094,42.349998474121094,43.5,41.0,42.04999923706055,91196,2020-11-23
2020-11-30,41.099998474121094,41.099998474121094,44.45000076293945,40.29999923706055,42.349998474121094,149377,2020-11-30
2020-12-07,40.95000076293945,40.95000076293945,43.900001525878906,40.20000076293945,41.849998474121094,120845,2020-12-07
2020-12-14,40.75,40.75,43.5,40.0,42.0,216250,2020-12-14
2020-12-21,39.900001525878906,39.900001525878906,42.849998474121094,37.150001525878906,41.900001525878906,100405,2020-12-21
2020-12-28,40.79999923706055,40.79999923706055,43.5,39.25,41.29999923706055,105763,2020-12-28
2021-01-04,44.900001525878906,44.900001525878906,47.0,40.04999923706055,43.0,286340,2021-01-04
2021-01-11,44.20000076293945,44.20000076293945,47.0,41.54999923706055,47.0,186500,2021-01-11
2021-01-18,41.25,41.25,44.5,40.75,44.349998474121094,140197,2021-01-18
2021-01-25,40.04999923706055,40.04999923706055,42.25,39.150001525878906,42.25,110452,2021-01-25
2021-02-01,43.54999923706055,43.54999923706055,44.400001525878906,40.0,41.5,81675,2021-02-01
2021-02-08,42.650001525878906,42.650001525878906,48.0,41.20000076293945,44.79999923706055,335385,2021-02-08
2021-02-15,43.70000076293945,43.70000076293945,51.150001525878906,42.45000076293945,43.900001525878906,309039,2021-02-15
