Date,Adj Close_AMBER.NS,Close_AMBER.NS,High_AMBER.NS,Low_AMBER.NS,Open_AMBER.NS,Volume_AMBER.NS,Date
2020-07-13,1459.699951171875,1459.699951171875,1539.0,1445.0,1524.0,95876,2020-07-13
2020-07-20,1477.1500244140625,1477.1500244140625,1551.0,1442.300048828125,1462.9000244140625,362041,2020-07-20
2020-07-27,1482.5,1482.5,1521.8499755859375,1462.0,1466.0,288287,2020-07-27
2020-08-03,1779.199951171875,1779.199951171875,1809.0,1490.0,1490.0,1230539,2020-08-03
2020-08-10,1733.699951171875,1733.699951171875,1788.300048828125,1642.199951171875,1700.0,633841,2020-08-10
2020-08-17,1769.949951171875,1769.949951171875,1870.300048828125,1730.9000244140625,1790.0,864065,2020-08-17
2020-08-24,1818.5999755859375,1818.5999755859375,1865.0,1775.0,1775.0,618355,2020-08-24
2020-08-31,1835.6500244140625,1835.6500244140625,1925.0,1706.050048828125,1824.0,485623,2020-08-31
2020-09-07,1770.050048828125,1770.050048828125,1999.9000244140625,1723.0,1831.0,8010872,2020-09-07
2020-09-14,2037.8499755859375,2037.8499755859375,2113.89990234375,1784.9000244140625,1787.0,3600360,2020-09-14
2020-09-21,1944.699951171875,1944.699951171875,2088.25,1790.0,2051.199951171875,1122307,2020-09-21
2020-09-28,2043.8499755859375,2043.8499755859375,2119.699951171875,1950.0,1975.0,611971,2020-09-28
2020-10-05,1872.6500244140625,1872.6500244140625,2105.0,1865.0,2065.0,517362,2020-10-05
2020-10-12,2180.64990234375,2180.64990234375,2228.0,1889.0,1889.550048828125,1423016,2020-10-12
2020-10-19,2332.300048828125,2332.300048828125,2544.199951171875,2200.0,2203.0,4364555,2020-10-19
2020-10-26,2180.39990234375,2180.39990234375,2344.0,2081.449951171875,2342.0,908229,2020-10-26
2020-11-02,2320.300048828125,2320.300048828125,2352.800048828125,2085.0,2185.0,1461616,2020-11-02
2020-11-09,2318.60009765625,2318.60009765625,2340.0,2143.0,2244.0,1180805,2020-11-09
2020-11-16,2165.25,2165.25,2343.89990234375,2153.0,2310.550048828125,359332,2020-11-16
2020-11-23,2399.60009765625,2399.60009765625,2467.0,2138.60009765625,2190.0,1453650,2020-11-23
2020-11-30,2326.800048828125,2326.800048828125,2524.949951171875,2300.0,2399.60009765625,582685,2020-11-30
2020-12-07,2308.800048828125,2308.800048828125,2481.10009765625,2282.89990234375,2340.0,837622,2020-12-07
2020-12-14,2352.300048828125,2352.300048828125,2409.949951171875,2301.35009765625,2337.949951171875,654763,2020-12-14
2020-12-21,2343.35009765625,2343.35009765625,2377.89990234375,2202.10009765625,2348.0,432646,2020-12-21
2020-12-28,2386.300048828125,2386.300048828125,2457.0,2340.0,2360.0,508050,2020-12-28
2021-01-04,2671.14990234375,2671.14990234375,2773.949951171875,2375.550048828125,2410.0,2206807,2021-01-04
2021-01-11,2605.60009765625,2605.60009765625,2679.0,2471.0,2600.0,869948,2021-01-11
2021-01-18,2492.14990234375,2492.14990234375,2638.949951171875,2471.199951171875,2613.0,561958,2021-01-18
2021-01-25,2579.75,2579.75,2634.0,2401.0,2500.0,620620,2021-01-25
2021-02-01,2705.0,2705.0,2793.64990234375,2580.0,2619.89990234375,654407,2021-02-01
2021-02-08,3186.050048828125,3186.050048828125,3315.0,2715.0,2749.89990234375,1693441,2021-02-08
2021-02-15,3158.449951171875,3158.449951171875,3290.0,3100.0,3225.0,664033,2021-02-15
2021-02-22,3232.699951171875,3232.699951171875,3312.89990234375,3062.949951171875,3164.949951171875,486076,2021-02-22
2021-03-01,3450.699951171875,3450.699951171875,3662.0,3161.0,3281.0,938494,2021-03-01
2021-03-08,3412.699951171875,3412.699951171875,3649.0,3380.0,3588.0,449392,2021-03-08
2021-03-15,3254.199951171875,3254.199951171875,3494.449951171875,3126.0,3440.0,338157,2021-03-15
2021-03-22,3075.300048828125,3075.300048828125,3394.0,2990.0,3275.0,590042,2021-03-22
2021-03-29,3247.550048828125,3247.550048828125,3389.39990234375,3075.300048828125,3075.300048828125,243179,2021-03-29
2021-04-05,3262.199951171875,3262.199951171875,3347.550048828125,3134.0,3247.550048828125,503823,2021-04-05
2021-04-12,3147.949951171875,3147.949951171875,3248.64990234375,3026.550048828125,3215.0,219946,2021-04-12
2021-04-19,3226.35009765625,3226.35009765625,3250.0,3000.0,3052.0,279519,2021-04-19
2021-04-26,3099.300048828125,3099.300048828125,3299.39990234375,3083.0,3240.0,307719,2021-04-26
2021-05-03,3010.949951171875,3010.949951171875,3147.949951171875,3005.949951171875,3090.0,185195,2021-05-03
2021-05-10,2956.300048828125,2956.300048828125,3047.449951171875,2923.0,3010.949951171875,214686,2021-05-10
2021-05-17,3005.300048828125,3005.300048828125,3048.0,2924.89990234375,2957.0,195693,2021-05-17
2021-05-24,2755.800048828125,2755.800048828125,3039.0,2683.60009765625,3039.0,1057202,2021-05-24
2021-05-31,2770.85009765625,2770.85009765625,2800.0,2700.10009765625,2785.0,614631,2021-05-31
2021-06-07,2787.449951171875,2787.449951171875,2879.0,2732.10009765625,2790.0,602384,2021-06-07
2021-06-14,2737.050048828125,2737.050048828125,2815.0,2705.800048828125,2798.0,296754,2021-06-14
2021-06-21,2929.800048828125,2929.800048828125,3030.0,2694.5,2702.0,1306657,2021-06-21
2021-06-28,2956.5,2956.5,2990.0,2870.89990234375,2989.0,647785,2021-06-28
2021-07-05,2991.5,2991.5,3097.0,2969.35009765625,2980.0,726382,2021-07-05
2021-07-12,3031.050048828125,3031.050048828125,3087.85009765625,2995.0,3010.0,340192,2021-07-12
2021-07-19,3012.10009765625,3012.10009765625,3048.75,2936.0,3002.0,208037,2021-07-19
2021-07-26,2991.699951171875,2991.699951171875,3062.60009765625,2954.5,3012.0,201417,2021-07-26
2021-08-02,2976.050048828125,2976.050048828125,3055.0,2935.800048828125,3000.0,187408,2021-08-02
2021-08-09,2928.89990234375,2928.89990234375,2969.0,2732.050048828125,2940.0,313956,2021-08-09
2021-08-16,2795.39990234375,2795.39990234375,2947.85009765625,2785.0,2910.0,93138,2021-08-16
2021-08-23,2898.050048828125,2898.050048828125,2970.0,2710.75,2809.0,152555,2021-08-23
2021-08-30,3150.199951171875,3150.199951171875,3244.0,2869.800048828125,2898.050048828125,727565,2021-08-30
2021-09-06,3118.199951171875,3118.199951171875,3205.0,3101.550048828125,3172.0,172278,2021-09-06
2021-09-13,3208.89990234375,3208.89990234375,3275.0,3125.050048828125,3147.0,339539,2021-09-13
2021-09-20,3116.300048828125,3116.300048828125,3190.0,3040.89990234375,3190.0,220661,2021-09-20
2021-09-27,3440.39990234375,3440.39990234375,3460.0,3046.0,3135.0,727743,2021-09-27
2021-10-04,3502.199951171875,3502.199951171875,3548.0,3333.0,3459.0,431865,2021-10-04
