Date,Adj Close_CEIGALL.NS,Close_CEIGALL.NS,High_CEIGALL.NS,Low_CEIGALL.NS,Open_CEIGALL.NS,Volume_CEIGALL.NS,Date
2024-08-05,396.5274963378906,397.04998779296875,424.79998779296875,383.25,419.0,16961655,2024-08-05
2024-08-12,392.2830810546875,392.79998779296875,400.75,368.20001220703125,398.0,4569714,2024-08-12
2024-08-19,400.4223937988281,400.95001220703125,409.70001220703125,386.0,398.0,5287332,2024-08-19
2024-08-26,393.53143310546875,394.04998779296875,409.95001220703125,387.1499938964844,404.8500061035156,3206221,2024-08-26
2024-09-02,380.8981018066406,381.3999938964844,402.0,377.25,400.0,2856039,2024-09-02
2024-09-09,384.2436828613281,384.75,387.5,367.8999938964844,379.45001220703125,2647073,2024-09-09
2024-09-16,379.45001220703125,379.95001220703125,399.6000061035156,374.5,385.0,4091221,2024-09-16
2024-09-23,379.8494873046875,380.3500061035156,396.8999938964844,380.0,384.0,2076894,2024-09-23
2024-09-30,388.0,388.0,397.0,375.04998779296875,380.8999938964844,2004138,2024-09-30
2024-10-07,379.8500061035156,379.8500061035156,394.6000061035156,371.1000061035156,392.0,1774786,2024-10-07
2024-10-14,379.3999938964844,379.3999938964844,387.0,369.0,380.95001220703125,1122831,2024-10-14
2024-10-21,342.1000061035156,342.1000061035156,381.6000061035156,337.29998779296875,379.95001220703125,1010131,2024-10-21
2024-10-28,365.1000061035156,365.1000061035156,368.3500061035156,336.0,342.25,669978,2024-10-28
2024-11-04,325.04998779296875,325.04998779296875,370.0,320.79998779296875,369.8999938964844,1621819,2024-11-04
2024-11-11,304.95001220703125,304.95001220703125,329.20001220703125,293.0,325.04998779296875,1607073,2024-11-11
2024-11-18,323.20001220703125,323.20001220703125,324.8999938964844,297.0,308.0,1069579,2024-11-18
2024-11-25,342.20001220703125,342.20001220703125,346.0,323.3999938964844,328.1000061035156,1134953,2024-11-25
2024-12-02,371.3999938964844,371.3999938964844,374.0,338.20001220703125,342.20001220703125,1967462,2024-12-02
2024-12-09,363.3999938964844,363.3999938964844,383.0,345.5,371.0,2415595,2024-12-09
2024-12-16,353.54998779296875,353.54998779296875,375.8999938964844,351.04998779296875,363.3999938964844,1171968,2024-12-16
2024-12-23,348.75,348.75,366.0,340.5,355.1499938964844,1859628,2024-12-23
2024-12-30,344.5,344.5,352.8999938964844,333.3999938964844,352.8999938964844,752120,2024-12-30
2025-01-06,324.0,324.0,348.3500061035156,319.45001220703125,345.0,629861,2025-01-06
2025-01-13,327.79998779296875,327.79998779296875,333.6499938964844,309.04998779296875,317.6000061035156,480417,2025-01-13
2025-01-20,317.1499938964844,317.1499938964844,330.29998779296875,316.29998779296875,330.0,260593,2025-01-20
2025-01-27,303.3500061035156,303.3500061035156,323.95001220703125,288.04998779296875,323.95001220703125,1234680,2025-01-27
2025-02-03,292.29998779296875,292.29998779296875,302.95001220703125,290.3999938964844,300.0,512560,2025-02-03
2025-02-10,270.8999938964844,270.8999938964844,298.8999938964844,267.79998779296875,293.5,585196,2025-02-10
2025-02-17,274.75,274.75,281.8500061035156,241.85000610351562,270.1499938964844,1204616,2025-02-17
2025-02-24,257.79998779296875,257.79998779296875,274.3999938964844,255.5500030517578,272.0,377352,2025-02-24
2025-03-03,265.1000061035156,265.1000061035156,269.54998779296875,245.89999389648438,255.10000610351562,586589,2025-03-03
2025-03-10,243.14999389648438,243.14999389648438,268.0,241.85000610351562,268.0,530327,2025-03-10
2025-03-17,262.95001220703125,262.95001220703125,264.75,238.35000610351562,238.35000610351562,1377274,2025-03-17
2025-03-24,254.35000610351562,254.35000610351562,279.8999938964844,250.6999969482422,263.3999938964844,2312006,2025-03-24
2025-03-31,253.75,253.75,266.45001220703125,252.89999389648438,257.8999938964844,543499,2025-03-31
2025-04-07,254.60000610351562,254.60000610351562,262.79998779296875,235.9499969482422,238.0,360423,2025-04-07
2025-04-14,262.70001220703125,262.70001220703125,265.8999938964844,255.75,256.04998779296875,197909,2025-04-14
2025-04-21,258.1499938964844,258.1499938964844,270.95001220703125,255.0,262.70001220703125,1050816,2025-04-21
2025-04-28,254.85000610351562,254.85000610351562,261.95001220703125,250.0500030517578,255.10000610351562,240790,2025-04-28
2025-05-05,248.75,248.75,275.6000061035156,243.35000610351562,255.0,984787,2025-05-05
2025-05-12,257.6000061035156,257.6000061035156,263.3999938964844,251.60000610351562,254.9499969482422,599170,2025-05-12
2025-05-19,250.0,250.0,260.3999938964844,246.35000610351562,259.95001220703125,587856,2025-05-19
2025-05-26,249.85000610351562,249.85000610351562,254.5,248.0,250.25,366410,2025-05-26
2025-06-02,244.8300018310547,244.8300018310547,253.99000549316406,243.4199981689453,251.99000549316406,696786,2025-06-02
2025-06-09,248.7899932861328,248.7899932861328,267.0,245.0,245.0,1478912,2025-06-09
2025-06-16,243.86000061035156,243.86000061035156,249.8699951171875,236.35000610351562,248.77000427246094,520067,2025-06-16
2025-06-23,251.49000549316406,251.49000549316406,259.69000244140625,241.14999389648438,245.99000549316406,1620585,2025-06-23
2025-06-30,269.70001220703125,269.70001220703125,288.0,249.58999633789062,250.49000549316406,7499878,2025-06-30
2025-07-07,286.6499938964844,286.6499938964844,291.0,268.79998779296875,270.0,3871442,2025-07-07
2025-07-14,283.0,283.0,289.8999938964844,281.0,288.20001220703125,1215939,2025-07-14
