Date,Adj Close_GREENLAM.NS,Close_GREENLAM.NS,High_GREENLAM.NS,Low_GREENLAM.NS,Open_GREENLAM.NS,Volume_GREENLAM.NS,Date
2020-11-02,74.92337799072266,75.58000183105469,79.5,74.0,76.98999786376953,634830,2020-11-02
2020-11-09,76.1575698852539,76.82499694824219,77.29000091552734,75.00499725341797,77.29000091552734,254470,2020-11-09
2020-11-16,75.09191131591797,75.75,78.5250015258789,75.11000061035156,75.58499908447266,139670,2020-11-16
2020-11-23,78.57637023925781,79.26499938964844,80.0,76.0,78.59500122070312,337010,2020-11-23
2020-11-30,85.19833374023438,85.94499969482422,88.0,78.54499816894531,79.26499938964844,238140,2020-11-30
2020-12-07,81.22317504882812,81.93499755859375,85.87999725341797,79.38500213623047,85.56500244140625,370280,2020-12-07
2020-12-14,79.26533508300781,79.95999908447266,83.80000305175781,79.0999984741211,83.80000305175781,454930,2020-12-14
2020-12-21,74.99278259277344,75.6500015258789,81.19999694824219,73.19999694824219,81.19999694824219,203630,2020-12-21
2020-12-28,77.72880554199219,78.41000366210938,80.99500274658203,76.11499786376953,76.4000015258789,1393490,2020-12-28
2021-01-04,89.22306060791016,90.00499725341797,91.59500122070312,77.82499694824219,77.82499694824219,1507890,2021-01-04
2021-01-11,81.49578857421875,82.20999908447266,94.33999633789062,81.86000061035156,92.38999938964844,545950,2021-01-11
2021-01-18,82.31857299804688,83.04000091552734,84.8949966430664,78.30000305175781,83.0,272880,2021-01-18
2021-01-25,81.47595977783203,82.19000244140625,84.59500122070312,79.0,83.45500183105469,80800,2021-01-25
2021-02-01,91.6716079711914,92.4749984741211,94.0,81.00499725341797,82.19999694824219,951210,2021-02-01
2021-02-08,90.11029052734375,90.9000015258789,92.9800033569336,87.0,92.9800033569336,1415780,2021-02-08
2021-02-15,92.99996948242188,93.81500244140625,94.42500305175781,88.88500213623047,91.37999725341797,699040,2021-02-15
2021-02-22,92.44482421875,93.25499725341797,97.95999908447266,90.11000061035156,93.80000305175781,396120,2021-02-22
2021-03-01,93.41136932373047,94.2300033569336,97.9000015258789,92.26000213623047,93.25499725341797,177080,2021-03-01
2021-03-08,91.01734924316406,91.81500244140625,97.5,91.0,94.2300033569336,120940,2021-03-08
2021-03-15,90.83394622802734,91.62999725341797,99.5999984741211,89.36000061035156,91.81500244140625,233550,2021-03-15
2021-03-22,91.8599624633789,92.66500091552734,93.11000061035156,91.19999694824219,91.36499786376953,123310,2021-03-22
2021-03-29,92.23664855957031,93.04499816894531,95.0,90.00499725341797,92.66500091552734,200870,2021-03-29
2021-04-05,96.9156494140625,97.76499938964844,98.4000015258789,92.34500122070312,92.5999984741211,131470,2021-04-05
2021-04-12,97.79296875,98.6500015258789,101.69999694824219,96.09500122070312,99.49500274658203,313380,2021-04-12
2021-04-19,99.77558898925781,100.6500015258789,102.05500030517578,96.5999984741211,98.0,150760,2021-04-19
2021-04-26,106.86842346191406,107.80500030517578,116.59500122070312,98.5,99.0999984741211,481620,2021-04-26
2021-05-03,100.7371597290039,101.62000274658203,108.625,100.5,107.75,188590,2021-05-03
2021-05-10,104.37528228759766,105.29000091552734,108.80000305175781,95.13500213623047,102.0,510610,2021-05-10
2021-05-17,111.78533172607422,112.76499938964844,116.0250015258789,103.09500122070312,109.0,261530,2021-05-17
2021-05-24,114.67996978759766,115.68499755859375,120.7249984741211,110.69499969482422,111.0,438630,2021-05-24
2021-05-31,120.49896240234375,121.55500030517578,135.88499450683594,117.68499755859375,118.0,1332170,2021-05-31
