Date,Adj Close_ROUTE.NS,Close_ROUTE.NS,High_ROUTE.NS,Low_ROUTE.NS,Open_ROUTE.NS,Volume_ROUTE.NS,Date
2020-09-21,914.4773559570312,938.7999877929688,988.0,625.0,717.0,77793371,2020-09-21
2020-09-28,763.1522216796875,783.4500122070312,969.0,758.0,944.9500122070312,12864338,2020-09-28
2020-10-05,767.5844116210938,788.0,849.4000244140625,771.1500244140625,790.6500244140625,6463701,2020-10-05
2020-10-12,690.0467529296875,708.4000244140625,799.0,687.5999755859375,789.9000244140625,5163867,2020-10-12
2020-10-19,782.3905029296875,803.2000122070312,841.2999877929688,706.5499877929688,720.8499755859375,8383398,2020-10-19
2020-10-26,971.3644409179688,997.2000122070312,1012.9000244140625,772.0,798.0,11634906,2020-10-26
2020-11-02,902.203857421875,926.2000122070312,1151.699951171875,905.5999755859375,990.9000244140625,6655523,2020-11-02
2020-11-09,909.412109375,933.5999755859375,955.0,885.0,932.0,2642337,2020-11-09
2020-11-16,966.8348999023438,992.5499877929688,992.5499877929688,918.0,919.4500122070312,2104129,2020-11-16
2020-11-23,1026.9366455078125,1054.25,1054.25,950.0,1008.0,2063754,2020-11-23
2020-11-30,1185.2747802734375,1216.800048828125,1216.800048828125,1054.25,1054.25,2788516,2020-11-30
2020-12-07,1097.071044921875,1126.25,1275.0,1077.0,1255.0,2053235,2020-12-07
2020-12-14,1128.6314697265625,1158.6500244140625,1198.0,1094.0999755859375,1139.699951171875,1959003,2020-12-14
2020-12-21,1091.95703125,1121.0,1178.9000244140625,1010.0,1174.0,2167842,2020-12-21
2020-12-28,1083.1900634765625,1112.0,1161.0,1091.0999755859375,1130.9000244140625,1457640,2020-12-28
2021-01-04,1173.43994140625,1204.6500244140625,1252.0,1117.300048828125,1117.300048828125,3592746,2021-01-04
2021-01-11,1119.4263916015625,1149.199951171875,1219.9000244140625,1117.0,1216.0,1797033,2021-01-11
2021-01-18,1183.0343017578125,1214.5,1230.0,1115.0999755859375,1148.0,1726154,2021-01-18
2021-01-25,1104.7664794921875,1134.1500244140625,1305.0,1125.1500244140625,1223.0,4145958,2021-01-25
2021-02-01,1127.9007568359375,1157.9000244140625,1178.0,1090.0,1143.0,1526693,2021-02-01
2021-02-08,1553.2384033203125,1594.550048828125,1694.0,1165.0,1173.699951171875,7449315,2021-02-08
2021-02-15,1811.95703125,1860.1500244140625,1979.6500244140625,1529.699951171875,1606.0,8535908,2021-02-15
2021-02-22,1614.21630859375,1657.1500244140625,1883.199951171875,1621.0,1873.5999755859375,2849990,2021-02-22
2021-03-01,1651.280517578125,1695.199951171875,1818.0,1660.0,1688.5999755859375,1855539,2021-03-01
2021-03-08,1600.0430908203125,1642.5999755859375,1738.800048828125,1572.0999755859375,1712.0,2180795,2021-03-08
2021-03-15,1525.086669921875,1565.6500244140625,1669.75,1490.6500244140625,1651.699951171875,1877514,2021-03-15
2021-03-22,1413.3585205078125,1450.949951171875,1594.0,1395.449951171875,1572.0,1432850,2021-03-22
2021-03-29,1431.6226806640625,1469.699951171875,1485.0,1404.0,1450.949951171875,1036725,2021-03-29
2021-04-05,1656.005126953125,1700.050048828125,1768.0,1451.0,1477.699951171875,4106096,2021-04-05
2021-04-12,1459.6279296875,1498.449951171875,1660.0,1481.75,1660.0,1831196,2021-04-12
2021-04-19,1487.97412109375,1527.550048828125,1581.0,1422.25,1460.0,1233397,2021-04-19
2021-04-26,1596.9261474609375,1639.4000244140625,1680.0,1536.5,1540.0,1627972,2021-04-26
2021-05-03,1562.7843017578125,1604.3499755859375,1660.0,1561.0999755859375,1631.0,1179231,2021-05-03
2021-05-10,1499.2735595703125,1539.1500244140625,1637.8499755859375,1500.0,1616.0,909431,2021-05-10
2021-05-17,1485.97705078125,1525.5,1627.949951171875,1497.5,1564.0,2334763,2021-05-17
2021-05-24,1670.42138671875,1714.8499755859375,1794.699951171875,1507.0,1534.699951171875,9954961,2021-05-24
2021-05-31,1669.1551513671875,1713.550048828125,1763.9000244140625,1670.0,1715.0,2548734,2021-05-31
2021-06-07,1706.17041015625,1751.550048828125,1855.0,1708.0,1727.0,3795836,2021-06-07
2021-06-14,1644.1697998046875,1687.9000244140625,1778.8499755859375,1655.25,1751.0,1811734,2021-06-14
2021-06-21,1669.3988037109375,1713.800048828125,1792.0,1640.0,1654.699951171875,1568390,2021-06-21
2021-06-28,2047.736083984375,2102.199951171875,2124.199951171875,1681.0,1719.9000244140625,10617545,2021-06-28
2021-07-05,2056.989501953125,2111.699951171875,2307.0,2012.050048828125,2165.0,10810001,2021-07-05
2021-07-12,2096.68408203125,2152.449951171875,2239.800048828125,2026.0,2127.0,4871340,2021-07-12
2021-07-19,2082.77880859375,2136.199951171875,2222.0,2043.0999755859375,2104.89990234375,2262099,2021-07-19
2021-07-26,2012.7255859375,2064.35009765625,2231.89990234375,2056.0,2141.10009765625,3467579,2021-07-26
2021-08-02,1925.512451171875,1974.9000244140625,2094.0,1961.75,2083.0,2125809,2021-08-02
2021-08-09,1923.12353515625,1972.449951171875,2022.0,1864.1500244140625,1988.5999755859375,1282153,2021-08-09
2021-08-16,1847.123291015625,1894.5,1985.699951171875,1888.199951171875,1972.0,633858,2021-08-16
2021-08-23,1841.3218994140625,1888.550048828125,1958.5,1754.0,1875.0,1393396,2021-08-23
2021-08-30,1947.4010009765625,1997.3499755859375,2037.0,1895.5,1904.4000244140625,1773225,2021-08-30
2021-09-06,1945.9383544921875,1995.8499755859375,2075.0,1980.0,2010.0,1256768,2021-09-06
