Date,Adj Close_JCHAC.NS,Close_JCHAC.NS,High_JCHAC.NS,Low_JCHAC.NS,Open_JCHAC.NS,Volume_JCHAC.NS,Date
2020-07-13,2134.421875,2196.75,2241.10009765625,2140.0,2184.10009765625,15033,2020-07-13
2020-07-20,2045.7608642578125,2105.5,2209.949951171875,2085.0,2197.0,48088,2020-07-20
2020-07-27,2007.0413818359375,2065.64990234375,2127.800048828125,2032.800048828125,2105.550048828125,24238,2020-07-27
2020-08-03,2004.5638427734375,2063.10009765625,2115.0,2016.0,2071.0,65590,2020-08-03
2020-08-10,1969.682373046875,2027.199951171875,2095.0,1980.050048828125,2084.949951171875,51415,2020-08-10
2020-08-17,2052.756591796875,2112.699951171875,2140.0,2016.0999755859375,2016.0999755859375,64323,2020-08-17
2020-08-24,2207.148193359375,2271.60009765625,2439.800048828125,2112.050048828125,2145.0,171236,2020-08-24
2020-08-31,2063.833251953125,2124.10009765625,2280.300048828125,2102.050048828125,2252.0,33559,2020-08-31
2020-09-07,2093.95361328125,2155.10009765625,2299.0,2110.050048828125,2124.0,68415,2020-09-07
2020-09-14,2202.969970703125,2267.300048828125,2348.5,2140.0,2140.0,89742,2020-09-14
2020-09-21,2150.988037109375,2213.800048828125,2298.64990234375,2025.0999755859375,2270.0,44836,2020-09-21
2020-09-28,2151.03662109375,2213.85009765625,2298.85009765625,2160.75,2216.0,21138,2020-09-28
2020-10-05,2217.010009765625,2281.75,2393.949951171875,2176.0,2213.85009765625,64585,2020-10-05
2020-10-12,2214.580810546875,2279.25,2329.550048828125,2180.25,2291.0,47929,2020-10-12
2020-10-19,2213.31787109375,2277.949951171875,2349.85009765625,2115.0,2349.85009765625,72224,2020-10-19
2020-10-26,2117.709716796875,2179.550048828125,2287.39990234375,2089.89990234375,2285.39990234375,33149,2020-10-26
2020-11-02,2106.5849609375,2168.10009765625,2207.300048828125,2101.5,2179.60009765625,16693,2020-11-02
2020-11-09,2124.608154296875,2186.64990234375,2283.5,2140.0,2200.0,49231,2020-11-09
2020-11-16,2067.671142578125,2128.050048828125,2218.0,2107.449951171875,2168.85009765625,41543,2020-11-16
2020-11-23,2221.528076171875,2286.39990234375,2308.800048828125,2118.0,2138.550048828125,122404,2020-11-23
2020-11-30,2128.300537109375,2190.449951171875,2323.800048828125,2181.0,2286.39990234375,58705,2020-11-30
2020-12-07,2148.316162109375,2211.050048828125,2298.0,2187.699951171875,2190.449951171875,71268,2020-12-07
2020-12-14,2128.300537109375,2190.449951171875,2298.0,2031.199951171875,2215.0,116551,2020-12-14
2020-12-21,2458.45947265625,2530.25,2562.5,2090.300048828125,2199.0,312040,2020-12-21
