Date,Adj Close_MEGASOFT.NS,Close_MEGASOFT.NS,High_MEGASOFT.NS,Low_MEGASOFT.NS,Open_MEGASOFT.NS,Volume_MEGASOFT.NS,Date
2020-07-13,5.447979927062988,5.447979927062988,5.828071117401123,5.279049873352051,5.785839080810547,101319,2020-07-13
2020-07-20,5.574676990509033,5.574676990509033,6.039233207702637,5.405746936798096,5.4902119636535645,236974,2020-07-20
2020-07-27,5.4902119636535645,5.4902119636535645,5.785839080810547,5.321282863616943,5.4902119636535645,169577,2020-07-27
2020-08-03,5.4902119636535645,5.4902119636535645,5.743607044219971,5.3635149002075195,5.4902119636535645,146323,2020-08-03
2020-08-10,6.334859848022461,6.334859848022461,7.179508209228516,5.4902119636535645,5.4902119636535645,836081,2020-08-10
2020-08-17,8.446479797363281,8.446479797363281,8.446479797363281,6.208162784576416,6.3770928382873535,1129298,2020-08-17
2020-08-24,7.728529930114746,7.728529930114746,8.868804931640625,7.432902812957764,8.742107391357422,939417,2020-08-24
2020-08-31,7.601831912994385,7.601831912994385,7.93969202041626,7.559599876403809,7.93969202041626,273470,2020-08-31
2020-09-07,6.630486965179443,6.630486965179443,7.601831912994385,6.3770928382873535,7.601831912994385,260930,2020-09-07
2020-09-14,6.588254928588867,6.588254928588867,7.1372761726379395,6.292627811431885,6.926114082336426,184911,2020-09-14
2020-09-21,6.250394821166992,6.250394821166992,6.88388204574585,5.743607044219971,6.41932487487793,216910,2020-09-21
2020-09-28,6.208162784576416,6.208162784576416,6.503789901733398,6.039233207702637,6.503789901733398,97924,2020-09-28
2020-10-05,6.714951992034912,6.714951992034912,7.179508209228516,6.208162784576416,6.461556911468506,144016,2020-10-05
2020-10-12,6.503789901733398,6.503789901733398,6.757184028625488,6.208162784576416,6.714951992034912,67478,2020-10-12
2020-10-19,6.334859848022461,6.334859848022461,6.6727190017700195,6.250394821166992,6.41932487487793,66117,2020-10-19
2020-10-26,6.461556911468506,6.461556911468506,6.714951992034912,6.334859848022461,6.546021938323975,24765,2020-10-26
