Date,Adj Close_VAIBHAVGBL.NS,Close_VAIBHAVGBL.NS,High_VAIBHAVGBL.NS,Low_VAIBHAVGBL.NS,Open_VAIBHAVGBL.NS,Volume_VAIBHAVGBL.NS,Date
2020-07-13,244.57948303222656,266.3500061035156,267.5,252.02999877929688,259.7900085449219,87090,2020-07-13
2020-07-20,247.86680603027344,269.92999267578125,271.1099853515625,262.6000061035156,268.0,309915,2020-07-20
2020-07-27,247.10391235351562,267.67999267578125,292.0,261.2099914550781,269.0,918915,2020-07-27
2020-08-03,313.02471923828125,339.0899963378906,347.79998779296875,265.80999755859375,270.989990234375,2660455,2020-08-03
2020-08-10,313.3755187988281,339.4700012207031,394.0,334.0,343.6000061035156,1313570,2020-08-10
2020-08-17,315.2309875488281,341.4800109863281,365.0,338.6000061035156,340.010009765625,514190,2020-08-17
2020-08-24,326.0163879394531,352.1300048828125,367.9800109863281,335.0,349.3999938964844,624235,2020-08-24
2020-08-31,307.90692138671875,332.57000732421875,358.0,326.0,358.0,541860,2020-08-31
2020-09-07,325.9701232910156,352.0799865722656,360.6000061035156,332.0,334.0,593470,2020-09-07
2020-09-14,347.90325927734375,375.7699890136719,378.0,358.0,359.989990234375,621840,2020-09-14
2020-09-21,335.18212890625,362.0299987792969,389.0,350.20001220703125,379.79998779296875,623880,2020-09-21
2020-09-28,353.3564453125,381.6600036621094,385.0,365.0,365.7900085449219,326850,2020-09-28
2020-10-05,345.05157470703125,372.69000244140625,385.0,370.0,381.8399963378906,385945,2020-10-05
2020-10-12,341.4132080078125,368.760009765625,377.79998779296875,361.0,372.69000244140625,289850,2020-10-12
2020-10-19,356.36541748046875,384.9100036621094,393.0,368.0,374.79998779296875,373990,2020-10-19
2020-10-26,361.91119384765625,390.8999938964844,407.9800109863281,369.0,384.9100036621094,644820,2020-10-26
2020-11-02,371.57696533203125,401.3399963378906,412.70001220703125,378.0,390.0,620440,2020-11-02
2020-11-09,385.188720703125,414.9800109863281,419.6000061035156,379.7799987792969,409.20001220703125,503495,2020-11-09
2020-11-16,393.904541015625,424.3699951171875,429.0,409.0,413.05999755859375,666060,2020-11-16
2020-11-23,395.3154602050781,425.8900146484375,431.0,411.3900146484375,421.0199890136719,1149885,2020-11-23
2020-11-30,392.52154541015625,422.8800048828125,436.0,421.4100036621094,425.8900146484375,358210,2020-11-30
2020-12-07,389.1706237792969,419.2699890136719,437.6000061035156,415.3999938964844,422.8800048828125,409695,2020-12-07
2020-12-14,399.07476806640625,429.94000244140625,439.0,414.0,427.6600036621094,290865,2020-12-14
2020-12-21,408.1619873046875,439.7300109863281,447.3999938964844,404.4700012207031,429.0,598995,2020-12-21
2020-12-28,473.7771301269531,510.4200134277344,515.0,433.2099914550781,447.0,1562605,2020-12-28
2021-01-04,497.27008056640625,535.72998046875,580.0399780273438,506.20001220703125,521.25,1673305,2021-01-04
2021-01-11,484.4142761230469,521.8800048828125,544.989990234375,504.0,542.0,708650,2021-01-11
2021-01-18,482.8642272949219,520.2100219726562,554.7999877929688,511.0,522.989990234375,506140,2021-01-18
2021-01-25,482.1031799316406,519.3900146484375,538.530029296875,518.0,528.0,205080,2021-01-25
2021-02-01,507.2204284667969,546.4500122070312,580.0,525.4600219726562,530.0,1311335,2021-02-01
2021-02-08,532.0253295898438,571.6300048828125,579.0,533.0,545.4000244140625,922425,2021-02-08
2021-02-15,549.8298950195312,590.760009765625,622.0,550.5999755859375,570.239990234375,1327925,2021-02-15
2021-02-22,652.7297973632812,701.3200073242188,708.0,594.219970703125,597.97998046875,2252450,2021-02-22
2021-03-01,699.4146118164062,751.47998046875,791.4600219726562,694.4000244140625,708.0,1830535,2021-03-01
2021-03-08,773.8624267578125,831.469970703125,835.0,754.010009765625,769.0,1066830,2021-03-08
2021-03-15,730.11865234375,784.469970703125,956.0,738.5800170898438,840.0,4707190,2021-03-15
2021-03-22,704.2635498046875,756.6900024414062,854.0,750.0,803.0,1506855,2021-03-22
2021-03-29,745.8665161132812,801.3900146484375,808.0,720.5,756.6900024414062,630125,2021-03-29
2021-04-05,822.781005859375,884.030029296875,893.3300170898438,771.5800170898438,818.219970703125,749445,2021-04-05
2021-04-12,786.1943969726562,844.719970703125,920.0,838.1599731445312,884.0,1498640,2021-04-12
2021-04-19,737.5924682617188,792.5,835.0,770.0,830.0,619545,2021-04-19
2021-04-26,776.179931640625,833.9600219726562,905.1799926757812,808.2000122070312,822.0,1128920,2021-04-26
2021-05-03,927.6444702148438,996.7000122070312,1038.699951171875,840.0,840.0,2292837,2021-05-03
2021-05-10,798.3682250976562,857.7999877929688,1050.0,833.0,1019.4000244140625,975745,2021-05-10
2021-05-17,784.267822265625,842.6500244140625,905.0,836.0,857.9500122070312,677483,2021-05-17
2021-05-24,789.1076049804688,847.8499755859375,889.0,807.0,850.0,760275,2021-05-24
2021-05-31,768.259521484375,825.4500122070312,859.0,816.0999755859375,851.8499755859375,486811,2021-05-31
2021-06-07,753.926513671875,810.0499877929688,833.7999877929688,791.5,825.4500122070312,1024311,2021-06-07
2021-06-14,744.154052734375,799.5499877929688,826.4000244140625,781.5,819.5,790790,2021-06-14
2021-06-21,749.1798706054688,804.9500122070312,852.0,787.5,792.5,1430044,2021-06-21
2021-06-28,760.53466796875,817.1500244140625,842.0,791.0,804.0499877929688,738044,2021-06-28
2021-07-05,760.5728149414062,815.6500244140625,833.0,804.0,830.0,444701,2021-07-05
2021-07-12,741.130859375,794.7999877929688,826.9000244140625,792.0,823.6500244140625,429355,2021-07-12
2021-07-19,731.5728759765625,784.5499877929688,805.7999877929688,750.0,779.0,1077560,2021-07-19
2021-07-26,773.7207641601562,829.75,842.5,772.0499877929688,784.0,1285855,2021-07-26
2021-08-02,731.1066284179688,784.0499877929688,860.0,780.0,855.0,787874,2021-08-02
2021-08-09,720.6376953125,771.3499755859375,794.7999877929688,754.0,784.0999755859375,393109,2021-08-09
2021-08-16,689.2935791015625,737.7999877929688,777.0,732.0,773.9000244140625,283907,2021-08-16
2021-08-23,682.0531005859375,730.0499877929688,749.0,697.0999755859375,748.9500122070312,566630,2021-08-23
2021-08-30,713.4907836914062,763.7000122070312,792.9000244140625,710.0499877929688,745.0,959177,2021-08-30
2021-09-06,740.864501953125,793.0,805.0,770.9500122070312,780.0,540837,2021-09-06
2021-09-13,670.8887939453125,718.0999755859375,798.0,717.0,793.0,684945,2021-09-13
2021-09-20,669.2537841796875,716.3499755859375,773.9000244140625,710.0,718.0999755859375,633883,2021-09-20
2021-09-27,650.8489990234375,696.6500244140625,724.4000244140625,694.0,722.0,741442,2021-09-27
2021-10-04,693.9182739257812,742.75,759.0,697.75,698.2000122070312,813702,2021-10-04
2021-10-11,667.3853149414062,714.3499755859375,767.5999755859375,700.25,756.0,589211,2021-10-11
2021-10-18,650.5221557617188,696.2999877929688,758.5999755859375,694.75,724.0,943685,2021-10-18
2021-10-25,536.869873046875,574.6500244140625,711.4500122070312,571.0,697.0,1368241,2021-10-25
2021-11-01,545.93212890625,584.3499755859375,598.4000244140625,550.0499877929688,585.0,760375,2021-11-01
2021-11-08,508.478271484375,542.7999877929688,591.0,541.0999755859375,589.9500122070312,637469,2021-11-08
2021-11-15,540.3283081054688,576.7999877929688,599.9000244140625,530.0,549.9500122070312,844383,2021-11-15
2021-11-22,492.08477783203125,525.2999877929688,586.2000122070312,521.0999755859375,586.2000122070312,494249,2021-11-22
2021-11-29,494.2393798828125,527.5999755859375,539.2000122070312,480.1000061035156,520.0,826036,2021-11-29
2021-12-06,546.8389282226562,583.75,587.0,507.54998779296875,527.0,642507,2021-12-06
2021-12-13,532.7874145507812,568.75,637.3499755859375,555.2999877929688,577.0,991329,2021-12-13
2021-12-20,535.0357055664062,571.1500244140625,609.0,536.75,568.0,605292,2021-12-20
2021-12-27,551.0543823242188,588.25,603.0,555.0,565.0,523171,2021-12-27
2022-01-03,518.8764038085938,553.9000244140625,605.0,547.5999755859375,605.0,727660,2022-01-03
2022-01-10,506.6514892578125,540.8499755859375,557.7999877929688,533.0999755859375,556.0,589422,2022-01-10
