Date,Adj Close_APLLTD.NS,Close_APLLTD.NS,High_APLLTD.NS,Low_APLLTD.NS,Open_APLLTD.NS,Volume_APLLTD.NS,Date
2020-07-13,927.3410034179688,976.9000244140625,990.0,940.0999755859375,957.0,1000004,2020-07-13
2020-07-20,930.4735717773438,980.2000122070312,1045.0,951.0,985.7000122070312,6354438,2020-07-20
2020-07-27,935.0775146484375,985.0499877929688,1013.0,955.0,984.0,2549432,2020-07-27
2020-08-03,997.82421875,1051.1500244140625,1128.9000244140625,975.0499877929688,985.0,4608614,2020-08-03
2020-08-10,985.4362182617188,1038.0999755859375,1117.300048828125,1025.0,1059.0,2255478,2020-08-10
2020-08-17,948.6995849609375,999.4000244140625,1049.0,977.5,1040.0,2543967,2020-08-17
2020-08-24,938.7796630859375,988.9500122070312,1033.800048828125,984.0999755859375,1010.0999755859375,1915145,2020-08-24
2020-08-31,880.5895385742188,927.6500244140625,999.4500122070312,905.5999755859375,999.0,2417045,2020-08-31
2020-09-07,865.0214233398438,911.25,941.0,892.8499755859375,935.0,1815418,2020-09-07
2020-09-14,914.6682739257812,963.5499877929688,986.0,905.0499877929688,922.5,3466673,2020-09-14
2020-09-21,906.64697265625,955.0999755859375,976.0,865.8499755859375,970.0,2219952,2020-09-21
2020-09-28,879.687744140625,926.7000122070312,996.0,918.0999755859375,956.75,1306068,2020-09-28
2020-10-05,909.6845703125,958.2999877929688,1016.4500122070312,935.0,935.0,2276492,2020-10-05
2020-10-12,912.4849243164062,961.25,972.0,931.0499877929688,959.2000122070312,1013348,2020-10-12
2020-10-19,924.350830078125,973.75,1032.0,952.5499877929688,962.7999877929688,2522275,2020-10-19
2020-10-26,915.6649780273438,964.5999755859375,987.0,940.0999755859375,980.0,1256939,2020-10-26
2020-11-02,929.3819580078125,979.0499877929688,1009.0,943.8499755859375,956.0,1428740,2020-11-02
2020-11-09,936.1692504882812,986.2000122070312,996.0,937.0,996.0,1311084,2020-11-09
2020-11-16,921.6454467773438,970.9000244140625,992.7999877929688,960.0,978.3499755859375,685544,2020-11-16
2020-11-23,947.4654541015625,998.0999755859375,1019.5,968.5,977.0,1573878,2020-11-23
2020-11-30,960.9926147460938,1012.3499755859375,1024.8499755859375,971.0999755859375,998.0999755859375,1036474,2020-11-30
2020-12-07,1030.6689453125,1085.75,1095.5,1008.5999755859375,1012.0,2266441,2020-12-07
2020-12-14,1051.8375244140625,1108.050048828125,1145.0,1061.25,1096.0,1464215,2020-12-14
2020-12-21,1017.8538208007812,1072.25,1133.0,981.0,1102.0999755859375,782674,2020-12-21
2020-12-28,989.7080078125,1042.5999755859375,1090.0,1021.0,1078.0,591981,2020-12-28
2021-01-04,1037.456298828125,1092.9000244140625,1109.550048828125,1031.199951171875,1045.0,1145188,2021-01-04
2021-01-11,1032.99462890625,1088.199951171875,1120.0,1073.0999755859375,1103.0,861651,2021-01-11
2021-01-18,892.2655029296875,939.9500122070312,1096.949951171875,930.5,1090.0,4840702,2021-01-18
2021-01-25,904.36865234375,952.7000122070312,979.0,928.0,945.4000244140625,2368489,2021-01-25
2021-02-01,885.38330078125,932.7000122070312,991.5499877929688,928.0999755859375,954.7000122070312,1648966,2021-02-01
2021-02-08,916.8990478515625,965.9000244140625,971.1500244140625,928.7999877929688,933.0,2081866,2021-02-08
2021-02-15,856.6204833984375,902.4000244140625,985.9500122070312,894.7999877929688,972.25,2015038,2021-02-15
2021-02-22,874.0394897460938,920.75,928.7999877929688,870.0,891.5,1959714,2021-02-22
2021-03-01,870.4797973632812,917.0,948.0,908.2999877929688,910.0999755859375,1931354,2021-03-01
2021-03-08,892.2180786132812,939.9000244140625,948.0,906.25,917.0,1380119,2021-03-08
2021-03-15,842.5238037109375,887.5499877929688,942.7000122070312,864.2999877929688,937.0999755859375,1111028,2021-03-15
2021-03-22,888.1836547851562,935.6500244140625,946.8499755859375,888.6500244140625,890.0999755859375,2081715,2021-03-22
2021-03-29,937.071044921875,987.1500244140625,990.0,935.6500244140625,935.6500244140625,1181595,2021-03-29
2021-04-05,962.558837890625,1014.0,1024.0,945.5,987.0,2222236,2021-04-05
2021-04-12,950.4082641601562,1001.2000122070312,1024.1500244140625,955.0,1021.0,1188001,2021-04-12
2021-04-19,947.4180297851562,998.0499877929688,1038.0,973.5499877929688,1001.2000122070312,2331364,2021-04-19
2021-04-26,935.6945190429688,985.7000122070312,1016.4000244140625,975.0,1000.1500244140625,1358875,2021-04-26
2021-05-03,893.9267578125,941.7000122070312,1035.0,935.0,988.0,4998185,2021-05-03
2021-05-10,891.4111328125,939.0499877929688,974.7000122070312,936.5,942.1500244140625,1658242,2021-05-10
2021-05-17,907.9284057617188,956.4500122070312,975.0,924.0,942.0,1879876,2021-05-17
2021-05-24,894.1165771484375,941.9000244140625,969.0,941.0,960.0,1260462,2021-05-24
2021-05-31,901.3310546875,949.5,967.0,931.0999755859375,943.4500122070312,1096490,2021-05-31
2021-06-07,955.01220703125,1006.0499877929688,1025.949951171875,942.0,952.7000122070312,3778227,2021-06-07
2021-06-14,926.5341796875,976.0499877929688,1019.4500122070312,959.4000244140625,1011.9500122070312,2556900,2021-06-14
2021-06-21,931.4228515625,981.2000122070312,1009.0,951.0499877929688,951.0499877929688,1042649,2021-06-21
2021-06-28,935.0300903320312,985.0,1006.0,975.0,981.0,1244940,2021-06-28
2021-07-05,926.1544799804688,975.6500244140625,1016.7000122070312,972.0,993.0,2095538,2021-07-05
2021-07-12,919.4619750976562,968.5999755859375,992.0,960.5,985.0,2252852,2021-07-12
2021-07-19,898.008544921875,946.0,967.7000122070312,936.0499877929688,962.0,958757,2021-07-19
2021-07-26,758.3202514648438,787.2999877929688,950.0,773.7999877929688,950.0,9410637,2021-07-26
2021-08-02,754.2266235351562,783.0499877929688,794.7999877929688,775.0,794.7000122070312,2143261,2021-08-02
2021-08-09,741.7051391601562,770.0499877929688,787.0,744.2999877929688,785.2999877929688,2002568,2021-08-09
2021-08-16,711.4609985351562,738.6500244140625,777.5999755859375,733.0,770.0499877929688,1073221,2021-08-16
2021-08-23,718.6849365234375,746.1500244140625,754.2999877929688,720.3499755859375,745.0,1176653,2021-08-23
2021-08-30,746.232177734375,774.75,789.8499755859375,742.0999755859375,749.5,1675321,2021-08-30
2021-09-06,737.611572265625,765.7999877929688,786.7000122070312,760.1500244140625,775.0,733708,2021-09-06
2021-09-13,749.6033325195312,778.25,794.5499877929688,762.0499877929688,765.0,1293702,2021-09-13
2021-09-20,762.0285034179688,791.1500244140625,839.5499877929688,765.25,774.0,3121191,2021-09-20
2021-09-27,759.138916015625,788.1500244140625,803.5999755859375,775.0499877929688,789.75,1190854,2021-09-27
2021-10-04,748.3993530273438,777.0,807.5,775.3499755859375,790.0,1427982,2021-10-04
2021-10-11,776.9097290039062,806.5999755859375,864.0499877929688,775.0,781.0999755859375,5322531,2021-10-11
2021-10-18,739.4898071289062,767.75,819.8499755859375,762.0,809.5,1311097,2021-10-18
2021-10-25,748.5438842773438,777.1500244140625,783.5,736.7999877929688,762.0,1029128,2021-10-25
2021-11-01,749.41064453125,778.0499877929688,785.9500122070312,765.0499877929688,777.1500244140625,542142,2021-11-01
2021-11-08,751.7222900390625,780.4500122070312,807.0,756.0,779.0,3504850,2021-11-08
2021-11-15,732.0250854492188,760.0,794.5,753.5999755859375,780.0,1690839,2021-11-15
2021-11-22,767.27783203125,796.5999755859375,814.3499755859375,724.3499755859375,759.0,3882952,2021-11-22
