Date,Adj Close_BHARATRAS.NS,Close_BHARATRAS.NS,High_BHARATRAS.NS,Low_BHARATRAS.NS,Open_BHARATRAS.NS,Volume_BHARATRAS.NS,Date
2020-07-13,9222.2880859375,9228.5,9580.5498046875,8855.0,9380.0,17909,2020-07-13
2020-07-20,9463.7255859375,9470.099609375,9740.0,8923.0,9397.9501953125,31720,2020-07-20
2020-07-27,9363.9931640625,9370.2998046875,10350.0,9112.5,9426.0,63458,2020-07-27
2020-08-03,10019.9501953125,10026.7001953125,10200.0,9250.0,9376.0,48380,2020-08-03
2020-08-10,9922.5654296875,9929.25,11700.0,9776.0,10103.0,102526,2020-08-10
2020-08-17,9749.2314453125,9755.7998046875,10264.5,9500.0,9980.0,41431,2020-08-17
2020-08-24,9669.5859375,9676.099609375,10184.0,9625.0,9938.5498046875,28710,2020-08-24
2020-08-31,9342.6064453125,9348.900390625,9800.0,8900.0,9680.0,28745,2020-08-31
2020-09-07,9244.62109375,9250.849609375,9486.0,8900.0,9310.0,21211,2020-09-07
2020-09-14,9848.5654296875,9855.2001953125,10163.0,9388.9501953125,9450.0,38657,2020-09-14
2020-09-21,9083.767578125,9088.4501953125,9891.2998046875,8900.0,9855.2001953125,36480,2020-09-21
2020-09-28,9066.0263671875,9070.7001953125,9524.9501953125,9011.0,9250.0,12790,2020-09-28
2020-10-05,8865.580078125,8870.150390625,9220.0,8761.0,9190.0,15373,2020-10-05
2020-10-12,8680.2255859375,8684.7001953125,9001.900390625,8480.0,8999.0,13833,2020-10-12
2020-10-19,8933.5947265625,8938.2001953125,9040.0,8525.0,8720.0,14900,2020-10-19
2020-10-26,8615.80859375,8620.25,9083.0,8552.0498046875,9083.0,8586,2020-10-26
2020-11-02,8854.935546875,8859.5,8957.2001953125,8500.0,8621.0,9703,2020-11-02
2020-11-09,8783.4716796875,8788.0,9301.0,8521.0,8977.0,26386,2020-11-09
2020-11-16,8692.96875,8697.4501953125,8998.0,8619.9501953125,8695.2998046875,10983,2020-11-16
2020-11-23,9543.0810546875,9548.0,9900.0,8625.0,8825.0,51827,2020-11-23
2020-11-30,9534.4345703125,9539.349609375,9678.650390625,9200.0,9548.0,16265,2020-11-30
2020-12-07,9464.919921875,9469.7998046875,10179.9501953125,9300.0498046875,9630.0,28500,2020-12-07
2020-12-14,9322.89453125,9327.7001953125,9699.75,9299.0,9469.0,8165,2020-12-14
2020-12-21,9290.9111328125,9295.7001953125,9556.5498046875,8700.0,9321.0,13988,2020-12-21
2020-12-28,9630.8349609375,9635.7998046875,10190.0,9222.0,9395.0,60771,2020-12-28
2021-01-04,10199.7919921875,10205.0498046875,10550.0,9386.0,9774.0,70181,2021-01-04
2021-01-11,10374.1513671875,10379.5,10758.0,9801.0,10250.0,84214,2021-01-11
2021-01-18,10043.9208984375,10049.099609375,10434.099609375,10000.0498046875,10400.0,13341,2021-01-18
2021-01-25,9984.90234375,9990.0498046875,10150.0,9751.0,10031.0,10188,2021-01-25
2021-02-01,9990.44921875,9995.599609375,10293.349609375,9905.0,10049.0,10456,2021-02-01
2021-02-08,9918.486328125,9923.599609375,10108.0,9901.900390625,10050.0,12221,2021-02-08
2021-02-15,9778.2080078125,9783.25,10020.0,9390.0,9980.0,38318,2021-02-15
2021-02-22,9957.3173828125,9962.4501953125,10099.0,9710.0498046875,9860.0,15541,2021-02-22
2021-03-01,9949.0712890625,9954.2001953125,10580.0,9910.2001953125,10090.0,30832,2021-03-01
2021-03-08,9797.798828125,9802.849609375,10066.099609375,9780.0,9960.5,5882,2021-03-08
2021-03-15,9550.2763671875,9555.2001953125,9870.0498046875,9394.150390625,9762.0,7979,2021-03-15
2021-03-22,9348.73046875,9353.5498046875,9850.0,9255.0,9563.9501953125,6730,2021-03-22
2021-03-29,9437.3349609375,9442.2001953125,9514.9501953125,9273.2998046875,9353.5498046875,3468,2021-03-29
2021-04-05,9938.7255859375,9943.849609375,10301.9501953125,9350.0,9440.0,15804,2021-04-05
2021-04-12,9935.779296875,9940.900390625,10250.0,9380.0,10089.0,11784,2021-04-12
2021-04-19,9931.580078125,9936.7001953125,10040.0,9582.2001953125,9628.0,15266,2021-04-19
2021-04-26,12223.9990234375,12230.2998046875,13198.900390625,9895.0498046875,9999.0,220396,2021-04-26
2021-05-03,11624.607421875,11630.599609375,12499.849609375,11500.0,12499.849609375,15917,2021-05-03
2021-05-10,12793.306640625,12799.900390625,13900.0,11605.0,11799.9501953125,88926,2021-05-10
2021-05-17,12380.9677734375,12387.349609375,13400.7001953125,12299.4501953125,13000.0,21215,2021-05-17
2021-05-24,12923.23828125,12929.900390625,13200.0,12000.0,12478.900390625,48291,2021-05-24
2021-05-31,12990.4033203125,12997.099609375,13700.0,12750.0,12830.0,38996,2021-05-31
2021-06-07,12756.5234375,12763.099609375,13099.9501953125,12525.25,12950.0,12832,2021-06-07
2021-06-14,12330.2939453125,12336.650390625,13263.9501953125,12176.4501953125,12878.0,17088,2021-06-14
2021-06-21,12564.3720703125,12570.849609375,13160.0,12112.5498046875,12328.0,15813,2021-06-21
2021-06-28,13613.7822265625,13620.7998046875,15131.7001953125,12500.0,12590.0,68642,2021-06-28
2021-07-05,13720.27734375,13727.349609375,14465.4501953125,13338.099609375,13894.400390625,28281,2021-07-05
2021-07-12,13867.0517578125,13874.2001953125,14181.150390625,13427.2001953125,13899.0,17905,2021-07-12
2021-07-19,13405.0888671875,13412.0,13997.0,13300.0,13850.0,7284,2021-07-19
2021-07-26,13295.49609375,13302.349609375,13685.0,13017.650390625,13459.9501953125,8032,2021-07-26
2021-08-02,13319.484375,13326.349609375,13800.0,13086.4501953125,13499.4501953125,8709,2021-08-02
2021-08-09,13001.947265625,13008.650390625,13454.25,12211.0,13326.349609375,17240,2021-08-09
2021-08-16,12432.2412109375,12438.650390625,12974.400390625,12400.0,12960.0,5456,2021-08-16
2021-08-23,12307.0048828125,12313.349609375,12584.75,11900.0,12438.650390625,8997,2021-08-23
2021-08-30,12655.0751953125,12661.599609375,13379.7001953125,12247.849609375,12313.400390625,15810,2021-08-30
2021-09-06,12801.650390625,12808.25,12920.0,12511.25,12662.0,5697,2021-09-06
2021-09-13,12483.9453125,12488.900390625,13047.9501953125,12450.0498046875,12885.0,8680,2021-09-13
2021-09-20,12326.1064453125,12331.0,12600.0,12011.0,12484.0,9379,2021-09-20
2021-09-27,12123.087890625,12127.900390625,12509.2001953125,11999.0,12350.0,7459,2021-09-27
2021-10-04,12413.671875,12418.599609375,12730.900390625,12000.0,12205.099609375,10006,2021-10-04
2021-10-11,12232.494140625,12237.349609375,12499.099609375,12153.25,12499.0,6233,2021-10-11
2021-10-18,10748.7822265625,10753.0498046875,12339.650390625,10718.0,12250.0,17912,2021-10-18
2021-10-25,10210.8974609375,10214.9501953125,11516.650390625,10052.0498046875,10800.0,33807,2021-10-25
2021-11-01,10278.619140625,10282.7001953125,10493.849609375,10160.0,10327.349609375,5641,2021-11-01
2021-11-08,10308.4580078125,10312.5498046875,11989.849609375,9999.0,10300.0,50327,2021-11-08
2021-11-15,9961.1962890625,9965.150390625,10499.900390625,9800.0,10460.599609375,21984,2021-11-15
2021-11-22,9882.9775390625,9886.900390625,10295.0,9685.0,10000.0,17627,2021-11-22
2021-11-29,9921.3115234375,9925.25,10029.25,9438.5,9711.099609375,10042,2021-11-29
2021-12-06,10347.8427734375,10351.9501953125,10640.0,9855.9501953125,9999.5,11534,2021-12-06
2021-12-13,10065.2548828125,10069.25,10570.0,9950.099609375,10441.099609375,8673,2021-12-13
2021-12-20,10210.9970703125,10215.0498046875,10550.0,9822.9501953125,10008.5498046875,12110,2021-12-20
2021-12-27,11633.3818359375,11638.0,11899.0,10180.0,10289.0,54782,2021-12-27
2022-01-03,12475.248046875,12480.2001953125,12776.900390625,11723.099609375,11812.5498046875,47693,2022-01-03
2022-01-10,12481.2958984375,12486.25,12994.9501953125,11875.0,12493.9501953125,33147,2022-01-10
2022-01-17,12224.59765625,12229.4501953125,12598.5,12000.0,12486.0,19396,2022-01-17
2022-01-24,12374.48828125,12379.400390625,12906.25,11340.0498046875,12255.849609375,18411,2022-01-24
2022-01-31,13293.9228515625,13299.2001953125,13499.0,12268.0,12572.2001953125,31673,2022-01-31
2022-02-07,12629.2861328125,12634.2998046875,13419.599609375,12549.9501953125,13240.0,17033,2022-02-07
2022-02-14,12328.40625,12333.2998046875,13050.0,11717.0,12500.0,27402,2022-02-14
2022-02-21,11990.890625,11995.650390625,12499.0,11601.0,12319.0,18906,2022-02-21
2022-02-28,12027.025390625,12031.7998046875,12222.0,11841.150390625,11990.0,5247,2022-02-28
2022-03-07,13248.9912109375,13254.25,13999.0,11400.0,11980.0,35169,2022-03-07
2022-03-14,12807.0146484375,12812.099609375,13500.0,12550.0,13399.0,12172,2022-03-14
2022-03-21,12288.7734375,12293.650390625,12914.5498046875,12141.0498046875,12815.25,7217,2022-03-21
2022-03-28,12578.806640625,12583.7998046875,12700.0,11950.0,12347.0,14842,2022-03-28
2022-04-04,12577.357421875,12582.349609375,13280.0,12003.150390625,12694.0,21765,2022-04-04
2022-04-11,13289.07421875,13294.349609375,13450.0,12719.2998046875,12782.349609375,13515,2022-04-11
2022-04-18,14077.26171875,14082.849609375,14400.0,13002.0,13002.0,41475,2022-04-18
2022-04-25,13874.5419921875,13880.0498046875,14248.7998046875,13411.099609375,14082.849609375,15220,2022-04-25
2022-05-02,13345.1533203125,13350.4501953125,14315.0,13289.9501953125,13881.0,21256,2022-05-02
2022-05-09,12429.3662109375,12434.2998046875,14199.0,12251.0,13289.0,17157,2022-05-09
2022-05-16,11252.0830078125,11256.5498046875,12770.9501953125,11112.0,12600.0,20444,2022-05-16
2022-05-23,11542.8681640625,11547.4501953125,11784.4501953125,10500.0,11511.650390625,12977,2022-05-23
2022-05-30,11414.2197265625,11418.75,12240.9501953125,11016.0,11676.9501953125,10719,2022-05-30
2022-06-06,11176.462890625,11180.900390625,11954.349609375,11154.25,11470.0,7752,2022-06-06
2022-06-13,10144.0224609375,10148.0498046875,11159.0,10050.0,11159.0,10271,2022-06-13
2022-06-20,10951.453125,10955.7998046875,11065.099609375,9899.9501953125,10180.0,7678,2022-06-20
2022-06-27,11064.5078125,11068.900390625,11562.7001953125,10763.0498046875,11440.0,7265,2022-06-27
2022-07-04,11848.2470703125,11852.9501953125,11999.0,10975.7998046875,11000.0,7868,2022-07-04
2022-07-11,12788.2734375,12793.349609375,13185.0,11666.0,11852.9501953125,14949,2022-07-11
2022-07-18,12385.3837890625,12390.2998046875,12850.0,12367.9501953125,12850.0,6382,2022-07-18
2022-07-25,12139.0810546875,12143.900390625,12500.0,11977.7998046875,12500.0,5317,2022-07-25
2022-08-01,12140.5302734375,12145.349609375,12252.7998046875,11732.099609375,12248.150390625,7537,2022-08-01
2022-08-08,12317.2607421875,12322.150390625,12700.0,11092.0498046875,12399.0,10188,2022-08-08
2022-08-15,12090.9013671875,12095.7001953125,12588.0,12014.9501953125,12322.150390625,4335,2022-08-15
2022-08-22,12218.599609375,12223.4501953125,12299.900390625,11700.0,12145.0,6646,2022-08-22
2022-08-29,12403.3759765625,12408.2998046875,12950.0,11800.0,11999.0,9662,2022-08-29
2022-09-05,12185.2119140625,12190.0498046875,12790.0,12138.2998046875,12775.0,7884,2022-09-05
2022-09-12,11821.5869140625,11824.849609375,12306.9501953125,11634.349609375,12190.0498046875,8780,2022-09-12
2022-09-19,11459.4365234375,11462.599609375,11889.7998046875,11333.7998046875,11800.0,4936,2022-09-19
2022-09-26,11425.7958984375,11428.9501953125,11785.0,10942.0,11399.599609375,6129,2022-09-26
2022-10-03,11058.7978515625,11061.849609375,11586.0,11010.0,11486.099609375,3211,2022-10-03
2022-10-10,10815.2646484375,10818.25,11214.0,10770.0,11117.2001953125,3372,2022-10-10
2022-10-17,10574.4814453125,10577.400390625,11115.400390625,10511.099609375,10800.0,6020,2022-10-17
2022-10-24,10977.12109375,10980.150390625,11694.0,10505.0,10678.900390625,15436,2022-10-24
2022-10-31,11043.3515625,11046.400390625,11219.9501953125,10751.349609375,10990.0,4764,2022-10-31
2022-11-07,10770.8271484375,10773.7998046875,11349.0,10750.099609375,11100.0,5300,2022-11-07
2022-11-14,10161.64453125,10164.4501953125,10827.7001953125,10150.0,10827.7001953125,8428,2022-11-14
2022-11-21,10134.8017578125,10137.599609375,10215.2998046875,9950.0,10215.2998046875,6503,2022-11-21
2022-11-28,10118.70703125,10121.5,10290.0,9950.0,10130.0,5210,2022-11-28
2022-12-05,10016.7353515625,10019.5,10280.0498046875,10000.0,10218.7001953125,4139,2022-12-05
2022-12-12,9974.595703125,9977.349609375,10100.849609375,9975.0,9975.0,3717,2022-12-12
2022-12-19,9611.7470703125,9614.400390625,10100.0,9590.0,10050.7998046875,3963,2022-12-19
2022-12-26,9930.708984375,9933.4501953125,10046.0,9544.599609375,9716.0,3521,2022-12-26
2023-01-02,9519.1220703125,9521.75,10060.0,9480.0,10060.0,4611,2023-01-02
2023-01-09,9483.33203125,9485.9501953125,9787.349609375,9406.349609375,9594.25,3383,2023-01-09
2023-01-16,9415.9013671875,9418.5,9558.099609375,9402.0,9525.0,2284,2023-01-16
2023-01-23,9156.5224609375,9159.0498046875,9705.2998046875,9130.0,9405.75,3482,2023-01-23
2023-01-30,9072.9462890625,9075.4501953125,9344.900390625,9021.349609375,9291.0498046875,3372,2023-01-30
2023-02-06,8884.9482421875,8887.400390625,9123.5498046875,8844.0,9075.4501953125,4870,2023-02-06
2023-02-13,8725.791015625,8728.2001953125,8975.849609375,8499.5498046875,8865.0,7510,2023-02-13
2023-02-20,9082.091796875,9084.599609375,9190.0,8574.0,8794.7001953125,6359,2023-02-20
2023-02-27,8715.044921875,8717.4501953125,8982.900390625,8630.0498046875,8948.2001953125,5407,2023-02-27
2023-03-06,8562.63671875,8565.0,8799.2998046875,8500.0,8678.099609375,3778,2023-03-06
2023-03-13,8746.185546875,8748.599609375,8765.900390625,8280.0,8579.9501953125,5641,2023-03-13
2023-03-20,9519.072265625,9521.7001953125,9985.0,8551.0,8740.0,21796,2023-03-20
2023-03-27,9074.4453125,9076.9501953125,9650.0,8831.099609375,9650.0,8791,2023-03-27
2023-04-03,9659.083984375,9661.75,9736.9501953125,9000.099609375,9075.9501953125,4812,2023-04-03
2023-04-10,9507.2255859375,9509.849609375,9734.9501953125,9450.0,9730.0,3242,2023-04-10
2023-04-17,9389.4580078125,9392.0498046875,9592.5498046875,9273.5,9412.0,2568,2023-04-17
2023-04-24,9931.05859375,9933.7998046875,9998.7998046875,9301.0,9301.0,4840,2023-04-24
2023-05-01,10125.1552734375,10127.9501953125,10274.9501953125,9912.5498046875,9933.7998046875,5196,2023-05-01
2023-05-08,9997.0908203125,9999.849609375,10199.0,9932.349609375,9932.349609375,4207,2023-05-08
2023-05-15,9938.755859375,9941.5,10300.0,9889.9501953125,10057.5,4715,2023-05-15
2023-05-22,10299.857421875,10302.7001953125,10335.0,9910.099609375,9969.7998046875,5193,2023-05-22
2023-05-29,9812.8408203125,9815.5498046875,10599.0,9722.0,10302.0,9109,2023-05-29
2023-06-05,9957.201171875,9959.9501953125,10072.4501953125,9800.0,9800.0,5920,2023-06-05
2023-06-12,9751.4580078125,9754.150390625,9987.9501953125,9700.0,9902.0,5720,2023-06-12
2023-06-19,9508.4755859375,9511.099609375,9855.0,9502.0498046875,9800.0,4412,2023-06-19
2023-06-26,9583.6044921875,9586.25,9779.900390625,9416.0498046875,9582.4501953125,2234,2023-06-26
2023-07-03,9414.201171875,9416.7998046875,9650.0,9403.0,9502.099609375,3910,2023-07-03
2023-07-10,9181.4658203125,9184.0,9498.849609375,9075.900390625,9498.849609375,5038,2023-07-10
2023-07-17,9300.2822265625,9302.849609375,9550.0,9122.0,9122.0,4924,2023-07-17
2023-07-24,8940.8818359375,8943.349609375,9372.5498046875,8822.5498046875,9372.5,6877,2023-07-24
2023-07-31,9318.8779296875,9321.4501953125,9387.900390625,8902.0498046875,9000.0,5745,2023-07-31
2023-08-07,8924.3857421875,8926.849609375,9400.0,8899.9501953125,9400.0,7349,2023-08-07
2023-08-14,8828.763671875,8831.2001953125,9049.0,8760.0,9049.0,5572,2023-08-14
2023-08-21,9070.5458984375,9073.0498046875,9460.4501953125,8743.849609375,8897.400390625,9976,2023-08-21
2023-08-28,9433.046875,9435.650390625,9513.75,9015.0,9140.0,7191,2023-08-28
2023-09-04,9530.51953125,9533.150390625,9622.2998046875,9000.0,9435.2001953125,12372,2023-09-04
2023-09-11,9193.4423828125,9194.4501953125,9630.0,9120.0,9441.0498046875,5129,2023-09-11
2023-09-18,9217.9892578125,9219.0,9425.25,9065.0,9227.099609375,3240,2023-09-18
2023-09-25,9189.0419921875,9190.0498046875,9310.0,9036.0498046875,9200.0,3132,2023-09-25
2023-10-02,9312.279296875,9313.2998046875,9511.25,9043.5498046875,9190.0498046875,5617,2023-10-02
2023-10-09,9122.7998046875,9123.7998046875,9299.849609375,9050.0,9299.849609375,3807,2023-10-09
2023-10-16,9084.7041015625,9085.7001953125,9180.0,8925.099609375,9124.0,5482,2023-10-16
2023-10-23,8856.6796875,8857.650390625,9041.4501953125,8720.9501953125,8966.0,2875,2023-10-23
2023-10-30,8619.654296875,8620.599609375,8905.2001953125,8604.0,8857.650390625,3783,2023-10-30
2023-11-06,9112.451171875,9113.4501953125,9500.0,8671.650390625,8684.0498046875,9908,2023-11-06
