Date,Adj Close_HOVS.NS,Close_HOVS.NS,High_HOVS.NS,Low_HOVS.NS,Open_HOVS.NS,Volume_HOVS.NS,Date
2021-08-30,58.25,58.25,66.5999984741211,56.0,64.44999694824219,43396,2021-08-30
2021-09-06,58.54999923706055,58.54999923706055,60.400001525878906,55.45000076293945,60.400001525878906,27500,2021-09-06
2021-09-13,65.55000305175781,65.55000305175781,65.55000305175781,55.5,58.5,52992,2021-09-13
2021-09-20,61.349998474121094,61.349998474121094,68.19999694824219,58.099998474121094,66.0,36980,2021-09-20
2021-09-27,57.79999923706055,57.79999923706055,62.95000076293945,57.0,60.0,52778,2021-09-27
2021-10-04,61.0,61.0,61.0,56.400001525878906,57.5,51268,2021-10-04
2021-10-11,56.599998474121094,56.599998474121094,63.70000076293945,56.099998474121094,60.75,93826,2021-10-11
2021-10-18,52.04999923706055,52.04999923706055,58.400001525878906,49.29999923706055,57.5,105375,2021-10-18
2021-10-25,51.75,51.75,55.400001525878906,49.599998474121094,52.099998474121094,90463,2021-10-25
2021-11-01,55.150001525878906,55.150001525878906,55.54999923706055,51.04999923706055,51.75,28440,2021-11-01
2021-11-08,52.349998474121094,52.349998474121094,57.0,51.599998474121094,57.0,53454,2021-11-08
2021-11-15,50.04999923706055,50.04999923706055,53.5,50.0,52.0,46480,2021-11-15
2021-11-22,47.75,47.75,51.75,47.25,49.25,62365,2021-11-22
2021-11-29,48.900001525878906,48.900001525878906,50.20000076293945,45.54999923706055,46.150001525878906,40140,2021-11-29
2021-12-06,56.849998474121094,56.849998474121094,59.95000076293945,47.599998474121094,49.900001525878906,303427,2021-12-06
2021-12-13,58.45000076293945,58.45000076293945,68.8499984741211,56.349998474121094,57.849998474121094,286725,2021-12-13
2021-12-20,60.900001525878906,60.900001525878906,63.599998474121094,53.599998474121094,56.099998474121094,151979,2021-12-20
2021-12-27,64.30000305175781,64.30000305175781,69.1500015258789,58.20000076293945,62.70000076293945,202682,2021-12-27
2022-01-03,64.8499984741211,64.8499984741211,66.80000305175781,60.0,66.80000305175781,168510,2022-01-03
2022-01-10,59.95000076293945,59.95000076293945,68.0,59.45000076293945,66.0,95911,2022-01-10
2022-01-17,63.04999923706055,63.04999923706055,65.3499984741211,58.099998474121094,61.150001525878906,141085,2022-01-17
2022-01-24,60.79999923706055,60.79999923706055,64.0,56.95000076293945,64.0,56332,2022-01-24
2022-01-31,58.900001525878906,58.900001525878906,63.04999923706055,58.54999923706055,62.95000076293945,60465,2022-01-31
2022-02-07,57.25,57.25,64.3499984741211,56.29999923706055,61.5,50023,2022-02-07
2022-02-14,51.54999923706055,51.54999923706055,58.25,50.0,55.849998474121094,96529,2022-02-14
2022-02-21,47.45000076293945,47.45000076293945,53.54999923706055,43.650001525878906,53.54999923706055,82967,2022-02-21
2022-02-28,48.0,48.0,49.79999923706055,45.20000076293945,47.0,26078,2022-02-28
2022-03-07,50.45000076293945,50.45000076293945,53.5,45.20000076293945,51.5,61658,2022-03-07
2022-03-14,50.150001525878906,50.150001525878906,51.75,46.79999923706055,51.75,51939,2022-03-14
2022-03-21,48.25,48.25,53.95000076293945,48.0,53.45000076293945,68002,2022-03-21
2022-03-28,48.25,48.25,51.0,43.70000076293945,47.349998474121094,99929,2022-03-28
2022-04-04,54.04999923706055,54.04999923706055,55.29999923706055,48.5,50.400001525878906,172017,2022-04-04
2022-04-11,61.20000076293945,61.20000076293945,69.4000015258789,51.0,54.349998474121094,357481,2022-04-11
2022-04-18,67.94999694824219,67.94999694824219,74.55000305175781,57.54999923706055,62.45000076293945,541081,2022-04-18
2022-04-25,68.8499984741211,68.8499984741211,74.5,61.70000076293945,68.44999694824219,693256,2022-04-25
2022-05-02,62.95000076293945,62.95000076293945,74.0,61.25,68.05000305175781,199564,2022-05-02
2022-05-09,54.54999923706055,54.54999923706055,64.0,51.45000076293945,63.0,109769,2022-05-09
2022-05-16,61.400001525878906,61.400001525878906,62.45000076293945,54.099998474121094,54.099998474121094,130614,2022-05-16
2022-05-23,49.75,49.75,63.04999923706055,49.099998474121094,61.79999923706055,168647,2022-05-23
2022-05-30,51.099998474121094,51.099998474121094,52.900001525878906,49.29999923706055,50.400001525878906,90811,2022-05-30
2022-06-06,51.45000076293945,51.45000076293945,55.900001525878906,49.20000076293945,51.0,118314,2022-06-06
2022-06-13,45.150001525878906,45.150001525878906,51.04999923706055,43.79999923706055,50.400001525878906,40644,2022-06-13
2022-06-20,47.400001525878906,47.400001525878906,50.79999923706055,41.0,46.20000076293945,28315,2022-06-20
2022-06-27,47.900001525878906,47.900001525878906,49.79999923706055,46.650001525878906,48.25,17239,2022-06-27
2022-07-04,51.79999923706055,51.79999923706055,60.29999923706055,45.75,47.900001525878906,291749,2022-07-04
2022-07-11,53.70000076293945,53.70000076293945,56.349998474121094,51.400001525878906,51.79999923706055,82021,2022-07-11
2022-07-18,54.04999923706055,54.04999923706055,54.900001525878906,52.099998474121094,52.79999923706055,34838,2022-07-18
2022-07-25,54.79999923706055,54.79999923706055,61.5,50.20000076293945,53.25,517211,2022-07-25
2022-08-01,52.599998474121094,52.599998474121094,59.79999923706055,51.79999923706055,54.099998474121094,154658,2022-08-01
2022-08-08,53.099998474121094,53.099998474121094,59.70000076293945,47.20000076293945,52.599998474121094,199611,2022-08-08
2022-08-15,57.04999923706055,57.04999923706055,58.849998474121094,52.54999923706055,53.099998474121094,223963,2022-08-15
2022-08-22,59.900001525878906,59.900001525878906,62.900001525878906,55.95000076293945,56.95000076293945,253140,2022-08-22
2022-08-29,60.0,60.0,63.0,56.650001525878906,59.0,129491,2022-08-29
2022-09-05,58.900001525878906,58.900001525878906,63.0,58.29999923706055,60.900001525878906,102324,2022-09-05
2022-09-12,60.70000076293945,60.70000076293945,65.5999984741211,58.45000076293945,58.900001525878906,203959,2022-09-12
2022-09-19,58.0,58.0,65.1500015258789,57.25,61.79999923706055,135441,2022-09-19
2022-09-26,57.04999923706055,57.04999923706055,58.5,52.20000076293945,58.0,121711,2022-09-26
2022-10-03,58.0,58.0,58.79999923706055,54.25,57.95000076293945,51511,2022-10-03
2022-10-10,53.650001525878906,53.650001525878906,58.20000076293945,53.25,58.20000076293945,48114,2022-10-10
2022-10-17,56.20000076293945,56.20000076293945,58.29999923706055,53.150001525878906,54.0,59085,2022-10-17
2022-10-24,54.099998474121094,54.099998474121094,57.5,53.099998474121094,57.25,32974,2022-10-24
2022-10-31,53.099998474121094,53.099998474121094,56.099998474121094,52.79999923706055,54.849998474121094,41920,2022-10-31
2022-11-07,55.400001525878906,55.400001525878906,57.0,52.95000076293945,54.349998474121094,66956,2022-11-07
2022-11-14,56.25,56.25,62.95000076293945,53.400001525878906,56.45000076293945,106853,2022-11-14
2022-11-21,55.5,55.5,57.54999923706055,53.0,57.25,39359,2022-11-21
2022-11-28,55.25,55.25,56.70000076293945,54.400001525878906,55.5,34688,2022-11-28
2022-12-05,53.75,53.75,56.25,53.5,56.0,47733,2022-12-05
2022-12-12,52.5,52.5,54.95000076293945,52.45000076293945,53.75,62700,2022-12-12
2022-12-19,45.70000076293945,45.70000076293945,54.20000076293945,45.0,53.150001525878906,82656,2022-12-19
2022-12-26,47.900001525878906,47.900001525878906,49.95000076293945,45.70000076293945,46.349998474121094,39747,2022-12-26
2023-01-02,49.20000076293945,49.20000076293945,53.599998474121094,47.5,47.900001525878906,58646,2023-01-02
2023-01-09,49.099998474121094,49.099998474121094,51.849998474121094,48.0,50.70000076293945,33773,2023-01-09
2023-01-16,48.099998474121094,48.099998474121094,49.79999923706055,47.0,49.79999923706055,41694,2023-01-16
2023-01-23,47.0,47.0,49.099998474121094,45.75,47.54999923706055,50895,2023-01-23
2023-01-30,45.5,45.5,48.29999923706055,45.0,47.0,28842,2023-01-30
2023-02-06,46.0,46.0,48.70000076293945,45.25,46.29999923706055,28686,2023-02-06
2023-02-13,46.099998474121094,46.099998474121094,48.29999923706055,44.150001525878906,48.0,52055,2023-02-13
2023-02-20,42.599998474121094,42.599998474121094,47.25,41.25,47.25,44310,2023-02-20
2023-02-27,42.5,42.5,44.29999923706055,40.5,43.25,89040,2023-02-27
2023-03-06,41.599998474121094,41.599998474121094,44.0,41.25,43.0,7023,2023-03-06
2023-03-13,37.099998474121094,37.099998474121094,41.5,36.54999923706055,40.900001525878906,49222,2023-03-13
2023-03-20,36.400001525878906,36.400001525878906,40.0,35.099998474121094,39.95000076293945,81969,2023-03-20
2023-03-27,41.75,41.75,45.95000076293945,29.149999618530273,36.0,1189039,2023-03-27
2023-04-03,39.29999923706055,39.29999923706055,42.400001525878906,38.849998474121094,42.400001525878906,90109,2023-04-03
2023-04-10,37.5,37.5,40.0,36.849998474121094,40.0,44178,2023-04-10
2023-04-17,35.400001525878906,35.400001525878906,38.900001525878906,34.650001525878906,37.5,73640,2023-04-17
2023-04-24,49.900001525878906,49.900001525878906,49.900001525878906,34.0,35.849998474121094,1006897,2023-04-24
2023-05-01,47.0,47.0,54.849998474121094,46.400001525878906,49.900001525878906,741655,2023-05-01
2023-05-08,44.79999923706055,44.79999923706055,49.5,44.0,48.349998474121094,77524,2023-05-08
2023-05-15,43.75,43.75,45.849998474121094,42.650001525878906,45.849998474121094,54101,2023-05-15
2023-05-22,46.95000076293945,46.95000076293945,50.900001525878906,41.54999923706055,43.150001525878906,232287,2023-05-22
2023-05-29,45.900001525878906,45.900001525878906,49.0,44.400001525878906,49.0,42055,2023-05-29
2023-06-05,48.20000076293945,48.20000076293945,53.20000076293945,45.20000076293945,46.5,306036,2023-06-05
2023-06-12,48.79999923706055,48.79999923706055,52.0,47.54999923706055,48.95000076293945,227945,2023-06-12
2023-06-19,56.45000076293945,56.45000076293945,64.5999984741211,47.650001525878906,49.0,2043031,2023-06-19
2023-06-26,50.099998474121094,50.099998474121094,56.400001525878906,49.0,56.400001525878906,257696,2023-06-26
2023-07-03,49.349998474121094,49.349998474121094,52.79999923706055,48.400001525878906,50.099998474121094,80032,2023-07-03
2023-07-10,49.400001525878906,49.400001525878906,51.70000076293945,48.04999923706055,49.349998474121094,40935,2023-07-10
2023-07-17,49.900001525878906,49.900001525878906,50.95000076293945,48.0,50.20000076293945,52010,2023-07-17
2023-07-24,50.400001525878906,50.400001525878906,52.349998474121094,48.79999923706055,49.349998474121094,56570,2023-07-24
2023-07-31,48.849998474121094,48.849998474121094,50.75,47.349998474121094,50.400001525878906,50643,2023-07-31
2023-08-07,46.849998474121094,46.849998474121094,49.650001525878906,46.04999923706055,48.400001525878906,53386,2023-08-07
