Date,Adj Close_BATAINDIA.NS,Close_BATAINDIA.NS,High_BATAINDIA.NS,Low_BATAINDIA.NS,Open_BATAINDIA.NS,Volume_BATAINDIA.NS,Date
2020-07-13,1267.1007080078125,1303.0999755859375,1314.9000244140625,1253.199951171875,1283.0,3293836,2020-07-13
2020-07-20,1254.3138427734375,1289.949951171875,1325.0,1273.75,1314.199951171875,4791914,2020-07-20
2020-07-27,1233.01904296875,1268.050048828125,1294.800048828125,1239.5,1291.0,4574908,2020-07-27
2020-08-03,1227.0592041015625,1257.9000244140625,1331.550048828125,1251.3499755859375,1258.5,7684594,2020-08-03
2020-08-10,1204.2327880859375,1234.5,1271.6500244140625,1213.800048828125,1239.949951171875,6178368,2020-08-10
2020-08-17,1274.3212890625,1306.3499755859375,1324.699951171875,1227.0,1240.0,4949672,2020-08-17
2020-08-24,1307.8779296875,1340.75,1372.0,1292.5999755859375,1317.8499755859375,5673068,2020-08-24
2020-08-31,1316.26708984375,1349.3499755859375,1390.8499755859375,1273.0,1352.699951171875,4973106,2020-08-31
2020-09-07,1233.5948486328125,1264.5999755859375,1359.5,1257.449951171875,1349.699951171875,3562084,2020-09-07
2020-09-14,1301.9761962890625,1334.699951171875,1358.0,1270.050048828125,1280.0,4607036,2020-09-14
2020-09-21,1271.0533447265625,1303.0,1369.8499755859375,1270.0,1339.25,5176701,2020-09-21
2020-09-28,1309.438720703125,1342.3499755859375,1404.449951171875,1308.800048828125,1321.0,4253706,2020-09-28
2020-10-05,1319.77880859375,1352.949951171875,1397.0,1326.75,1352.3499755859375,4003560,2020-10-05
2020-10-12,1338.8006591796875,1372.449951171875,1380.0,1331.5,1354.0,3213692,2020-10-12
2020-10-19,1318.608154296875,1351.75,1416.949951171875,1345.050048828125,1377.9000244140625,4005555,2020-10-19
2020-10-26,1279.832763671875,1312.0,1359.0999755859375,1288.5999755859375,1356.0,2633418,2020-10-26
2020-11-02,1306.9024658203125,1339.75,1359.75,1294.800048828125,1319.0,2515168,2020-11-02
2020-11-09,1322.168701171875,1355.4000244140625,1388.75,1309.0,1350.0,4914834,2020-11-09
2020-11-16,1440.6898193359375,1476.9000244140625,1515.0,1348.4000244140625,1354.199951171875,6870476,2020-11-16
2020-11-23,1534.3360595703125,1572.9000244140625,1583.9000244140625,1460.550048828125,1495.0,5543932,2020-11-23
2020-11-30,1525.508056640625,1563.8499755859375,1578.949951171875,1525.0,1572.9000244140625,2820516,2020-11-30
2020-12-07,1521.020751953125,1559.25,1587.8499755859375,1543.5999755859375,1570.0,2440017,2020-12-07
2020-12-14,1545.0177001953125,1583.8499755859375,1645.0,1552.0,1559.25,5105202,2020-12-14
2020-12-21,1529.409912109375,1567.8499755859375,1591.6500244140625,1462.0,1580.0,2282025,2020-12-21
2020-12-28,1535.3116455078125,1573.9000244140625,1617.0,1570.0,1570.1500244140625,2205303,2020-12-28
2021-01-04,1608.716552734375,1649.1500244140625,1681.949951171875,1566.0,1585.0,6224782,2021-01-04
2021-01-11,1567.60009765625,1607.0,1671.0,1586.449951171875,1657.0,3611425,2021-01-11
2021-01-18,1529.409912109375,1567.8499755859375,1650.0,1548.5,1601.0,3461250,2021-01-18
2021-01-25,1464.4915771484375,1501.300048828125,1595.300048828125,1495.0,1595.300048828125,2084283,2021-01-25
2021-02-01,1510.2415771484375,1548.199951171875,1602.0,1477.0,1511.9000244140625,2798786,2021-02-01
2021-02-08,1490.0003662109375,1527.449951171875,1602.5999755859375,1461.0999755859375,1555.0999755859375,7812727,2021-02-08
2021-02-15,1462.248046875,1499.0,1564.0,1487.550048828125,1535.0,3311784,2021-02-15
2021-02-22,1402.938720703125,1438.199951171875,1506.5999755859375,1434.1500244140625,1500.0,2849301,2021-02-22
2021-03-01,1489.90283203125,1527.3499755859375,1546.0,1444.0,1450.0,2810828,2021-03-01
2021-03-08,1468.78369140625,1505.699951171875,1542.5,1495.550048828125,1529.5,2120690,2021-03-08
2021-03-15,1453.2734375,1489.800048828125,1527.9000244140625,1430.0999755859375,1505.699951171875,2655339,2021-03-15
