Date,Adj Close_NIITLTD.NS,Close_NIITLTD.NS,High_NIITLTD.NS,Low_NIITLTD.NS,Open_NIITLTD.NS,Volume_NIITLTD.NS,Date
2020-07-13,90.96359252929688,94.75,102.4000015258789,94.4000015258789,97.0999984741211,4039806,2020-07-13
2020-07-20,91.10760498046875,94.9000015258789,96.5,92.80000305175781,94.3499984741211,2096816,2020-07-20
2020-07-27,92.88367462158203,96.75,102.0,92.0,94.30000305175781,10007387,2020-07-27
2020-08-03,95.13975524902344,99.0999984741211,102.0,93.0999984741211,96.75,6994293,2020-08-03
2020-08-10,97.77986907958984,101.8499984741211,103.4000015258789,94.5,99.0,7515854,2020-08-10
2020-08-17,120.96479034423828,126.0,128.39999389648438,97.75,103.5,17217430,2020-08-17
2020-08-24,122.59684753417969,127.69999694824219,141.39999389648438,123.3499984741211,127.0,22132189,2020-08-24
2020-08-31,117.74866485595703,122.6500015258789,131.5,115.05000305175781,128.89999389648438,3487803,2020-08-31
2020-09-07,128.40673828125,131.5,133.85000610351562,117.25,124.4000015258789,3345918,2020-09-07
2020-09-14,133.826171875,137.0500030517578,147.89999389648438,135.0,136.10000610351562,6801945,2020-09-14
2020-09-21,124.64728546142578,127.6500015258789,142.75,121.80000305175781,138.3000030517578,5649851,2020-09-21
2020-09-28,128.6508331298828,131.75,136.5,127.3499984741211,129.0,3756628,2020-09-28
2020-10-05,128.60202026367188,131.6999969482422,142.39999389648438,131.14999389648438,132.9499969482422,4896731,2020-10-05
2020-10-12,129.96910095214844,133.10000610351562,136.6999969482422,127.0,131.5,3391953,2020-10-12
2020-10-19,134.1679229736328,137.39999389648438,139.64999389648438,129.25,134.1999969482422,2672594,2020-10-19
2020-10-26,136.60911560058594,139.89999389648438,145.64999389648438,130.60000610351562,138.3000030517578,5109777,2020-10-26
2020-11-02,129.77378845214844,132.89999389648438,141.6999969482422,131.10000610351562,137.14999389648438,1780411,2020-11-02
2020-11-09,146.9109649658203,150.4499969482422,157.8000030517578,130.25,135.0,6753413,2020-11-09
2020-11-16,170.7858123779297,174.89999389648438,177.9499969482422,145.35000610351562,150.4499969482422,9378476,2020-11-16
2020-11-23,172.4458465576172,176.60000610351562,197.5500030517578,168.10000610351562,175.1999969482422,7872219,2020-11-23
2020-11-30,166.2451934814453,170.25,178.1999969482422,167.14999389648438,176.60000610351562,2297703,2020-11-30
2020-12-07,177.5723419189453,181.85000610351562,185.8000030517578,169.10000610351562,170.0,6924442,2020-12-07
2020-12-14,176.4493865966797,180.6999969482422,186.64999389648438,174.10000610351562,181.0,5557649,2020-12-14
2020-12-21,195.73480224609375,200.4499969482422,205.0,165.6999969482422,178.10000610351562,14694204,2020-12-21
2020-12-28,197.2483367919922,202.0,210.0,198.6999969482422,209.10000610351562,7687695,2020-12-28
2021-01-04,201.30072021484375,206.14999389648438,210.6999969482422,200.25,202.9499969482422,4338759,2021-01-04
2021-01-11,195.00244140625,199.6999969482422,208.35000610351562,198.5500030517578,207.39999389648438,2538638,2021-01-11
2021-01-18,184.31004333496094,188.75,203.60000610351562,187.0,200.14999389648438,2416634,2021-01-18
2021-01-25,183.1870880126953,187.60000610351562,199.5,183.14999389648438,189.0,2716689,2021-01-25
2021-02-01,191.14537048339844,195.75,202.0,186.0,188.14999389648438,2592131,2021-02-01
2021-02-08,188.26475524902344,192.8000030517578,197.75,190.10000610351562,196.0,1434150,2021-02-08
2021-02-15,196.32070922851562,201.0500030517578,204.89999389648438,194.85000610351562,197.5,2727184,2021-02-15
