Date,Adj Close_AGARWALEYE.NS,Close_AGARWALEYE.NS,High_AGARWALEYE.NS,Low_AGARWALEYE.NS,Open_AGARWALEYE.NS,Volume_AGARWALEYE.NS,Date
2025-02-03,402.04998779296875,402.04998779296875,425.5,365.70001220703125,402.0,27473626,2025-02-03
2025-02-10,439.0,439.0,464.0,385.3500061035156,397.5,14119269,2025-02-10
2025-02-17,412.6000061035156,412.6000061035156,443.3500061035156,405.1499938964844,430.0,3987116,2025-02-17
2025-02-24,401.0,401.0,414.1499938964844,391.04998779296875,412.0,4088572,2025-02-24
2025-03-03,405.8500061035156,405.8500061035156,419.95001220703125,376.54998779296875,380.04998779296875,3406904,2025-03-03
2025-03-10,422.95001220703125,422.95001220703125,434.6499938964844,403.1000061035156,405.8500061035156,1884119,2025-03-10
2025-03-17,444.8999938964844,444.8999938964844,457.0,392.6000061035156,417.3500061035156,2107320,2025-03-17
2025-03-24,445.8500061035156,445.8500061035156,463.04998779296875,427.04998779296875,442.1499938964844,1600184,2025-03-24
2025-03-31,434.1000061035156,434.1000061035156,460.0,419.8500061035156,445.8500061035156,814192,2025-03-31
2025-04-07,415.20001220703125,415.20001220703125,437.3999938964844,361.1000061035156,361.1000061035156,853401,2025-04-07
2025-04-14,402.54998779296875,402.54998779296875,420.45001220703125,394.54998779296875,415.20001220703125,691763,2025-04-14
2025-04-21,386.5,386.5,408.25,381.3999938964844,404.6499938964844,1306232,2025-04-21
2025-04-28,354.79998779296875,354.79998779296875,387.29998779296875,351.3999938964844,384.95001220703125,1021776,2025-04-28
2025-05-05,355.6000061035156,355.6000061035156,371.70001220703125,330.0,350.54998779296875,3144336,2025-05-05
2025-05-12,397.75,397.75,401.04998779296875,360.0,360.0,1833677,2025-05-12
2025-05-19,389.45001220703125,389.45001220703125,407.0,385.6499938964844,397.1499938964844,1327066,2025-05-19
2025-05-26,338.5,338.5,394.6000061035156,327.0,389.3999938964844,5493683,2025-05-26
2025-06-02,367.8999938964844,367.8999938964844,370.45001220703125,328.75,331.5,3159208,2025-06-02
2025-06-09,375.25,375.25,379.95001220703125,360.6000061035156,371.54998779296875,2471965,2025-06-09
2025-06-16,403.29998779296875,403.29998779296875,413.3500061035156,371.5,371.5,2236324,2025-06-16
2025-06-23,397.70001220703125,397.70001220703125,410.0,385.3500061035156,396.0,1366116,2025-06-23
2025-06-30,416.6499938964844,416.6499938964844,424.5,391.1499938964844,400.5,2502560,2025-06-30
2025-07-07,427.25,427.25,442.6000061035156,410.04998779296875,413.0,1416092,2025-07-07
2025-07-14,432.29998779296875,432.29998779296875,440.0,422.6499938964844,423.0,344274,2025-07-14
