Date,Adj Close_NIBE.NS,Close_NIBE.NS,High_NIBE.NS,Low_NIBE.NS,Open_NIBE.NS,Volume_NIBE.NS,Date
2025-02-03,1592.9000244140625,1592.9000244140625,1660.0,1570.050048828125,1660.0,66988,2025-02-03
2025-02-10,1209.4000244140625,1209.4000244140625,1606.25,1160.0,1600.0,431683,2025-02-10
2025-02-17,1041.6500244140625,1041.6500244140625,1209.4000244140625,1008.0,1209.4000244140625,230978,2025-02-17
2025-02-24,984.8499755859375,984.8499755859375,1094.800048828125,980.75,1001.2999877929688,135851,2025-02-24
2025-03-03,981.0499877929688,981.0499877929688,1010.0,891.2000122070312,985.0,326863,2025-03-03
2025-03-10,843.4500122070312,843.4500122070312,1024.300048828125,843.4500122070312,994.0,185678,2025-03-10
2025-03-17,889.1500244140625,889.1500244140625,889.1500244140625,761.5,821.0,233399,2025-03-17
2025-03-24,1041.3499755859375,1041.3499755859375,1080.699951171875,913.2999877929688,933.5999755859375,398454,2025-03-24
2025-03-31,1256.550048828125,1256.550048828125,1257.800048828125,1026.050048828125,1041.3499755859375,372654,2025-03-31
2025-04-07,1219.5,1219.5,1253.4000244140625,1114.0,1193.75,209173,2025-04-07
2025-04-14,1398.0,1398.0,1411.5999755859375,1280.4000244140625,1280.4000244140625,207643,2025-04-14
2025-04-21,1422.800048828125,1422.800048828125,1589.699951171875,1415.4000244140625,1428.0,668825,2025-04-21
2025-04-28,1350.0,1350.0,1419.699951171875,1272.0,1390.0,211266,2025-04-28
2025-05-05,1336.0,1336.0,1400.0,1221.0999755859375,1398.0,183576,2025-05-05
2025-05-12,1518.199951171875,1518.199951171875,1589.199951171875,1402.800048828125,1402.800048828125,546629,2025-05-12
2025-05-19,1523.5999755859375,1523.5999755859375,1720.0,1475.5999755859375,1549.5,627518,2025-05-19
2025-05-26,1759.0999755859375,1759.0999755859375,1851.5999755859375,1599.699951171875,1599.699951171875,1132981,2025-05-26
2025-06-02,1676.5999755859375,1676.5999755859375,1757.5999755859375,1605.0,1710.0999755859375,722573,2025-06-02
2025-06-09,1889.800048828125,1889.800048828125,2001.0,1675.0,1695.0999755859375,2759566,2025-06-09
2025-06-16,1703.0,1703.0,1905.5,1666.5999755859375,1875.0,658581,2025-06-16
2025-06-23,1684.0999755859375,1684.0999755859375,1758.0,1665.0,1693.0,362631,2025-06-23
2025-06-30,1674.9000244140625,1674.9000244140625,1703.4000244140625,1650.5999755859375,1687.800048828125,192883,2025-06-30
2025-07-07,1592.0999755859375,1592.0999755859375,1698.0,1570.0999755859375,1698.0,145715,2025-07-07
2025-07-14,1631.199951171875,1631.199951171875,1650.0999755859375,1601.4000244140625,1640.0999755859375,46086,2025-07-14
