Date,Adj Close_NIITMTS.NS,Close_NIITMTS.NS,High_NIITMTS.NS,Low_NIITMTS.NS,Open_NIITMTS.NS,Volume_NIITMTS.NS,Date
2023-08-07,369.9649353027344,374.45001220703125,384.29998779296875,349.70001220703125,366.0,4744792,2023-08-07
2023-08-14,355.2928161621094,359.6000061035156,374.45001220703125,351.0,374.45001220703125,588172,2023-08-14
2023-08-21,365.37060546875,369.79998779296875,397.0,355.25,359.6000061035156,950101,2023-08-21
2023-08-28,381.91998291015625,386.54998779296875,399.0,364.20001220703125,369.79998779296875,1107659,2023-08-28
2023-09-04,392.689453125,397.45001220703125,413.5,380.8999938964844,390.8500061035156,1169120,2023-09-04
2023-09-11,429.04864501953125,434.25,514.0,362.25,403.0,3244988,2023-09-11
2023-09-18,392.4918212890625,397.25,444.95001220703125,395.0,434.0,782840,2023-09-18
2023-09-25,416.8465576171875,421.8999938964844,445.95001220703125,393.5,393.5,1097425,2023-09-25
2023-10-02,433.2971496582031,438.54998779296875,443.75,408.3999938964844,428.0,612534,2023-10-02
2023-10-09,410.7208251953125,415.70001220703125,435.0,411.6499938964844,433.04998779296875,738113,2023-10-09
2023-10-16,400.0502014160156,404.8999938964844,422.0,387.04998779296875,422.0,962383,2023-10-16
2023-10-23,374.65802001953125,379.20001220703125,408.8999938964844,342.29998779296875,408.8999938964844,1139928,2023-10-23
2023-10-30,382.4634094238281,387.1000061035156,400.5,377.1000061035156,399.0,1074866,2023-10-30
2023-11-06,377.57269287109375,382.1499938964844,395.0,369.29998779296875,394.95001220703125,819637,2023-11-06
2023-11-13,398.88616943359375,401.04998779296875,405.79998779296875,369.0,386.0,573946,2023-11-13
2023-11-20,392.5704650878906,394.70001220703125,404.8999938964844,386.0,403.95001220703125,594379,2023-11-20
2023-11-27,390.7304382324219,392.8500061035156,415.8999938964844,387.6000061035156,401.75,682460,2023-11-27
2023-12-04,395.0072326660156,397.1499938964844,403.8999938964844,378.0,402.0,921485,2023-12-04
2023-12-11,423.60211181640625,425.8999938964844,430.0,388.54998779296875,395.54998779296875,1717749,2023-12-11
2023-12-18,433.1006164550781,435.45001220703125,440.70001220703125,400.1000061035156,427.5,1214194,2023-12-18
2023-12-25,435.885498046875,438.25,447.5,425.70001220703125,445.0,495468,2023-12-25
2024-01-01,446.7266845703125,449.1499938964844,466.20001220703125,429.29998779296875,434.8999938964844,1457325,2024-01-01
2024-01-08,467.2155456542969,469.75,480.0,427.0,452.45001220703125,1483662,2024-01-08
2024-01-15,432.1059875488281,434.45001220703125,478.54998779296875,421.0,475.0,846509,2024-01-15
2024-01-22,423.0550842285156,425.3500061035156,436.1000061035156,418.1000061035156,431.25,388869,2024-01-22
2024-01-29,442.7482604980469,445.1499938964844,480.0,419.0,426.0,1825043,2024-01-29
2024-02-05,474.5755920410156,477.1499938964844,495.0,429.04998779296875,445.1000061035156,1171520,2024-02-05
2024-02-12,478.6534729003906,481.25,505.25,447.6000061035156,479.45001220703125,1094132,2024-02-12
2024-02-19,529.32861328125,532.2000122070312,554.9500122070312,476.75,483.6499938964844,2448501,2024-02-19
