Date,Adj Close_JINDALSAW.NS,Close_JINDALSAW.NS,High_JINDALSAW.NS,Low_JINDALSAW.NS,Open_JINDALSAW.NS,Volume_JINDALSAW.NS,Date
2021-04-19,34.13146209716797,36.275001525878906,37.45000076293945,35.82500076293945,37.45000076293945,7222154,2021-04-19
2021-04-26,40.24737548828125,42.775001525878906,43.82500076293945,36.5,36.5,47914772,2021-04-26
2021-05-03,43.46998596191406,46.20000076293945,48.5,42.25,42.45000076293945,82315722,2021-05-03
2021-05-10,40.576683044433594,43.125,48.5,42.599998474121094,46.900001525878906,33102722,2021-05-10
2021-05-17,41.941009521484375,44.57500076293945,45.349998474121094,42.775001525878906,43.45000076293945,20159836,2021-05-17
2021-05-24,46.76316452026367,49.70000076293945,51.5,45.0,45.25,67033116,2021-05-24
2021-05-31,52.596797943115234,55.900001525878906,57.650001525878906,50.25,51.0,106385056,2021-05-31
2021-06-07,53.86702346801758,57.25,59.75,54.0,56.400001525878906,47330496,2021-06-07
2021-06-14,48.127479553222656,51.150001525878906,57.724998474121094,50.70000076293945,57.150001525878906,37013430,2021-06-14
2021-06-21,50.338619232177734,53.5,54.900001525878906,49.775001525878906,50.5,24779326,2021-06-21
2021-06-28,57.560089111328125,61.17499923706055,63.20000076293945,53.650001525878906,53.92499923706055,79576264,2021-06-28
2021-07-05,58.924407958984375,62.625,63.349998474121094,58.25,61.5,39204172,2021-07-05
2021-07-12,61.71980667114258,64.5250015258789,65.94999694824219,61.54999923706055,63.20000076293945,33848858,2021-07-12
2021-07-19,61.8632926940918,64.67500305175781,67.3499984741211,59.57500076293945,63.70000076293945,34292254,2021-07-19
2021-07-26,66.5263442993164,69.55000305175781,73.80000305175781,64.67500305175781,64.82499694824219,71708218,2021-07-26
2021-08-02,65.85678100585938,68.8499984741211,72.4000015258789,66.82499694824219,69.0999984741211,31193170,2021-08-02
2021-08-09,61.81545639038086,64.625,69.3499984741211,58.25,69.25,34794710,2021-08-09
2021-08-16,58.1806640625,60.82500076293945,64.92500305175781,57.849998474121094,64.5,19273794,2021-08-16
2021-08-23,57.36761474609375,59.974998474121094,63.875,58.29999923706055,61.474998474121094,19985786,2021-08-23
2021-08-30,58.53935623168945,61.20000076293945,62.29999923706055,58.45000076293945,60.5,14559458,2021-08-30
2021-09-06,57.10457229614258,59.70000076293945,61.82500076293945,58.849998474121094,61.525001525878906,9008492,2021-09-06
2021-09-13,58.826316833496094,61.5,62.349998474121094,58.75,59.70000076293945,16070012,2021-09-13
2021-09-20,54.545867919921875,57.025001525878906,60.75,55.5,60.224998474121094,13597640,2021-09-20
2021-09-27,54.30673599243164,56.775001525878906,57.650001525878906,55.224998474121094,57.29999923706055,11174582,2021-09-27
2021-10-04,55.31108856201172,57.82500076293945,60.75,57.0,57.07500076293945,17124198,2021-10-04
2021-10-11,58.27631378173828,60.92499923706055,62.32500076293945,57.599998474121094,58.20000076293945,18650712,2021-10-11
2021-10-18,54.2349967956543,56.70000076293945,64.0,56.07500076293945,61.474998474121094,16590462,2021-10-18
2021-10-25,55.478477478027344,58.0,60.45000076293945,54.625,57.07500076293945,16914966,2021-10-25
2021-11-01,54.211082458496094,56.67499923706055,58.349998474121094,56.025001525878906,57.75,4957674,2021-11-01
2021-11-08,52.27412033081055,54.650001525878906,57.04999923706055,54.400001525878906,57.0,8194462,2021-11-08
2021-11-15,49.978458404541016,52.25,54.974998474121094,52.0,54.95000076293945,6037946,2021-11-15
2021-11-22,48.35236358642578,50.54999923706055,54.54999923706055,48.79999923706055,52.54999923706055,10718732,2021-11-22
2021-11-29,49.691497802734375,51.95000076293945,52.900001525878906,48.17499923706055,50.650001525878906,7892300,2021-11-29
2021-12-06,50.48063659667969,52.775001525878906,55.25,52.0,52.0,12592952,2021-12-06
2021-12-13,46.630619049072266,48.75,54.0,48.29999923706055,53.29999923706055,11132702,2021-12-13
2021-12-20,48.663230895996094,50.875,52.224998474121094,46.75,48.45000076293945,14831084,2021-12-20
2021-12-27,47.27627182006836,49.42499923706055,51.25,48.79999923706055,50.79999923706055,6312984,2021-12-27
