Date,Adj Close_PARKHOTELS.NS,Close_PARKHOTELS.NS,High_PARKHOTELS.NS,Low_PARKHOTELS.NS,Open_PARKHOTELS.NS,Volume_PARKHOTELS.NS,Date
2024-02-12,193.9499969482422,193.9499969482422,223.1999969482422,171.25,186.0,76324083,2024-02-12
2024-02-19,222.60000610351562,222.60000610351562,235.0,187.25,194.0500030517578,19705924,2024-02-19
2024-02-26,217.9499969482422,217.9499969482422,229.6999969482422,208.25,224.39999389648438,8962032,2024-02-26
2024-03-04,201.89999389648438,201.89999389648438,225.89999389648438,196.0,221.10000610351562,7188853,2024-03-04
2024-03-11,190.64999389648438,190.64999389648438,202.39999389648438,167.8000030517578,201.89999389648438,8387166,2024-03-11
2024-03-18,198.25,198.25,203.6999969482422,181.14999389648438,190.89999389648438,2656799,2024-03-18
2024-03-25,190.3000030517578,190.3000030517578,199.85000610351562,188.5,198.89999389648438,1476197,2024-03-25
2024-04-01,202.9499969482422,202.9499969482422,209.5,191.0,192.39999389648438,3422971,2024-04-01
2024-04-08,201.85000610351562,201.85000610351562,211.75,200.0,204.0,2082219,2024-04-08
2024-04-15,199.60000610351562,199.60000610351562,205.89999389648438,193.5500030517578,197.85000610351562,2523376,2024-04-15
2024-04-22,196.5,196.5,209.39999389648438,194.5,202.60000610351562,1720787,2024-04-22
2024-04-29,192.10000610351562,192.10000610351562,201.0,191.10000610351562,200.6999969482422,1270391,2024-04-29
2024-05-06,182.1999969482422,182.1999969482422,195.0,178.10000610351562,192.89999389648438,2569139,2024-05-06
2024-05-13,184.10000610351562,184.10000610351562,186.75,175.0,184.39999389648438,3536530,2024-05-13
2024-05-20,180.0500030517578,180.0500030517578,192.39999389648438,179.0,184.10000610351562,1861318,2024-05-20
2024-05-27,167.8000030517578,167.8000030517578,184.89999389648438,167.10000610351562,180.89999389648438,2250268,2024-05-27
2024-06-03,170.5500030517578,170.5500030517578,176.0,146.5,175.5500030517578,2228267,2024-06-03
2024-06-10,172.58999633789062,172.58999633789062,180.0,168.99000549316406,176.6999969482422,2398913,2024-06-10
2024-06-17,189.72000122070312,189.72000122070312,195.0,172.58999633789062,172.58999633789062,3044342,2024-06-17
2024-06-24,180.0500030517578,180.0500030517578,194.02000427246094,176.00999450683594,190.9600067138672,1213237,2024-06-24
2024-07-01,195.13999938964844,195.13999938964844,197.85000610351562,176.35000610351562,182.75,4226525,2024-07-01
2024-07-08,193.30999755859375,193.30999755859375,204.3000030517578,187.14999389648438,194.8000030517578,7154311,2024-07-08
2024-07-15,178.5399932861328,178.5399932861328,193.97999572753906,177.57000732421875,193.97999572753906,1264380,2024-07-15
2024-07-22,189.8000030517578,189.8000030517578,194.9499969482422,178.0,178.5399932861328,1538068,2024-07-22
2024-07-29,187.19000244140625,187.19000244140625,194.5,183.0,190.0500030517578,2403812,2024-07-29
2024-08-05,180.27000427246094,180.27000427246094,184.89999389648438,176.94000244140625,182.1999969482422,1714133,2024-08-05
2024-08-12,174.10000610351562,174.10000610351562,186.38999938964844,172.72000122070312,179.5,812479,2024-08-12
