Date,Adj Close_VPRPL.NS,Close_VPRPL.NS,High_VPRPL.NS,Low_VPRPL.NS,Open_VPRPL.NS,Volume_VPRPL.NS,Date
2023-09-04,172.75,172.75,175.85000610351562,144.0,165.0,80296249,2023-09-04
2023-09-11,174.60000610351562,174.60000610351562,187.5,150.64999389648438,174.3000030517578,24870956,2023-09-11
2023-09-18,171.4499969482422,171.4499969482422,182.0,167.0,178.0,8450982,2023-09-18
2023-09-25,172.5,172.5,189.1999969482422,168.25,172.9499969482422,20931288,2023-09-25
2023-10-02,173.4499969482422,173.4499969482422,176.14999389648438,162.10000610351562,172.5,7408339,2023-10-02
2023-10-09,210.1999969482422,210.1999969482422,213.0500030517578,166.75,170.9499969482422,29181714,2023-10-09
2023-10-16,194.10000610351562,194.10000610351562,212.0,192.0,210.9499969482422,8712814,2023-10-16
2023-10-23,198.14999389648438,198.14999389648438,202.3000030517578,171.60000610351562,194.64999389648438,9738383,2023-10-23
2023-10-30,192.8000030517578,192.8000030517578,199.60000610351562,185.25,199.0,5484096,2023-10-30
2023-11-06,191.10000610351562,191.10000610351562,210.9499969482422,189.8000030517578,196.0,11279140,2023-11-06
2023-11-13,216.64999389648438,216.64999389648438,228.8000030517578,192.25,198.0,18585876,2023-11-13
2023-11-20,215.64999389648438,215.64999389648438,223.0500030517578,207.4499969482422,217.5,8018343,2023-11-20
2023-11-27,204.8000030517578,204.8000030517578,217.60000610351562,201.3000030517578,215.64999389648438,5623797,2023-11-27
2023-12-04,203.0,203.0,209.85000610351562,199.0,209.0500030517578,5286711,2023-12-04
2023-12-11,217.39999389648438,217.39999389648438,228.85000610351562,201.64999389648438,203.5,15656535,2023-12-11
2023-12-18,204.39999389648438,204.39999389648438,221.3000030517578,197.14999389648438,217.6999969482422,7174937,2023-12-18
2023-12-25,215.9499969482422,215.9499969482422,242.0,202.5,204.39999389648438,21906277,2023-12-25
2024-01-01,219.1999969482422,219.1999969482422,223.10000610351562,211.25,217.6999969482422,6844723,2024-01-01
2024-01-08,216.0500030517578,216.0500030517578,219.4499969482422,213.0500030517578,219.1999969482422,4616751,2024-01-08
