Date,Adj Close_GREENPLY.NS,Close_GREENPLY.NS,High_GREENPLY.NS,Low_GREENPLY.NS,Open_GREENPLY.NS,Volume_GREENPLY.NS,Date
2020-07-13,85.27169036865234,86.44999694824219,89.44999694824219,84.05000305175781,88.0,274032,2020-07-13
2020-07-20,84.33464050292969,85.5,87.94999694824219,84.75,87.19999694824219,403639,2020-07-20
2020-07-27,84.67987823486328,85.8499984741211,87.69999694824219,84.0999984741211,86.44999694824219,459361,2020-07-27
2020-08-03,81.62213134765625,82.75,86.25,80.1500015258789,86.0,638446,2020-08-03
2020-08-10,86.65262603759766,87.8499984741211,95.5,82.69999694824219,82.75,1905994,2020-08-10
2020-08-17,95.23403930664062,96.55000305175781,100.4000015258789,85.0,87.8499984741211,5402379,2020-08-17
2020-08-24,93.35993957519531,94.6500015258789,101.80000305175781,93.1500015258789,97.9000015258789,4145261,2020-08-24
2020-08-31,88.90123748779297,89.75,95.9000015258789,87.80000305175781,95.5,1074005,2020-08-31
2020-09-07,85.83055114746094,86.6500015258789,90.44999694824219,84.1500015258789,88.4000015258789,550669,2020-09-07
2020-09-14,90.78327178955078,91.6500015258789,98.0,86.0,86.0,3804163,2020-09-14
2020-09-21,84.09710693359375,84.9000015258789,92.69999694824219,82.0,92.0,758363,2020-09-21
2020-09-28,83.65135955810547,84.44999694824219,87.5,83.25,86.19999694824219,294078,2020-09-28
2020-10-05,83.00751495361328,83.80000305175781,86.94999694824219,83.4000015258789,85.44999694824219,503010,2020-10-05
2020-10-12,80.82831573486328,81.5999984741211,84.69999694824219,80.0,84.30000305175781,333319,2020-10-12
2020-10-19,85.97914123535156,86.80000305175781,89.9000015258789,73.5,83.5,9711761,2020-10-19
2020-10-26,79.8377685546875,80.5999984741211,87.5,79.5,87.5,1333062,2020-10-26
2020-11-02,87.36589813232422,88.19999694824219,89.55000305175781,77.75,81.5999984741211,3761797,2020-11-02
2020-11-09,98.16281127929688,99.0999984741211,101.80000305175781,87.94999694824219,90.0,3836102,2020-11-09
2020-11-16,98.45997619628906,99.4000015258789,106.9000015258789,97.75,100.1500015258789,5183516,2020-11-16
2020-11-23,103.95748901367188,104.94999694824219,108.69999694824219,99.9000015258789,100.0,2961945,2020-11-23
2020-11-30,119.55853271484375,120.69999694824219,125.6500015258789,104.94999694824219,104.94999694824219,6348107,2020-11-30
2020-12-07,112.72380828857422,113.80000305175781,125.3499984741211,109.5,121.5,3433733,2020-12-07
2020-12-14,113.96197509765625,115.05000305175781,117.9000015258789,110.55000305175781,114.8499984741211,3034444,2020-12-14
