Date,Adj Close_NITCO.NS,Close_NITCO.NS,High_NITCO.NS,Low_NITCO.NS,Open_NITCO.NS,Volume_NITCO.NS,Date
2020-07-13,17.700000762939453,17.700000762939453,18.549999237060547,17.100000381469727,17.700000762939453,87994,2020-07-13
2020-07-20,17.049999237060547,17.049999237060547,18.350000381469727,16.600000381469727,17.700000762939453,164756,2020-07-20
2020-07-27,16.149999618530273,16.149999618530273,17.399999618530273,16.0,17.399999618530273,166719,2020-07-27
2020-08-03,16.5,16.5,16.600000381469727,15.699999809265137,16.0,160020,2020-08-03
2020-08-10,22.100000381469727,22.100000381469727,22.100000381469727,16.200000762939453,17.149999618530273,1284713,2020-08-10
2020-08-17,20.850000381469727,20.850000381469727,23.200000762939453,19.799999237060547,23.200000762939453,1056094,2020-08-17
2020-08-24,20.299999237060547,20.299999237060547,21.450000762939453,20.0,21.450000762939453,287413,2020-08-24
2020-08-31,18.700000762939453,18.700000762939453,20.5,17.850000381469727,20.049999237060547,187176,2020-08-31
2020-09-07,19.0,19.0,19.0,17.25,18.799999237060547,135268,2020-09-07
2020-09-14,18.649999618530273,18.649999618530273,20.299999237060547,18.600000381469727,19.700000762939453,272055,2020-09-14
2020-09-21,17.25,17.25,18.899999618530273,16.850000381469727,18.899999618530273,143127,2020-09-21
2020-09-28,16.75,16.75,17.799999237060547,16.450000762939453,17.600000381469727,149442,2020-09-28
2020-10-05,17.799999237060547,17.799999237060547,18.950000762939453,16.5,17.399999618530273,282643,2020-10-05
2020-10-12,17.100000381469727,17.100000381469727,19.200000762939453,17.0,17.799999237060547,300235,2020-10-12
2020-10-19,18.049999237060547,18.049999237060547,18.899999618530273,17.0,17.75,203497,2020-10-19
2020-10-26,17.5,17.5,18.850000381469727,17.0,18.049999237060547,155074,2020-10-26
2020-11-02,17.049999237060547,17.049999237060547,17.850000381469727,16.600000381469727,17.75,181570,2020-11-02
2020-11-09,17.399999618530273,17.399999618530273,17.799999237060547,15.600000381469727,17.649999618530273,232456,2020-11-09
2020-11-16,17.950000762939453,17.950000762939453,19.0,17.25,17.25,378382,2020-11-16
2020-11-23,19.899999618530273,19.899999618530273,20.899999618530273,17.950000762939453,18.25,1008144,2020-11-23
2020-11-30,26.25,26.25,26.25,19.649999618530273,19.899999618530273,1088958,2020-11-30
2020-12-07,24.899999618530273,24.899999618530273,28.899999618530273,24.149999618530273,27.549999237060547,752979,2020-12-07
2020-12-14,25.350000381469727,25.350000381469727,26.5,24.200000762939453,24.899999618530273,437998,2020-12-14
2020-12-21,25.399999618530273,25.399999618530273,25.850000381469727,22.899999618530273,25.850000381469727,225682,2020-12-21
2020-12-28,26.149999618530273,26.149999618530273,26.25,24.350000381469727,25.399999618530273,362380,2020-12-28
2021-01-04,28.200000762939453,28.200000762939453,28.200000762939453,25.25,26.149999618530273,503794,2021-01-04
2021-01-11,25.350000381469727,25.350000381469727,29.299999237060547,25.100000381469727,28.799999237060547,416858,2021-01-11
2021-01-18,23.649999618530273,23.649999618530273,25.200000762939453,23.549999237060547,25.0,250307,2021-01-18
