Date,Adj Close_ATGL.NS,Close_ATGL.NS,High_ATGL.NS,Low_ATGL.NS,Open_ATGL.NS,Volume_ATGL.NS,Date
2020-07-13,148.2564239501953,148.4499969482422,153.75,143.3000030517578,150.4499969482422,2705202,2020-07-13
2020-07-20,147.5074005126953,147.6999969482422,156.3000030517578,145.6999969482422,148.4499969482422,5568180,2020-07-20
2020-07-27,153.5495147705078,153.75,160.89999389648438,143.10000610351562,149.5,9759546,2020-07-27
2020-08-03,161.8386993408203,162.0500030517578,163.5,151.5,153.10000610351562,10721281,2020-08-03
2020-08-10,157.9437713623047,158.14999389648438,168.0,155.3000030517578,163.0,6887667,2020-08-10
2020-08-17,165.2342529296875,165.4499969482422,171.0,158.64999389648438,158.89999389648438,11007145,2020-08-17
2020-08-24,186.3067626953125,186.5500030517578,196.5,166.0,167.0,21362326,2020-08-24
2020-08-31,187.65499877929688,187.89999389648438,200.85000610351562,168.10000610351562,187.0,21857225,2020-08-31
2020-09-07,207.07965087890625,207.35000610351562,210.89999389648438,186.35000610351562,189.9499969482422,21705624,2020-09-07
2020-09-14,193.04795837402344,193.3000030517578,215.0,192.0,209.75,14513401,2020-09-14
2020-09-21,183.5104217529297,183.75,196.6999969482422,174.25,194.60000610351562,9455206,2020-09-21
2020-09-28,193.09786987304688,193.35000610351562,194.64999389648438,184.39999389648438,186.0,4370799,2020-09-28
2020-10-05,188.35409545898438,188.60000610351562,203.3000030517578,188.0,195.0,7341186,2020-10-05
2020-10-12,184.4092254638672,184.64999389648438,195.5,180.25,189.5,5574770,2020-10-12
2020-10-19,196.09397888183594,196.35000610351562,198.1999969482422,182.35000610351562,186.5,6090178,2020-10-19
2020-10-26,220.2124786376953,220.5,224.0,190.10000610351562,197.4499969482422,13203526,2020-10-26
2020-11-02,239.5372772216797,239.85000610351562,242.6999969482422,212.0,221.39999389648438,20637585,2020-11-02
2020-11-09,244.3809356689453,244.6999969482422,247.3000030517578,231.25,243.0,9602681,2020-11-09
2020-11-16,344.7998046875,345.25,361.5,242.5500030517578,243.10000610351562,63082917,2020-11-16
2020-11-23,347.4463195800781,347.8999938964844,365.75,311.95001220703125,358.0,28179792,2020-11-23
2020-11-30,358.08245849609375,358.54998779296875,382.6499938964844,347.8999938964844,347.8999938964844,27492067,2020-11-30
2020-12-07,358.2322998046875,358.70001220703125,374.29998779296875,350.1000061035156,362.1000061035156,11846164,2020-12-07
2020-12-14,361.37823486328125,361.8500061035156,373.20001220703125,352.0,360.0,8975750,2020-12-14
2020-12-21,368.0694274902344,368.54998779296875,373.0,315.0,359.75,10064507,2020-12-21
2020-12-28,376.3086853027344,376.79998779296875,389.6499938964844,364.1499938964844,370.1000061035156,9791666,2020-12-28
2021-01-04,368.868408203125,369.3500061035156,381.79998779296875,365.6000061035156,380.04998779296875,6168958,2021-01-04
2021-01-11,359.48065185546875,359.95001220703125,373.5,353.0,372.0,5603573,2021-01-11
2021-01-18,363.1258850097656,363.6000061035156,365.6000061035156,341.0,362.0,4594987,2021-01-18
2021-01-25,380.5531311035156,381.04998779296875,389.3999938964844,363.3999938964844,369.45001220703125,6356907,2021-01-25
2021-02-01,381.5518493652344,382.04998779296875,413.1499938964844,379.0,385.25,6104183,2021-02-01
