Date,Adj Close_PODDARMENT.NS,Close_PODDARMENT.NS,High_PODDARMENT.NS,Low_PODDARMENT.NS,Open_PODDARMENT.NS,Volume_PODDARMENT.NS,Date
2020-07-13,176.0215606689453,183.14999389648438,197.39999389648438,170.0,173.89999389648438,172495,2020-07-13
2020-07-20,166.7952117919922,173.5500030517578,188.0,170.64999389648438,183.0,54079,2020-07-20
2020-07-27,169.43820190429688,176.3000030517578,189.0,172.5,178.75,99334,2020-07-27
2020-08-03,195.0989990234375,203.0,209.89999389648438,172.0,176.35000610351562,287699,2020-08-03
2020-08-10,177.60736083984375,184.8000030517578,215.0,181.0,203.0,110853,2020-08-10
2020-08-17,194.8106689453125,202.6999969482422,209.9499969482422,182.14999389648438,186.0,155657,2020-08-17
2020-08-24,199.42384338378906,207.5,226.5,200.0,203.9499969482422,313624,2020-08-24
2020-08-31,177.84762573242188,185.0500030517578,212.89999389648438,178.10000610351562,209.6999969482422,68078,2020-08-31
2020-09-07,182.70108032226562,190.10000610351562,195.0500030517578,176.0,182.14999389648438,68693,2020-09-07
2020-09-14,203.07594299316406,211.3000030517578,215.0,181.0,193.0,278709,2020-09-14
2020-09-21,184.52711486816406,192.0,213.0,181.5500030517578,212.0,68659,2020-09-21
2020-09-28,185.1998748779297,192.6999969482422,202.0,189.10000610351562,193.75,19380,2020-09-28
2020-10-05,176.06961059570312,183.1999969482422,197.0,181.64999389648438,194.0,23745,2020-10-05
2020-10-12,171.12005615234375,178.0500030517578,187.8000030517578,173.75,184.9499969482422,24786,2020-10-12
2020-10-19,175.30075073242188,182.39999389648438,184.9499969482422,176.39999389648438,178.0500030517578,16420,2020-10-19
2020-10-26,172.2733612060547,179.25,188.5,175.0,182.5500030517578,13444,2020-10-26
2020-11-02,170.11093139648438,177.0,184.6999969482422,171.0,180.9499969482422,21134,2020-11-02
2020-11-09,167.56410217285156,174.35000610351562,180.89999389648438,166.1999969482422,180.89999389648438,23191,2020-11-09
2020-11-16,174.0994110107422,181.14999389648438,183.5,170.9499969482422,173.6999969482422,31994,2020-11-16
2020-11-23,180.7789306640625,188.10000610351562,196.64999389648438,177.75,184.0,106195,2020-11-23
2020-11-30,184.43099975585938,191.89999389648438,195.0,182.0,188.10000610351562,43360,2020-11-30
2020-12-07,180.3944854736328,187.6999969482422,195.0,177.5500030517578,189.25,40995,2020-12-07
2020-12-14,176.5021209716797,183.64999389648438,191.5,182.14999389648438,190.0,30163,2020-12-14
2020-12-21,175.4449462890625,182.5500030517578,185.0,172.39999389648438,183.75,22005,2020-12-21
2020-12-28,189.620849609375,197.3000030517578,203.0,179.0,180.60000610351562,108813,2020-12-28
2021-01-04,193.94569396972656,201.8000030517578,205.9499969482422,191.8000030517578,198.9499969482422,94942,2021-01-04
2021-01-11,193.6093292236328,201.4499969482422,206.9499969482422,192.0,205.9499969482422,111146,2021-01-11
2021-01-18,182.79718017578125,190.1999969482422,204.89999389648438,189.14999389648438,200.85000610351562,36167,2021-01-18
2021-01-25,175.82936096191406,182.9499969482422,194.0500030517578,181.10000610351562,194.0500030517578,21017,2021-01-25
2021-02-01,179.3853302001953,186.64999389648438,193.75,181.10000610351562,181.4499969482422,25803,2021-02-01
2021-02-08,192.984619140625,200.8000030517578,207.39999389648438,193.5500030517578,194.0,67805,2021-02-08
2021-02-15,191.4468994140625,199.1999969482422,217.39999389648438,195.89999389648438,201.85000610351562,146602,2021-02-15
2021-02-22,198.60691833496094,206.64999389648438,218.39999389648438,183.8000030517578,197.89999389648438,151284,2021-02-22
2021-03-01,193.0326690673828,200.85000610351562,211.0,200.0,204.10000610351562,51978,2021-03-01
2021-03-08,195.48342895507812,203.39999389648438,205.89999389648438,196.3000030517578,205.75,27171,2021-03-08
2021-03-15,187.93896484375,195.5500030517578,211.0,189.25,208.0,75060,2021-03-15
2021-03-22,180.346435546875,187.64999389648438,197.0,184.85000610351562,197.0,26705,2021-03-22
2021-03-29,184.52711486816406,192.0,195.0,185.10000610351562,187.64999389648438,13220,2021-03-29
2021-04-05,191.92742919921875,199.6999969482422,204.89999389648438,188.25,190.89999389648438,29915,2021-04-05
2021-04-12,200.00051879882812,208.10000610351562,209.8000030517578,187.0,197.0500030517578,93888,2021-04-12
2021-04-19,201.44210815429688,209.60000610351562,227.3000030517578,195.1999969482422,202.1999969482422,432294,2021-04-19
2021-04-26,200.96157836914062,209.10000610351562,220.0,207.0,210.0,71938,2021-04-26
2021-05-03,205.0941925048828,213.39999389648438,224.10000610351562,209.0,211.25,49004,2021-05-03
2021-05-10,212.63868713378906,221.25,234.39999389648438,211.89999389648438,213.35000610351562,119421,2021-05-10
2021-05-17,227.48733520507812,236.6999969482422,244.8000030517578,221.35000610351562,230.0,111904,2021-05-17
2021-05-24,216.81936645507812,225.60000610351562,244.0,223.0,239.0,59851,2021-05-24
2021-05-31,215.28164672851562,224.0,230.5500030517578,216.75,225.0,46370,2021-05-31
2021-06-07,230.13031005859375,239.4499969482422,259.0,216.89999389648438,226.9499969482422,264347,2021-06-07
2021-06-14,228.16009521484375,237.39999389648438,246.0,226.0,244.9499969482422,74861,2021-06-14
2021-06-21,231.76414489746094,241.14999389648438,248.8000030517578,233.9499969482422,237.10000610351562,62528,2021-06-21
2021-06-28,256.65606689453125,267.04998779296875,286.0,255.60000610351562,262.20001220703125,568931,2021-06-28
