Date,Adj Close_SHALPAINTS.NS,Close_SHALPAINTS.NS,High_SHALPAINTS.NS,Low_SHALPAINTS.NS,Open_SHALPAINTS.NS,Volume_SHALPAINTS.NS,Date
2021-04-19,84.8499984741211,84.8499984741211,87.69999694824219,83.0,84.5999984741211,185287,2021-04-19
2021-04-26,88.80000305175781,88.80000305175781,94.5,83.9000015258789,86.05000305175781,394215,2021-04-26
2021-05-03,86.30000305175781,86.30000305175781,92.3499984741211,85.5,91.25,402905,2021-05-03
2021-05-10,92.3499984741211,92.3499984741211,98.0,83.69999694824219,87.9000015258789,2109606,2021-05-10
2021-05-17,101.69999694824219,101.69999694824219,109.69999694824219,92.19999694824219,93.05000305175781,6221952,2021-05-17
2021-05-24,117.1500015258789,117.1500015258789,120.75,100.94999694824219,101.0999984741211,6650501,2021-05-24
2021-05-31,115.1500015258789,115.1500015258789,126.0,113.05000305175781,120.9000015258789,3966632,2021-05-31
2021-06-07,113.1500015258789,113.1500015258789,118.0,106.0999984741211,115.9000015258789,2089074,2021-06-07
2021-06-14,105.69999694824219,105.69999694824219,113.94999694824219,101.6500015258789,112.8499984741211,1551612,2021-06-14
2021-06-21,104.55000305175781,104.55000305175781,108.9000015258789,102.30000305175781,103.0999984741211,866850,2021-06-21
2021-06-28,110.44999694824219,110.44999694824219,115.0,105.0,105.69999694824219,2736995,2021-06-28
2021-07-05,111.25,111.25,115.5,105.5,111.55000305175781,2321267,2021-07-05
2021-07-12,112.69999694824219,112.69999694824219,118.0,108.0999984741211,111.6500015258789,2833482,2021-07-12
2021-07-19,112.1500015258789,112.1500015258789,116.0,108.0999984741211,111.0,2122334,2021-07-19
2021-07-26,108.75,108.75,113.0,105.0,111.80000305175781,1087606,2021-07-26
2021-08-02,108.19999694824219,108.19999694824219,112.80000305175781,105.6500015258789,109.5999984741211,785327,2021-08-02
2021-08-09,101.4000015258789,101.4000015258789,110.19999694824219,96.4000015258789,108.6500015258789,931320,2021-08-09
2021-08-16,97.75,97.75,106.9000015258789,97.0,100.9000015258789,1288410,2021-08-16
2021-08-23,93.80000305175781,93.80000305175781,100.80000305175781,91.19999694824219,98.69999694824219,522808,2021-08-23
2021-08-30,98.6500015258789,98.6500015258789,100.9000015258789,93.80000305175781,95.19999694824219,843460,2021-08-30
2021-09-06,97.69999694824219,97.69999694824219,104.0,97.4000015258789,99.30000305175781,627267,2021-09-06
2021-09-13,95.80000305175781,95.80000305175781,99.5,95.0,99.5,484677,2021-09-13
2021-09-20,96.8499984741211,96.8499984741211,98.30000305175781,89.44999694824219,95.25,1439807,2021-09-20
2021-09-27,93.6500015258789,93.6500015258789,97.5999984741211,92.0,97.30000305175781,625238,2021-09-27
2021-10-04,97.55000305175781,97.55000305175781,99.44999694824219,94.0999984741211,94.3499984741211,1039856,2021-10-04
2021-10-11,97.05000305175781,97.05000305175781,98.94999694824219,95.5999984741211,98.44999694824219,471348,2021-10-11
2021-10-18,91.6500015258789,91.6500015258789,97.9000015258789,91.0999984741211,97.1500015258789,660247,2021-10-18
2021-10-25,90.8499984741211,90.8499984741211,95.80000305175781,89.19999694824219,91.80000305175781,441384,2021-10-25
2021-11-01,91.30000305175781,91.30000305175781,92.25,87.19999694824219,90.8499984741211,187514,2021-11-01
2021-11-08,96.0999984741211,96.0999984741211,98.4000015258789,90.05000305175781,91.30000305175781,863400,2021-11-08
2021-11-15,105.9000015258789,105.9000015258789,113.69999694824219,95.5999984741211,96.5,3413715,2021-11-15
2021-11-22,105.3499984741211,105.3499984741211,115.55000305175781,104.94999694824219,105.0,2700911,2021-11-22
2021-11-29,103.69999694824219,103.69999694824219,108.5999984741211,95.8499984741211,104.0,776943,2021-11-29
2021-12-06,108.6500015258789,108.6500015258789,109.80000305175781,102.3499984741211,104.5,628211,2021-12-06
2021-12-13,105.0999984741211,105.0999984741211,109.6500015258789,105.0,109.0,566712,2021-12-13
2021-12-20,109.30000305175781,109.30000305175781,111.75,104.19999694824219,105.0999984741211,987926,2021-12-20
2021-12-27,115.8499984741211,115.8499984741211,118.80000305175781,107.4000015258789,109.30000305175781,2355639,2021-12-27
2022-01-03,114.55000305175781,114.55000305175781,118.0999984741211,109.9000015258789,115.0,952633,2022-01-03
2022-01-10,132.64999389648438,132.64999389648438,134.3000030517578,113.19999694824219,113.19999694824219,6944482,2022-01-10
2022-01-17,135.3000030517578,135.3000030517578,151.0,132.75,135.0,7238598,2022-01-17
2022-01-24,139.5500030517578,139.5500030517578,144.5,126.19999694824219,136.0,2237033,2022-01-24
2022-01-31,138.35000610351562,138.35000610351562,143.9499969482422,134.0,141.0500030517578,1211767,2022-01-31
2022-02-07,134.9499969482422,134.9499969482422,143.25,132.8000030517578,139.6999969482422,845727,2022-02-07
2022-02-14,136.14999389648438,136.14999389648438,140.14999389648438,118.80000305175781,131.0,1306257,2022-02-14
2022-02-21,125.3499984741211,125.3499984741211,139.89999389648438,115.0,136.0,1381165,2022-02-21
2022-02-28,135.8000030517578,135.8000030517578,148.75,119.9000015258789,123.0,2113856,2022-02-28
2022-03-07,138.4499969482422,138.4499969482422,142.0,130.6999969482422,134.89999389648438,1281009,2022-03-07
2022-03-14,131.75,131.75,140.5,131.39999389648438,140.5,463615,2022-03-14
2022-03-21,122.4000015258789,122.4000015258789,130.5,118.25,130.5,789180,2022-03-21
2022-03-28,129.0500030517578,129.0500030517578,134.35000610351562,114.05000305175781,122.4000015258789,1023146,2022-03-28
2022-04-04,138.35000610351562,138.35000610351562,143.89999389648438,127.0,129.5,1281837,2022-04-04
2022-04-11,143.39999389648438,143.39999389648438,149.6999969482422,135.64999389648438,138.1999969482422,1182905,2022-04-11
2022-04-18,155.10000610351562,155.10000610351562,163.6999969482422,139.14999389648438,143.89999389648438,2225385,2022-04-18
2022-04-25,142.75,142.75,154.5,141.10000610351562,154.5,835316,2022-04-25
2022-05-02,138.89999389648438,138.89999389648438,143.0,134.5,141.0,441730,2022-05-02
2022-05-09,131.0,131.0,143.14999389648438,122.0,138.8000030517578,728594,2022-05-09
2022-05-16,137.1999969482422,137.1999969482422,148.0,130.14999389648438,135.0,684500,2022-05-16
2022-05-23,142.5,142.5,146.0,130.0,137.0,734593,2022-05-23
2022-05-30,139.89999389648438,139.89999389648438,149.35000610351562,139.14999389648438,145.5,542945,2022-05-30
2022-06-06,132.5,132.5,141.25,130.25,141.25,369805,2022-06-06
2022-06-13,118.9000015258789,118.9000015258789,134.0,116.1500015258789,129.0,587880,2022-06-13
2022-06-20,127.19999694824219,127.19999694824219,129.6999969482422,114.6500015258789,118.5999984741211,382373,2022-06-20
2022-06-27,165.4499969482422,165.4499969482422,175.0,128.64999389648438,136.64999389648438,4585856,2022-06-27
2022-07-04,168.1999969482422,168.1999969482422,175.10000610351562,162.8000030517578,167.0,1587517,2022-07-04
2022-07-11,169.5500030517578,169.5500030517578,184.39999389648438,164.8000030517578,168.0,2326626,2022-07-11
2022-07-18,163.89999389648438,163.89999389648438,171.60000610351562,160.35000610351562,171.60000610351562,387320,2022-07-18
2022-07-25,169.3000030517578,169.3000030517578,175.0,162.10000610351562,164.8000030517578,452301,2022-07-25
2022-08-01,166.85000610351562,166.85000610351562,180.0,148.8000030517578,167.64999389648438,861149,2022-08-01
2022-08-08,165.5500030517578,165.5500030517578,168.89999389648438,159.14999389648438,168.89999389648438,450176,2022-08-08
2022-08-15,167.89999389648438,167.89999389648438,172.8000030517578,161.60000610351562,165.5500030517578,347168,2022-08-15
2022-08-22,168.39999389648438,168.39999389648438,174.0,165.0500030517578,167.89999389648438,501773,2022-08-22
2022-08-29,168.75,168.75,178.89999389648438,158.8000030517578,164.0,1193385,2022-08-29
2022-09-05,171.14999389648438,171.14999389648438,179.35000610351562,167.5,168.75,881871,2022-09-05
2022-09-12,166.3000030517578,166.3000030517578,174.0,164.0,173.10000610351562,691115,2022-09-12
2022-09-19,166.64999389648438,166.64999389648438,173.6999969482422,162.3000030517578,167.0,717873,2022-09-19
2022-09-26,168.64999389648438,168.64999389648438,177.0,160.0,166.6999969482422,1067823,2022-09-26
2022-10-03,168.85000610351562,168.85000610351562,180.0,165.64999389648438,171.5500030517578,2737058,2022-10-03
2022-10-10,165.0500030517578,165.0500030517578,174.10000610351562,164.0,169.0,784387,2022-10-10
2022-10-17,160.14999389648438,160.14999389648438,166.0,159.8000030517578,165.0500030517578,387144,2022-10-17
2022-10-24,159.39999389648438,159.39999389648438,167.5,156.35000610351562,161.6999969482422,279540,2022-10-24
2022-10-31,157.4499969482422,157.4499969482422,165.0,155.60000610351562,158.25,520394,2022-10-31
2022-11-07,154.14999389648438,154.14999389648438,159.6999969482422,153.75,158.5,269994,2022-11-07
2022-11-14,152.6999969482422,152.6999969482422,157.5500030517578,146.60000610351562,154.14999389648438,466728,2022-11-14
2022-11-21,149.60000610351562,149.60000610351562,154.9499969482422,145.6999969482422,153.0,331524,2022-11-21
2022-11-28,145.3000030517578,145.3000030517578,150.9499969482422,145.0,150.0,248329,2022-11-28
2022-12-05,147.5,147.5,149.5,142.10000610351562,146.0500030517578,292724,2022-12-05
2022-12-12,145.75,145.75,153.10000610351562,144.0,148.60000610351562,698265,2022-12-12
2022-12-19,124.0,124.0,149.39999389648438,123.19999694824219,145.5,278168,2022-12-19
2022-12-26,130.60000610351562,130.60000610351562,139.6999969482422,124.44999694824219,125.05000305175781,381865,2022-12-26
2023-01-02,138.4499969482422,138.4499969482422,148.89999389648438,129.6999969482422,131.0,868364,2023-01-02
2023-01-09,140.8000030517578,140.8000030517578,142.60000610351562,137.5,138.60000610351562,285801,2023-01-09
2023-01-16,136.75,136.75,144.89999389648438,135.75,140.60000610351562,178489,2023-01-16
2023-01-23,149.10000610351562,149.10000610351562,154.89999389648438,132.0,138.39999389648438,549324,2023-01-23
2023-01-30,141.60000610351562,141.60000610351562,148.85000610351562,138.0500030517578,148.85000610351562,159818,2023-01-30
2023-02-06,145.25,145.25,154.0,138.6999969482422,142.60000610351562,435795,2023-02-06
2023-02-13,148.5,148.5,155.60000610351562,143.0,147.0,532367,2023-02-13
2023-02-20,152.25,152.25,154.0,147.0,149.0,153440,2023-02-20
2023-02-27,149.0500030517578,149.0500030517578,153.75,145.60000610351562,153.75,142447,2023-02-27
2023-03-06,152.0,152.0,159.35000610351562,145.0,147.64999389648438,262052,2023-03-06
2023-03-13,147.35000610351562,147.35000610351562,154.0500030517578,144.85000610351562,154.0500030517578,138518,2023-03-13
2023-03-20,143.4499969482422,143.4499969482422,150.0,141.0500030517578,142.5,124658,2023-03-20
2023-03-27,136.0500030517578,136.0500030517578,145.89999389648438,133.6999969482422,143.5500030517578,147638,2023-03-27
2023-04-03,147.5,147.5,149.10000610351562,132.64999389648438,137.9499969482422,291416,2023-04-03
2023-04-10,148.6999969482422,148.6999969482422,152.0,146.3000030517578,149.0,107650,2023-04-10
