Date,Adj Close_COLPAL.NS,Close_COLPAL.NS,High_COLPAL.NS,Low_COLPAL.NS,Open_COLPAL.NS,Volume_COLPAL.NS,Date
2020-07-13,1273.423828125,1426.0,1449.449951171875,1383.800048828125,1436.0,2930349,2020-07-13
2020-07-20,1236.0963134765625,1384.199951171875,1455.9000244140625,1362.550048828125,1429.0,4283568,2020-07-20
2020-07-27,1271.0128173828125,1423.300048828125,1473.949951171875,1375.0,1382.0,6781975,2020-07-27
2020-08-03,1301.0623779296875,1456.949951171875,1467.449951171875,1407.050048828125,1423.300048828125,3440687,2020-08-03
2020-08-10,1260.1627197265625,1411.1500244140625,1486.449951171875,1405.75,1462.0,3231648,2020-08-10
2020-08-17,1259.7161865234375,1410.6500244140625,1443.949951171875,1402.25,1420.0,2607394,2020-08-17
2020-08-24,1241.4542236328125,1390.199951171875,1425.0,1387.699951171875,1419.9000244140625,2158618,2020-08-24
2020-08-31,1216.3162841796875,1362.050048828125,1400.699951171875,1353.0,1390.1500244140625,2951593,2020-08-31
2020-09-07,1266.8603515625,1418.6500244140625,1423.300048828125,1343.25,1362.0,4520664,2020-09-07
2020-09-14,1225.781982421875,1372.6500244140625,1427.9000244140625,1363.0,1427.9000244140625,2676253,2020-09-14
2020-09-21,1264.22607421875,1415.699951171875,1420.0,1322.1500244140625,1376.0999755859375,4098121,2020-09-21
2020-09-28,1285.92578125,1440.0,1460.0,1412.0,1420.0,2541835,2020-09-28
2020-10-05,1306.3310546875,1462.8499755859375,1477.449951171875,1420.0999755859375,1445.0,2834884,2020-10-05
2020-10-12,1285.30078125,1439.300048828125,1471.0,1415.300048828125,1467.0,2867646,2020-10-12
2020-10-19,1307.9383544921875,1464.6500244140625,1489.0,1405.5999755859375,1450.0,5878035,2020-10-19
2020-10-26,1354.41943359375,1516.699951171875,1559.800048828125,1434.0999755859375,1462.0,5734993,2020-10-26
2020-11-02,1361.84423828125,1507.199951171875,1528.1500244140625,1462.050048828125,1516.699951171875,4147745,2020-11-02
2020-11-09,1366.4071044921875,1512.25,1534.5999755859375,1463.75,1522.0,3716703,2020-11-09
