Date,Adj Close_BOROSCI.NS,Close_BOROSCI.NS,High_BOROSCI.NS,Low_BOROSCI.NS,Open_BOROSCI.NS,Volume_BOROSCI.NS,Date
2024-06-03,156.6999969482422,156.6999969482422,173.14999389648438,156.6999969482422,164.9499969482422,331620,2024-06-03
2024-06-10,144.6999969482422,144.6999969482422,156.3000030517578,138.0,148.89999389648438,2404646,2024-06-10
2024-06-17,166.85000610351562,166.85000610351562,172.6999969482422,146.0,148.4499969482422,1350887,2024-06-17
2024-06-24,213.9499969482422,213.9499969482422,224.8000030517578,167.8000030517578,175.0,7903084,2024-06-24
2024-07-01,203.1199951171875,203.1199951171875,230.0,200.14999389648438,214.0,2164163,2024-07-01
2024-07-08,197.1199951171875,197.1199951171875,211.99000549316406,195.0500030517578,201.0,1253032,2024-07-08
2024-07-15,181.3699951171875,181.3699951171875,199.89999389648438,179.61000061035156,199.10000610351562,847113,2024-07-15
2024-07-22,195.9499969482422,195.9499969482422,204.5,181.3699951171875,181.3699951171875,1156151,2024-07-22
2024-07-29,195.64999389648438,195.64999389648438,207.0,190.9499969482422,195.8000030517578,1219207,2024-07-29
2024-08-05,199.42999267578125,199.42999267578125,209.88999938964844,181.0,190.72999572753906,1559378,2024-08-05
2024-08-12,190.44000244140625,190.44000244140625,199.99000549316406,181.5,199.8699951171875,659399,2024-08-12
2024-08-19,191.19000244140625,191.19000244140625,198.0,185.7100067138672,188.0,825950,2024-08-19
2024-08-26,200.0800018310547,200.0800018310547,217.0,191.5,193.97000122070312,2708286,2024-08-26
2024-09-02,194.75999450683594,194.75999450683594,210.0,193.00999450683594,200.0500030517578,1689747,2024-09-02
2024-09-09,199.83999633789062,199.83999633789062,211.89999389648438,186.6300048828125,196.0,1757834,2024-09-09
2024-09-16,198.91000366210938,198.91000366210938,218.64999389648438,197.22000122070312,201.39999389648438,3749394,2024-09-16
2024-09-23,194.02000427246094,194.02000427246094,208.0,193.1999969482422,200.4499969482422,1612597,2024-09-23
2024-09-30,184.08999633789062,184.08999633789062,196.25999450683594,179.5,193.39999389648438,795134,2024-09-30
2024-10-07,189.8699951171875,189.8699951171875,191.99000549316406,175.3000030517578,184.89999389648438,882609,2024-10-07
2024-10-14,183.14999389648438,183.14999389648438,193.69000244140625,180.3000030517578,190.89999389648438,447012,2024-10-14
2024-10-21,172.22000122070312,172.22000122070312,184.6999969482422,166.10000610351562,183.5,609829,2024-10-21
2024-10-28,187.8699951171875,187.8699951171875,193.5,168.10000610351562,174.8000030517578,648447,2024-10-28
2024-11-04,186.33999633789062,186.33999633789062,196.0,183.0,189.0,774679,2024-11-04
2024-11-11,180.33999633789062,180.33999633789062,186.60000610351562,176.5,186.60000610351562,515324,2024-11-11
2024-11-18,181.74000549316406,181.74000549316406,187.0,173.64999389648438,179.1999969482422,364244,2024-11-18
2024-11-25,181.64999389648438,181.64999389648438,185.8000030517578,177.00999450683594,182.9499969482422,422742,2024-11-25
2024-12-02,187.13999938964844,187.13999938964844,190.02000427246094,179.30999755859375,182.49000549316406,453770,2024-12-02
2024-12-09,177.8000030517578,177.8000030517578,188.6999969482422,175.0,187.13999938964844,407395,2024-12-09
2024-12-16,170.4499969482422,170.4499969482422,183.1999969482422,170.0,178.60000610351562,365787,2024-12-16
2024-12-23,166.7899932861328,166.7899932861328,172.75,162.6999969482422,171.64999389648438,357432,2024-12-23
2024-12-30,174.0500030517578,174.0500030517578,180.10000610351562,160.5,167.5,445986,2024-12-30
2025-01-06,159.86000061035156,159.86000061035156,175.39999389648438,157.2100067138672,174.0500030517578,415209,2025-01-06
2025-01-13,167.74000549316406,167.74000549316406,174.0,151.89999389648438,160.0,547820,2025-01-13
2025-01-20,157.69000244140625,157.69000244140625,174.0,156.89999389648438,170.86000061035156,210551,2025-01-20
2025-01-27,164.33999633789062,164.33999633789062,166.02000427246094,149.0,155.0,291194,2025-01-27
2025-02-03,158.89999389648438,158.89999389648438,170.0,154.1999969482422,161.0,391577,2025-02-03
2025-02-10,138.05999755859375,138.05999755859375,159.89999389648438,137.3000030517578,156.61000061035156,413888,2025-02-10
2025-02-17,139.52999877929688,139.52999877929688,149.0,131.10000610351562,136.75,329787,2025-02-17
2025-02-24,125.38999938964844,125.38999938964844,140.39999389648438,122.9000015258789,136.6999969482422,314482,2025-02-24
2025-03-03,130.83999633789062,130.83999633789062,134.58999633789062,118.30000305175781,123.51000213623047,405469,2025-03-03
2025-03-10,119.63999938964844,119.63999938964844,131.25999450683594,119.0,130.0,366611,2025-03-10
2025-03-17,126.63999938964844,126.63999938964844,132.0,115.5999984741211,120.25,840959,2025-03-17
2025-03-24,122.19000244140625,122.19000244140625,135.6699981689453,116.25,127.0,971259,2025-03-24
2025-03-31,122.23999786376953,122.23999786376953,128.5,120.55000305175781,122.55000305175781,248953,2025-03-31
2025-04-07,125.63999938964844,125.63999938964844,126.4000015258789,107.41999816894531,117.9000015258789,257856,2025-04-07
2025-04-14,132.35000610351562,132.35000610351562,134.3699951171875,126.41000366210938,127.0999984741211,182251,2025-04-14
2025-04-21,134.22000122070312,134.22000122070312,142.52000427246094,131.60000610351562,133.27999877929688,293959,2025-04-21
2025-04-28,128.08999633789062,128.08999633789062,136.1999969482422,127.30000305175781,134.8000030517578,117126,2025-04-28
2025-05-05,122.88999938964844,122.88999938964844,133.0500030517578,117.80999755859375,129.3000030517578,165436,2025-05-05
2025-05-12,145.8800048828125,145.8800048828125,148.0399932861328,124.66000366210938,124.69999694824219,325429,2025-05-12
2025-05-19,140.17999267578125,140.17999267578125,147.2899932861328,134.6699981689453,145.8800048828125,427765,2025-05-19
2025-05-26,139.67999267578125,139.67999267578125,147.5800018310547,138.75,141.25,323212,2025-05-26
2025-06-02,137.6999969482422,137.6999969482422,145.1999969482422,136.50999450683594,138.6999969482422,335175,2025-06-02
2025-06-09,141.0,141.0,151.0,136.9499969482422,137.6999969482422,597768,2025-06-09
2025-06-16,138.4199981689453,138.4199981689453,144.92999267578125,135.0,139.60000610351562,290346,2025-06-16
2025-06-23,164.9600067138672,164.9600067138672,171.39999389648438,137.0,138.0,4617178,2025-06-23
2025-06-30,165.16000366210938,165.16000366210938,170.99000549316406,158.0800018310547,166.0,775778,2025-06-30
2025-07-07,158.47000122070312,158.47000122070312,168.1999969482422,155.89999389648438,165.97999572753906,301167,2025-07-07
2025-07-14,156.08999633789062,156.08999633789062,163.60000610351562,154.10000610351562,157.75,205994,2025-07-14
