Date,Adj Close_IFCI.NS,Close_IFCI.NS,High_IFCI.NS,Low_IFCI.NS,Open_IFCI.NS,Volume_IFCI.NS,Date
2020-07-13,6.75,6.75,7.0,6.349999904632568,6.900000095367432,9315683,2020-07-13
2020-07-20,6.550000190734863,6.550000190734863,7.0,6.5,6.949999809265137,7874711,2020-07-20
2020-07-27,6.199999809265137,6.199999809265137,6.699999809265137,6.099999904632568,6.550000190734863,8728744,2020-07-27
2020-08-03,6.550000190734863,6.550000190734863,6.800000190734863,6.050000190734863,6.199999809265137,14656449,2020-08-03
2020-08-10,7.099999904632568,7.099999904632568,8.199999809265137,6.449999809265137,6.699999809265137,39353033,2020-08-10
2020-08-17,7.349999904632568,7.349999904632568,7.650000095367432,6.900000095367432,7.199999809265137,16132586,2020-08-17
2020-08-24,7.199999809265137,7.199999809265137,7.550000190734863,7.199999809265137,7.449999809265137,12085475,2020-08-24
2020-08-31,7.050000190734863,7.050000190734863,7.800000190734863,6.650000095367432,7.349999904632568,14578229,2020-08-31
2020-09-07,6.800000190734863,6.800000190734863,7.449999809265137,6.650000095367432,7.150000095367432,10251454,2020-09-07
2020-09-14,6.550000190734863,6.550000190734863,7.0,6.5,6.849999904632568,8013710,2020-09-14
2020-09-21,6.0,6.0,6.599999904632568,5.650000095367432,6.5,9995316,2020-09-21
2020-09-28,6.0,6.0,6.25,5.949999809265137,6.050000190734863,3331396,2020-09-28
2020-10-05,5.849999904632568,5.849999904632568,6.199999809265137,5.75,6.0,4661491,2020-10-05
2020-10-12,5.699999809265137,5.699999809265137,5.949999809265137,5.650000095367432,5.900000095367432,3707056,2020-10-12
2020-10-19,6.199999809265137,6.199999809265137,6.599999904632568,5.699999809265137,5.75,8515354,2020-10-19
2020-10-26,5.800000190734863,5.800000190734863,6.449999809265137,5.75,6.449999809265137,9244914,2020-10-26
2020-11-02,5.800000190734863,5.800000190734863,5.900000095367432,5.75,5.900000095367432,4033689,2020-11-02
2020-11-09,6.099999904632568,6.099999904632568,6.25,5.800000190734863,5.849999904632568,7265534,2020-11-09
2020-11-16,6.150000095367432,6.150000095367432,6.449999809265137,5.949999809265137,6.050000190734863,9990078,2020-11-16
2020-11-23,6.400000095367432,6.400000095367432,6.650000095367432,6.150000095367432,6.199999809265137,16288196,2020-11-23
2020-11-30,7.25,7.25,7.800000190734863,6.349999904632568,6.400000095367432,31816194,2020-11-30
2020-12-07,10.600000381469727,10.600000381469727,11.5,7.75,8.0,152689294,2020-12-07
2020-12-14,8.949999809265137,8.949999809265137,10.949999809265137,8.850000381469727,10.699999809265137,43559173,2020-12-14
2020-12-21,9.25,9.25,9.800000190734863,8.050000190734863,8.899999618530273,38340665,2020-12-21
2020-12-28,9.399999618530273,9.399999618530273,9.600000381469727,8.899999618530273,9.350000381469727,18918475,2020-12-28
2021-01-04,10.199999809265137,10.199999809265137,10.399999618530273,9.25,9.5,34243701,2021-01-04
2021-01-11,9.449999809265137,9.449999809265137,10.399999618530273,9.350000381469727,10.350000381469727,28945927,2021-01-11
2021-01-18,8.949999809265137,8.949999809265137,9.649999618530273,8.899999618530273,9.649999618530273,12623104,2021-01-18
2021-01-25,8.800000190734863,8.800000190734863,9.149999618530273,8.5,9.050000190734863,10705067,2021-01-25
2021-02-01,9.100000381469727,9.100000381469727,9.550000190734863,8.800000190734863,8.899999618530273,16761585,2021-02-01
2021-02-08,9.0,9.0,9.399999618530273,8.899999618530273,9.25,11271056,2021-02-08
2021-02-15,9.0,9.0,9.550000190734863,8.25,8.75,26853062,2021-02-15
2021-02-22,8.899999618530273,8.899999618530273,9.350000381469727,8.550000190734863,9.100000381469727,12751906,2021-02-22
2021-03-01,11.850000381469727,11.850000381469727,13.199999809265137,8.949999809265137,9.050000190734863,174611195,2021-03-01
2021-03-08,15.5,15.5,15.699999809265137,11.800000190734863,12.300000190734863,198640331,2021-03-08
2021-03-15,12.350000381469727,12.350000381469727,16.0,12.300000190734863,15.899999618530273,85949044,2021-03-15
