Date,Adj Close_ALIVUS.NS,Close_ALIVUS.NS,High_ALIVUS.NS,Low_ALIVUS.NS,Open_ALIVUS.NS,Volume_ALIVUS.NS,Date
2025-01-13,1084.3499755859375,1084.3499755859375,1095.0,968.0499877929688,1005.9000244140625,532497,2025-01-13
2025-01-20,1149.25,1149.25,1219.0,1064.699951171875,1089.949951171875,1582708,2025-01-20
2025-01-27,1155.0,1155.0,1249.9000244140625,1121.300048828125,1159.0999755859375,1297852,2025-01-27
2025-02-03,1224.550048828125,1224.550048828125,1251.0,1148.75,1155.0,586627,2025-02-03
2025-02-10,1013.3499755859375,1013.3499755859375,1246.0,995.0,1244.0,669482,2025-02-10
2025-02-17,1016.3499755859375,1016.3499755859375,1094.949951171875,985.0,1015.0,418579,2025-02-17
2025-02-24,884.9000244140625,884.9000244140625,1014.0499877929688,873.75,1000.7999877929688,721968,2025-02-24
2025-03-03,1078.949951171875,1078.949951171875,1093.949951171875,868.0999755859375,884.0,632281,2025-03-03
2025-03-10,1024.0,1024.0,1098.800048828125,980.0,1081.9000244140625,248291,2025-03-10
2025-03-17,1100.5999755859375,1100.5999755859375,1136.800048828125,1006.0,1006.0,265507,2025-03-17
2025-03-24,1081.1500244140625,1081.1500244140625,1139.4000244140625,981.0,1090.0,981240,2025-03-24
2025-03-31,1001.0499877929688,1001.0499877929688,1094.0,995.2000122070312,1081.1500244140625,334851,2025-03-31
2025-04-07,965.2999877929688,965.2999877929688,1024.9000244140625,850.0,880.0,384735,2025-04-07
2025-04-14,989.0999755859375,989.0999755859375,1016.2000122070312,967.0,967.0,275778,2025-04-14
2025-04-21,1036.300048828125,1036.300048828125,1040.5,985.0,985.0,317223,2025-04-21
2025-04-28,1088.5999755859375,1088.5999755859375,1114.699951171875,1023.7999877929688,1043.0,725923,2025-04-28
2025-05-05,1115.5999755859375,1115.5999755859375,1163.0,1069.0999755859375,1098.0,488155,2025-05-05
2025-05-12,1142.5999755859375,1142.5999755859375,1225.0999755859375,1089.9000244140625,1129.699951171875,627325,2025-05-12
2025-05-19,1117.0,1117.0,1155.199951171875,1087.5999755859375,1148.0,354621,2025-05-19
2025-05-26,1040.9000244140625,1040.9000244140625,1145.0,1031.9000244140625,1114.9000244140625,322980,2025-05-26
2025-06-02,1006.0999755859375,1006.0999755859375,1072.300048828125,1001.0999755859375,1052.9000244140625,427045,2025-06-02
2025-06-09,1014.2000122070312,1014.2000122070312,1075.0,1002.5999755859375,1010.0,644373,2025-06-09
2025-06-16,998.2000122070312,998.2000122070312,1030.0,984.5999755859375,1014.2000122070312,443738,2025-06-16
2025-06-23,1001.2999877929688,1001.2999877929688,1030.800048828125,985.0,985.0,364930,2025-06-23
2025-06-30,1040.4000244140625,1040.4000244140625,1051.5999755859375,982.4000244140625,1018.0,545125,2025-06-30
2025-07-07,1014.5999755859375,1014.5999755859375,1049.0,999.0,1040.4000244140625,272621,2025-07-07
2025-07-14,1053.5999755859375,1053.5999755859375,1102.699951171875,1009.0999755859375,1011.0999755859375,452970,2025-07-14
