Date,Adj Close_PRAKASH.NS,Close_PRAKASH.NS,High_PRAKASH.NS,Low_PRAKASH.NS,Open_PRAKASH.NS,Volume_PRAKASH.NS,Date
2020-07-13,34.28742980957031,34.5,34.900001525878906,32.400001525878906,33.900001525878906,1277103,2020-07-13
2020-07-20,33.194210052490234,33.400001525878906,35.70000076293945,32.650001525878906,35.0,1818171,2020-07-20
2020-07-27,32.6475944519043,32.849998474121094,35.849998474121094,31.25,33.5,3478020,2020-07-27
2020-08-03,42.53628921508789,42.79999923706055,44.0,32.849998474121094,32.900001525878906,6245845,2020-08-03
2020-08-10,44.971195220947266,45.25,46.5,41.5,42.95000076293945,5088479,2020-08-10
2020-08-17,49.045928955078125,49.349998474121094,50.599998474121094,45.099998474121094,45.54999923706055,4462296,2020-08-17
2020-08-24,46.80979537963867,47.099998474121094,51.900001525878906,45.20000076293945,50.0,3777417,2020-08-24
2020-08-31,46.61103057861328,46.900001525878906,48.5,43.0,47.45000076293945,2576228,2020-08-31
2020-09-07,43.67920684814453,43.95000076293945,47.29999923706055,42.150001525878906,47.04999923706055,2342801,2020-09-07
2020-09-14,42.23814010620117,42.5,45.25,42.20000076293945,44.29999923706055,1351734,2020-09-14
2020-09-21,37.666481018066406,37.900001525878906,42.5,35.900001525878906,42.20000076293945,1579774,2020-09-21
2020-09-28,39.65415954589844,39.900001525878906,43.0,38.099998474121094,38.099998474121094,858830,2020-09-28
2020-10-05,39.00816345214844,39.25,40.650001525878906,38.54999923706055,40.0,791694,2020-10-05
2020-10-12,44.37489318847656,44.650001525878906,47.0,38.29999923706055,39.400001525878906,3906655,2020-10-12
2020-10-19,45.71657180786133,46.0,47.900001525878906,43.650001525878906,44.650001525878906,2618360,2020-10-19
2020-10-26,43.480438232421875,43.75,46.400001525878906,42.75,46.0,1271962,2020-10-26
2020-11-02,44.87181091308594,45.150001525878906,47.29999923706055,42.400001525878906,44.400001525878906,1825587,2020-11-02
2020-11-09,43.38105392456055,43.650001525878906,47.70000076293945,40.04999923706055,45.5,6887955,2020-11-09
2020-11-16,43.778587341308594,44.04999923706055,44.400001525878906,42.650001525878906,42.95000076293945,2741273,2020-11-16
2020-11-23,45.766265869140625,46.04999923706055,47.45000076293945,43.20000076293945,44.400001525878906,4169259,2020-11-23
2020-11-30,52.971595764160156,53.29999923706055,55.70000076293945,46.04999923706055,46.04999923706055,7814134,2020-11-30
