Date,Adj Close_ADSL.NS,Close_ADSL.NS,High_ADSL.NS,Low_ADSL.NS,Open_ADSL.NS,Volume_ADSL.NS,Date
2020-07-13,15.299945831298828,16.149999618530273,17.5,15.899999618530273,16.25,133161,2020-07-13
2020-07-20,17.052570343017578,18.0,18.450000762939453,15.75,16.149999618530273,282070,2020-07-20
2020-07-27,17.573619842529297,18.549999237060547,21.149999618530273,17.700000762939453,17.75,531960,2020-07-27
2020-08-03,17.810462951660156,18.799999237060547,19.100000381469727,17.5,18.549999237060547,180772,2020-08-03
2020-08-10,21.74203109741211,22.950000762939453,24.899999618530273,18.549999237060547,19.0,1040426,2020-08-10
2020-08-17,21.884132385253906,23.100000381469727,23.850000381469727,22.350000381469727,22.450000762939453,433328,2020-08-17
2020-08-24,23.542020797729492,24.850000381469727,26.950000762939453,23.100000381469727,23.649999618530273,1100401,2020-08-24
2020-08-31,21.11810874938965,21.850000381469727,25.5,21.350000381469727,24.950000762939453,303881,2020-08-31
2020-09-07,20.634855270385742,21.350000381469727,22.299999237060547,19.600000381469727,22.299999237060547,204623,2020-09-07
2020-09-14,23.7276668548584,24.549999237060547,24.799999237060547,21.600000381469727,22.0,506721,2020-09-14
2020-09-21,21.35973358154297,22.100000381469727,25.200000762939453,20.649999618530273,24.549999237060547,479297,2020-09-21
2020-09-28,22.61618995666504,23.399999618530273,23.799999237060547,22.100000381469727,22.200000762939453,711413,2020-09-28
2020-10-05,23.196088790893555,24.0,24.899999618530273,22.649999618530273,23.899999618530273,362212,2020-10-05
2020-10-12,22.47121238708496,23.25,24.5,21.600000381469727,24.399999618530273,577181,2020-10-12
2020-10-19,21.842985153198242,22.600000381469727,23.5,22.149999618530273,23.5,1050977,2020-10-19
2020-10-26,20.779829025268555,21.5,23.299999237060547,20.950000762939453,23.299999237060547,885143,2020-10-26
2020-11-02,21.069780349731445,21.799999237060547,22.450000762939453,21.200000762939453,22.450000762939453,594604,2020-11-02
2020-11-09,21.60135841369629,22.350000381469727,23.899999618530273,20.0,21.0,928060,2020-11-09
2020-11-16,21.939634323120117,22.700000762939453,24.399999618530273,22.100000381469727,22.600000381469727,661049,2020-11-16
2020-11-23,24.259244918823242,25.100000381469727,25.450000762939453,22.200000762939453,23.0,713180,2020-11-23
2020-11-30,27.497032165527344,28.450000762939453,31.450000762939453,25.100000381469727,25.100000381469727,1366550,2020-11-30
2020-12-07,27.883634567260742,28.850000381469727,30.700000762939453,27.649999618530273,29.0,582113,2020-12-07
2020-12-14,29.333391189575195,30.350000381469727,30.700000762939453,28.5,30.0,653020,2020-12-14
2020-12-21,29.719989776611328,30.75,31.850000381469727,27.549999237060547,30.350000381469727,993793,2020-12-21
2020-12-28,37.7902946472168,39.099998474121094,39.099998474121094,31.399999618530273,31.399999618530273,594419,2020-12-28
2021-01-04,42.09123992919922,43.54999923706055,44.45000076293945,39.0,40.95000076293945,2050193,2021-01-04
2021-01-11,39.578330993652344,40.95000076293945,46.400001525878906,39.75,44.75,1075182,2021-01-11
2021-01-18,35.76063919067383,37.0,41.29999923706055,36.900001525878906,40.95000076293945,894165,2021-01-18
2021-01-25,38.418521881103516,39.75,39.75,35.150001525878906,37.20000076293945,520528,2021-01-25
2021-02-01,38.70847702026367,40.04999923706055,43.5,38.0,40.70000076293945,1126912,2021-02-01
