Date,Adj Close_TECHNOE.NS,Close_TECHNOE.NS,High_TECHNOE.NS,Low_TECHNOE.NS,Open_TECHNOE.NS,Volume_TECHNOE.NS,Date
2020-07-13,168.44300842285156,179.3000030517578,180.0,174.8000030517578,179.89999389648438,35602,2020-07-13
2020-07-20,166.2353057861328,176.9499969482422,183.0,172.5500030517578,179.39999389648438,37554,2020-07-20
2020-07-27,167.69146728515625,178.5,184.6999969482422,175.0500030517578,178.9499969482422,51356,2020-07-27
2020-08-03,164.1215362548828,174.6999969482422,186.0,173.0,177.14999389648438,104330,2020-08-03
2020-08-10,169.0536651611328,179.9499969482422,184.75,174.5,174.6999969482422,141799,2020-08-10
2020-08-17,186.99710083007812,199.0500030517578,209.9499969482422,180.0,187.0,216252,2020-08-17
2020-08-24,203.9071807861328,217.0500030517578,245.0,198.0500030517578,202.0,6579768,2020-08-24
2020-08-31,192.2580108642578,204.64999389648438,244.0,200.0,228.85000610351562,713519,2020-08-31
2020-09-07,191.92922973632812,204.3000030517578,217.5,192.64999389648438,206.3000030517578,729439,2020-09-07
2020-09-14,195.21728515625,207.8000030517578,223.6999969482422,204.8000030517578,208.89999389648438,303549,2020-09-14
2020-09-21,182.11199951171875,193.85000610351562,210.25,185.8000030517578,210.25,691602,2020-09-21
2020-09-28,188.92298889160156,201.10000610351562,206.0,193.25,197.8000030517578,65529,2020-09-28
2020-10-05,179.43455505371094,191.0,211.9499969482422,187.5,202.0,145990,2020-10-05
2020-10-12,181.5013427734375,193.1999969482422,196.8000030517578,182.0,196.8000030517578,91973,2020-10-12
2020-10-19,182.91050720214844,194.6999969482422,207.8000030517578,192.0,196.0,133739,2020-10-19
2020-10-26,180.09214782714844,191.6999969482422,199.4499969482422,188.6999969482422,199.4499969482422,39723,2020-10-26
2020-11-02,184.8363800048828,196.75,204.0,190.10000610351562,194.60000610351562,92806,2020-11-02
2020-11-09,196.76736450195312,209.4499969482422,213.0,190.0,203.5,216163,2020-11-09
2020-11-16,200.4312286376953,213.35000610351562,216.9499969482422,207.89999389648438,209.89999389648438,117683,2020-11-16
2020-11-23,202.6859130859375,215.75,219.39999389648438,212.4499969482422,213.60000610351562,112821,2020-11-23
2020-11-30,207.2663116455078,217.5500030517578,218.9499969482422,212.85000610351562,215.75,122853,2020-11-30
