Date,Adj Close_INDRAMEDCO.NS,Close_INDRAMEDCO.NS,High_INDRAMEDCO.NS,Low_INDRAMEDCO.NS,Open_INDRAMEDCO.NS,Volume_INDRAMEDCO.NS,Date
2020-07-13,47.22990798950195,50.29999923706055,52.349998474121094,48.599998474121094,52.349998474121094,560355,2020-07-13
2020-07-20,46.572628021240234,49.599998474121094,52.0,49.099998474121094,51.0,972102,2020-07-20
2020-07-27,52.91063690185547,56.349998474121094,61.150001525878906,49.20000076293945,50.0,11114443,2020-07-27
2020-08-03,51.92472457885742,55.29999923706055,56.79999923706055,53.849998474121094,56.150001525878906,1568842,2020-08-03
2020-08-10,52.01862335205078,55.400001525878906,57.79999923706055,55.04999923706055,55.849998474121094,1348975,2020-08-10
2020-08-17,56.19701385498047,59.849998474121094,61.0,54.79999923706055,56.400001525878906,2445802,2020-08-17
2020-08-24,49.53036880493164,52.75,61.400001525878906,52.54999923706055,60.400001525878906,2357193,2020-08-24
2020-08-31,46.572628021240234,49.599998474121094,53.45000076293945,49.0,53.45000076293945,892799,2020-08-31
2020-09-07,44.835548400878906,47.75,50.150001525878906,45.29999923706055,50.0,572080,2020-09-07
2020-09-14,47.18295669555664,50.25,51.79999923706055,47.5,48.04999923706055,1023044,2020-09-14
2020-09-21,49.20173263549805,52.400001525878906,52.79999923706055,45.29999923706055,50.0,2285345,2020-09-21
2020-09-28,46.61957931518555,49.650001525878906,52.70000076293945,49.45000076293945,52.70000076293945,509424,2020-09-28
2020-10-05,47.22990798950195,50.29999923706055,55.400001525878906,49.5,49.900001525878906,1874851,2020-10-05
2020-10-12,46.85432434082031,49.900001525878906,55.0,49.29999923706055,51.04999923706055,1585569,2020-10-12
2020-10-19,46.71347427368164,49.75,51.150001525878906,49.349998474121094,50.70000076293945,449313,2020-10-19
2020-10-26,45.868404388427734,48.849998474121094,53.0,48.45000076293945,50.0,1356855,2020-10-26
2020-11-02,46.66653060913086,49.70000076293945,50.150001525878906,47.70000076293945,49.45000076293945,437342,2020-11-02
2020-11-09,46.61957931518555,49.650001525878906,50.20000076293945,48.599998474121094,50.04999923706055,760685,2020-11-09
2020-11-16,48.77920150756836,51.95000076293945,52.900001525878906,49.099998474121094,49.349998474121094,1238133,2020-11-16
2020-11-23,48.49750518798828,51.650001525878906,53.5,51.0,52.5,1300258,2020-11-23
2020-11-30,50.28153610229492,53.54999923706055,56.45000076293945,51.0,51.650001525878906,2875915,2020-11-30
2020-12-07,57.60546112060547,61.349998474121094,69.75,53.5,54.04999923706055,11750484,2020-12-07
2020-12-14,54.929412841796875,58.5,62.849998474121094,57.599998474121094,62.0,1909911,2020-12-14
2020-12-21,54.69466781616211,58.25,58.900001525878906,53.20000076293945,58.400001525878906,1547340,2020-12-21
2020-12-28,53.84960174560547,57.349998474121094,59.70000076293945,57.0,58.599998474121094,813196,2020-12-28
2021-01-04,55.21110534667969,58.79999923706055,61.0,56.79999923706055,57.849998474121094,1708633,2021-01-04
2021-01-11,53.66181564331055,57.150001525878906,59.20000076293945,56.650001525878906,59.0,1112395,2021-01-11
2021-01-18,52.62894821166992,56.04999923706055,57.849998474121094,51.900001525878906,56.70000076293945,1117949,2021-01-18
2021-01-25,49.624263763427734,52.849998474121094,56.79999923706055,51.95000076293945,56.45000076293945,630920,2021-01-25
2021-02-01,51.07966232299805,54.400001525878906,55.79999923706055,53.04999923706055,54.400001525878906,665386,2021-02-01
2021-02-08,49.20173263549805,52.400001525878906,55.70000076293945,52.150001525878906,54.5,918559,2021-02-08
2021-02-15,49.718162536621094,52.95000076293945,55.400001525878906,52.150001525878906,52.900001525878906,1196506,2021-02-15
