Date,Adj Close_KRBL.NS,Close_KRBL.NS,High_KRBL.NS,Low_KRBL.NS,Open_KRBL.NS,Volume_KRBL.NS,Date
2020-07-13,243.09800720214844,252.89999389648438,261.79998779296875,248.0,257.8999938964844,868885,2020-07-13
2020-07-20,242.857666015625,252.64999389648438,265.5,249.0500030517578,254.8000030517578,1285784,2020-07-20
2020-07-27,260.06390380859375,270.54998779296875,274.0,245.1999969482422,253.60000610351562,1613261,2020-07-27
2020-08-03,291.64068603515625,303.3999938964844,318.6499938964844,268.8500061035156,272.8999938964844,4338389,2020-08-03
2020-08-10,275.05926513671875,286.1499938964844,339.0,285.04998779296875,305.79998779296875,4521397,2020-08-10
2020-08-17,282.17242431640625,293.54998779296875,299.70001220703125,285.3999938964844,288.8999938964844,857349,2020-08-17
2020-08-24,270.92596435546875,281.8500061035156,296.3500061035156,280.25,295.0,780188,2020-08-24
2020-08-31,252.66233825683594,262.8500061035156,288.75,255.0,285.6000061035156,1226190,2020-08-31
2020-09-07,246.22203063964844,256.1499938964844,265.0,232.25,264.70001220703125,1204950,2020-09-07
2020-09-14,267.94610595703125,278.75,284.0,257.54998779296875,260.0,1270551,2020-09-14
2020-09-21,273.85772705078125,284.8999938964844,288.0,244.5,282.0,1150327,2020-09-21
2020-09-28,277.2701721191406,288.45001220703125,299.3999938964844,282.0,291.8999938964844,1615756,2020-09-28
2020-10-05,263.86083984375,274.5,298.0,273.0,286.04998779296875,1133688,2020-10-05
2020-10-12,250.78790283203125,260.8999938964844,284.0,256.79998779296875,276.5,616621,2020-10-12
2020-10-19,245.4049835205078,255.3000030517578,268.75,251.5,263.3999938964844,1019095,2020-10-19
2020-10-26,245.93365478515625,255.85000610351562,267.0,249.0,253.39999389648438,871017,2020-10-26
2020-11-02,255.93057250976562,266.25,270.54998779296875,244.8000030517578,258.0,1027385,2020-11-02
2020-11-09,247.32745361328125,257.29998779296875,271.8999938964844,238.3000030517578,270.3999938964844,1412702,2020-11-09
2020-11-16,240.79103088378906,250.5,259.5,248.75,255.25,1114998,2020-11-16
2020-11-23,247.8080596923828,257.79998779296875,268.5,247.0,252.5,2613867,2020-11-23
2020-11-30,266.9367980957031,277.70001220703125,293.0,257.20001220703125,257.79998779296875,3603476,2020-11-30
2020-12-07,241.46388244628906,251.1999969482422,282.70001220703125,247.5,278.6499938964844,3240738,2020-12-07
2020-12-14,238.91661071777344,248.5500030517578,256.0,245.10000610351562,253.39999389648438,2176201,2020-12-14
2020-12-21,237.9073028564453,247.5,250.39999389648438,225.0,248.0,1371992,2020-12-21
2020-12-28,240.5507049560547,250.25,256.75,242.0,248.64999389648438,1965421,2020-12-28
2021-01-04,235.55226135253906,245.0500030517578,253.85000610351562,241.75,252.5,2721724,2021-01-04
2021-01-11,228.87161254882812,238.10000610351562,249.5,236.5,247.4499969482422,1260935,2021-01-11
2021-01-18,215.5584259033203,224.25,238.9499969482422,222.1999969482422,238.0,1221605,2021-01-18
2021-01-25,227.95843505859375,237.14999389648438,244.14999389648438,220.25,226.75,1297653,2021-01-25
2021-02-01,192.82505798339844,200.60000610351562,221.5,192.0500030517578,205.0,6252607,2021-02-01
2021-02-08,183.93359375,191.35000610351562,212.25,190.10000610351562,203.0,4231745,2021-02-08
2021-02-15,202.91812133789062,211.10000610351562,221.0,185.4499969482422,192.5500030517578,4269633,2021-02-15
2021-02-22,189.26844787597656,196.89999389648438,216.5,195.64999389648438,212.75,2171273,2021-02-22
2021-03-01,187.39404296875,194.9499969482422,205.85000610351562,194.0,198.8000030517578,2251823,2021-03-01
2021-03-08,184.99093627929688,192.4499969482422,201.0,191.0,196.0,1971102,2021-03-08
2021-03-15,176.62814331054688,183.75,192.89999389648438,176.0,192.4499969482422,1609290,2021-03-15
2021-03-22,176.72427368164062,183.85000610351562,195.9499969482422,183.10000610351562,185.14999389648438,1842137,2021-03-22
2021-03-29,172.11032104492188,179.0500030517578,185.89999389648438,178.60000610351562,183.85000610351562,1244253,2021-03-29
2021-04-05,184.36614990234375,191.8000030517578,199.1999969482422,178.0,180.0500030517578,3228728,2021-04-05
2021-04-12,176.00335693359375,183.10000610351562,189.5,179.0,189.5,1251801,2021-04-12
2021-04-19,172.15838623046875,179.10000610351562,182.14999389648438,173.14999389648438,178.0,1207132,2021-04-19
2021-04-26,177.44520568847656,184.60000610351562,189.1999969482422,179.0,180.0,1723320,2021-04-26
2021-05-03,198.15994262695312,206.14999389648438,225.64999389648438,183.0,184.39999389648438,9779170,2021-05-03
2021-05-10,211.13671875,219.64999389648438,243.39999389648438,205.35000610351562,207.89999389648438,6881866,2021-05-10
2021-05-17,233.87008666992188,243.3000030517578,248.64999389648438,221.64999389648438,221.64999389648438,5775157,2021-05-17
2021-05-24,206.37857055664062,214.6999969482422,248.3000030517578,213.0,248.0,5021936,2021-05-24
2021-05-31,218.490234375,227.3000030517578,232.0,201.5,216.89999389648438,8621785,2021-05-31
2021-06-07,222.5754852294922,231.5500030517578,242.0,225.0,229.39999389648438,6398647,2021-06-07
2021-06-14,220.556884765625,229.4499969482422,241.64999389648438,222.0,233.0,5639982,2021-06-14
2021-06-21,244.3476104736328,254.1999969482422,264.95001220703125,225.0,227.0,13224476,2021-06-21
2021-06-28,246.02978515625,255.9499969482422,261.3999938964844,234.0,251.3000030517578,9026047,2021-06-28
2021-07-05,263.76470947265625,274.3999938964844,304.0,257.1499938964844,257.8999938964844,23249703,2021-07-05
2021-07-12,274.38641357421875,285.45001220703125,303.0,275.0,275.0,10627132,2021-07-12
2021-07-19,269.5321350097656,280.3999938964844,292.54998779296875,274.0,288.25,2953895,2021-07-19
