Date,Adj Close_BORORENEW.NS,Close_BORORENEW.NS,High_BORORENEW.NS,Low_BORORENEW.NS,Open_BORORENEW.NS,Volume_BORORENEW.NS,Date
2020-07-13,92.25,92.25,92.25,75.8499984741211,75.8499984741211,1989948,2020-07-13
2020-07-20,78.0999984741211,78.0999984741211,92.0,75.25,92.0,2977101,2020-07-20
2020-07-27,77.75,77.75,81.0,67.6500015258789,76.0,1517772,2020-07-27
2020-08-03,80.80000305175781,80.80000305175781,82.5,73.25,77.6500015258789,1463242,2020-08-03
2020-08-10,78.19999694824219,78.19999694824219,83.5,76.0,83.0,993353,2020-08-10
2020-08-17,83.30000305175781,83.30000305175781,87.80000305175781,76.0,78.4000015258789,1652563,2020-08-17
2020-08-24,81.05000305175781,81.05000305175781,85.8499984741211,80.5,84.0,983709,2020-08-24
2020-08-31,76.1500015258789,76.1500015258789,81.94999694824219,74.0,81.94999694824219,704518,2020-08-31
2020-09-07,75.3499984741211,75.3499984741211,77.8499984741211,71.0,76.1500015258789,445135,2020-09-07
2020-09-14,74.5,74.5,80.19999694824219,74.0,75.5,769580,2020-09-14
2020-09-21,71.19999694824219,71.19999694824219,75.1500015258789,67.5,75.0,546773,2020-09-21
2020-09-28,72.9000015258789,72.9000015258789,76.25,71.5,72.9000015258789,381525,2020-09-28
2020-10-05,75.8499984741211,75.8499984741211,81.75,72.8499984741211,72.9000015258789,926590,2020-10-05
2020-10-12,77.9000015258789,77.9000015258789,80.5,72.5,76.94999694824219,704650,2020-10-12
2020-10-19,93.69999694824219,93.69999694824219,112.6500015258789,78.30000305175781,79.94999694824219,8011212,2020-10-19
2020-10-26,92.19999694824219,92.19999694824219,102.80000305175781,85.3499984741211,94.8499984741211,2875049,2020-10-26
2020-11-02,98.69999694824219,98.69999694824219,102.9000015258789,90.75,92.80000305175781,2752327,2020-11-02
2020-11-09,101.8499984741211,101.8499984741211,105.0,93.0,99.69999694824219,2328429,2020-11-09
2020-11-16,115.19999694824219,115.19999694824219,122.0,100.44999694824219,102.0,4337769,2020-11-16
2020-11-23,125.69999694824219,125.69999694824219,128.85000610351562,112.94999694824219,115.9000015258789,4575159,2020-11-23
2020-11-30,131.9499969482422,131.9499969482422,140.6999969482422,125.69999694824219,125.69999694824219,2495851,2020-11-30
2020-12-07,131.25,131.25,138.75,127.19999694824219,132.39999389648438,1281358,2020-12-07
2020-12-14,167.1999969482422,167.1999969482422,181.0,132.9499969482422,132.9499969482422,7076643,2020-12-14
2020-12-21,231.39999389648438,231.39999389648438,245.14999389648438,161.0,167.0500030517578,14976883,2020-12-21
2020-12-28,285.45001220703125,285.45001220703125,323.25,222.0500030517578,235.0,11982990,2020-12-28
2021-01-04,283.0,283.0,314.6499938964844,265.04998779296875,280.0,10533698,2021-01-04
2021-01-11,274.3999938964844,274.3999938964844,294.70001220703125,269.0,289.8999938964844,3792829,2021-01-11
2021-01-18,254.8000030517578,254.8000030517578,278.79998779296875,236.3000030517578,275.0,5724022,2021-01-18
2021-01-25,274.45001220703125,274.45001220703125,285.0,245.5,255.3000030517578,2410031,2021-01-25
2021-02-01,271.0,271.0,285.0,267.5,275.1000061035156,2322207,2021-02-01
2021-02-08,298.1000061035156,298.1000061035156,317.3999938964844,270.0,273.0,5441370,2021-02-08
2021-02-15,281.3500061035156,281.3500061035156,324.0,278.0,324.0,3272825,2021-02-15
2021-02-22,282.3999938964844,282.3999938964844,304.75,274.1000061035156,285.95001220703125,3312195,2021-02-22
2021-03-01,278.54998779296875,278.54998779296875,294.3999938964844,278.0,292.20001220703125,1722875,2021-03-01
2021-03-08,284.0,284.0,298.79998779296875,261.25,282.0,3231337,2021-03-08
2021-03-15,264.04998779296875,264.04998779296875,288.0,238.5,288.0,2179693,2021-03-15
2021-03-22,244.85000610351562,244.85000610351562,267.70001220703125,240.0,264.0,1427539,2021-03-22
2021-03-29,249.5,249.5,259.8999938964844,244.10000610351562,244.85000610351562,806824,2021-03-29
2021-04-05,243.9499969482422,243.9499969482422,264.95001220703125,241.0,249.6999969482422,2771220,2021-04-05
2021-04-12,230.60000610351562,230.60000610351562,241.0,220.0,240.0,2287756,2021-04-12
2021-04-19,236.5,236.5,248.89999389648438,213.25,225.9499969482422,2330871,2021-04-19
2021-04-26,231.39999389648438,231.39999389648438,243.75,230.0,238.0,1274822,2021-04-26
2021-05-03,253.3000030517578,253.3000030517578,262.0,228.5500030517578,230.10000610351562,4119897,2021-05-03
2021-05-10,276.25,276.25,285.70001220703125,254.39999389648438,256.0,8060733,2021-05-10
2021-05-17,287.3500061035156,287.3500061035156,298.3999938964844,270.0,281.0,7294708,2021-05-17
