Date,Adj Close_LUXIND.NS,Close_LUXIND.NS,High_LUXIND.NS,Low_LUXIND.NS,Open_LUXIND.NS,Volume_LUXIND.NS,Date
2020-07-13,1140.9666748046875,1151.300048828125,1210.0,1136.050048828125,1186.0,127140,2020-07-13
2020-07-20,1157.0709228515625,1167.550048828125,1215.0,1114.699951171875,1145.0,278039,2020-07-20
2020-07-27,1112.028564453125,1122.0999755859375,1183.0,1115.0999755859375,1183.0,199027,2020-07-27
2020-08-03,1168.5667724609375,1179.1500244140625,1193.949951171875,1104.8499755859375,1127.75,203964,2020-08-03
2020-08-10,1364.195068359375,1376.550048828125,1449.9000244140625,1178.8499755859375,1188.9000244140625,532389,2020-08-10
2020-08-17,1364.59130859375,1376.949951171875,1480.0,1354.0999755859375,1390.0,564723,2020-08-17
2020-08-24,1352.2530517578125,1364.5,1387.0,1328.0,1384.9000244140625,300484,2020-08-24
2020-08-31,1337.09033203125,1349.199951171875,1410.0,1249.5999755859375,1368.0,418250,2020-08-31
2020-09-07,1363.3525390625,1375.699951171875,1414.199951171875,1332.0,1364.949951171875,568665,2020-09-07
2020-09-14,1396.155517578125,1408.800048828125,1444.0,1376.0999755859375,1394.0,698472,2020-09-14
2020-09-21,1395.0926513671875,1405.25,1429.0,1316.0,1415.699951171875,309709,2020-09-21
2020-09-28,1432.6195068359375,1443.050048828125,1475.0,1401.25,1427.050048828125,277688,2020-09-28
2020-10-05,1443.63916015625,1454.1500244140625,1493.949951171875,1402.050048828125,1449.9000244140625,524114,2020-10-05
2020-10-12,1391.9654541015625,1402.0999755859375,1472.0,1387.050048828125,1441.0,542267,2020-10-12
2020-10-19,1372.70556640625,1382.699951171875,1434.9000244140625,1350.0999755859375,1410.0999755859375,196808,2020-10-19
2020-10-26,1390.7740478515625,1400.9000244140625,1459.0,1340.0999755859375,1389.550048828125,293369,2020-10-26
2020-11-02,1406.7080078125,1416.949951171875,1439.3499755859375,1370.0,1400.0,443181,2020-11-02
2020-11-09,1514.87060546875,1525.9000244140625,1564.5,1404.0,1427.5999755859375,470095,2020-11-09
2020-11-16,1541.3775634765625,1552.5999755859375,1599.0,1489.0,1517.75,176569,2020-11-16
2020-11-23,1594.8880615234375,1606.5,1644.0,1543.550048828125,1543.550048828125,185886,2020-11-23
2020-11-30,1582.180419921875,1593.699951171875,1618.9000244140625,1564.0,1606.5,142920,2020-11-30
2020-12-07,1539.441650390625,1550.6500244140625,1618.9000244140625,1541.0,1604.0,194088,2020-12-07
2020-12-14,1609.630615234375,1621.3499755859375,1635.0,1535.5,1557.949951171875,199092,2020-12-14
2020-12-21,1587.7896728515625,1599.3499755859375,1632.449951171875,1514.949951171875,1621.5,155810,2020-12-21
2020-12-28,1653.4615478515625,1665.5,1723.0,1607.050048828125,1623.949951171875,381781,2020-12-28
2021-01-04,1683.19482421875,1695.449951171875,1709.699951171875,1630.0,1664.5,205376,2021-01-04
2021-01-11,1609.0845947265625,1620.800048828125,1702.949951171875,1611.050048828125,1680.0999755859375,194287,2021-01-11
2021-01-18,1590.5196533203125,1602.0999755859375,1659.9000244140625,1567.0999755859375,1630.0,172818,2021-01-18
2021-01-25,1626.755859375,1638.5999755859375,1649.949951171875,1585.1500244140625,1610.0,184285,2021-01-25
2021-02-01,1658.226806640625,1670.300048828125,1687.449951171875,1610.0,1638.5,295048,2021-02-01
2021-02-08,1825.161376953125,1838.449951171875,1874.0,1660.0999755859375,1660.0999755859375,312885,2021-02-08
2021-02-15,1765.3468017578125,1778.199951171875,1900.0,1759.9000244140625,1900.0,261825,2021-02-15
2021-02-22,1719.679443359375,1732.199951171875,1865.5999755859375,1712.3499755859375,1765.0,167338,2021-02-22
2021-03-01,1696.9945068359375,1709.3499755859375,1794.800048828125,1703.0,1764.0,175784,2021-03-01
2021-03-08,1736.9534912109375,1749.5999755859375,1799.9000244140625,1680.0,1718.300048828125,198531,2021-03-08
2021-03-15,1697.6895751953125,1710.050048828125,1759.699951171875,1641.199951171875,1758.0,210428,2021-03-15
2021-03-22,1761.57421875,1774.4000244140625,1794.0,1638.5999755859375,1745.0,347450,2021-03-22
2021-03-29,1814.389892578125,1827.5999755859375,1844.0,1721.0,1774.4000244140625,714355,2021-03-29
2021-04-05,1924.9349365234375,1938.949951171875,1966.25,1780.0,1852.800048828125,370338,2021-04-05
2021-04-12,1950.1513671875,1964.3499755859375,2009.949951171875,1862.5999755859375,1910.0,205573,2021-04-12
2021-04-19,1841.8896484375,1855.300048828125,1956.0,1810.0,1956.0,142632,2021-04-19
2021-04-26,1891.5777587890625,1905.3499755859375,1999.0,1846.25,1870.0,990137,2021-04-26
2021-05-03,1965.9365234375,1980.25,2000.0,1875.0,1904.9000244140625,241901,2021-05-03
2021-05-10,1989.3162841796875,2003.800048828125,2088.0,1972.300048828125,1980.0,264191,2021-05-10
2021-05-17,2026.8927001953125,2041.6500244140625,2143.89990234375,1999.0,2027.199951171875,653720,2021-05-17
2021-05-24,3230.4794921875,3254.0,3323.89990234375,2059.89990234375,2059.89990234375,4925995,2021-05-24
2021-05-31,3227.997802734375,3251.5,3459.89990234375,2944.5,3199.949951171875,1143427,2021-05-31
2021-06-07,3500.861083984375,3526.35009765625,3573.0,3150.050048828125,3319.0,550412,2021-06-07
2021-06-14,3398.15869140625,3422.89990234375,3595.0,3290.0,3575.0,357626,2021-06-14
2021-06-21,3575.716064453125,3601.75,3780.0,3333.0,3388.0,366390,2021-06-21
2021-06-28,3676.63134765625,3703.39990234375,3875.449951171875,3536.0,3612.0,239452,2021-06-28
2021-07-05,3694.45166015625,3721.35009765625,3845.0,3660.050048828125,3736.0,196091,2021-07-05
2021-07-12,3655.087890625,3681.699951171875,3735.39990234375,3610.0,3734.0,342541,2021-07-12
2021-07-19,4019.981201171875,4049.25,4125.0,3611.5,3650.0,337185,2021-07-19
2021-07-26,4131.3701171875,4161.4501953125,4350.0,3985.35009765625,4081.0,410179,2021-07-26
2021-08-02,4220.62060546875,4251.35009765625,4280.0,4095.0,4162.0,267254,2021-08-02
2021-08-09,4133.2568359375,4163.35009765625,4343.0,3939.0,4251.35009765625,365587,2021-08-09
2021-08-16,4114.79052734375,4144.75,4184.9501953125,3811.050048828125,4163.35009765625,272732,2021-08-16
