Date,Adj Close_TATACHEM.NS,Close_TATACHEM.NS,High_TATACHEM.NS,Low_TATACHEM.NS,Open_TATACHEM.NS,Volume_TATACHEM.NS,Date
2020-07-13,279.6058654785156,299.8999938964844,307.79998779296875,289.25,306.70001220703125,5181225,2020-07-13
2020-07-20,281.14422607421875,301.54998779296875,310.3500061035156,300.70001220703125,303.0,7955029,2020-07-20
2020-07-27,285.0133972167969,305.70001220703125,315.0,297.1000061035156,301.0,10095689,2020-07-27
2020-08-03,280.4915771484375,300.8500061035156,304.5,293.25,301.0,6570497,2020-08-03
2020-08-10,275.03741455078125,295.0,305.0,292.54998779296875,303.29998779296875,5720627,2020-08-10
2020-08-17,294.0103759765625,315.3500061035156,321.8999938964844,291.5,298.5,20999824,2020-08-17
2020-08-24,305.71112060546875,327.8999938964844,345.8999938964844,316.0,319.8999938964844,35596050,2020-08-24
2020-08-31,282.7757873535156,303.29998779296875,333.0,297.75,333.0,15837121,2020-08-31
2020-09-07,273.2194519042969,293.04998779296875,307.0,281.70001220703125,303.5,14187908,2020-09-07
2020-09-14,270.6554870605469,290.29998779296875,312.8999938964844,288.3999938964844,294.8500061035156,15769737,2020-09-14
2020-09-21,271.0284423828125,290.70001220703125,300.8999938964844,273.45001220703125,291.70001220703125,21917967,2020-09-21
2020-09-28,281.19085693359375,301.6000061035156,306.95001220703125,292.54998779296875,295.25,10369607,2020-09-28
2020-10-05,281.14422607421875,301.54998779296875,311.29998779296875,298.5,301.6000061035156,7993305,2020-10-05
2020-10-12,298.0194091796875,319.6499938964844,323.5,298.95001220703125,302.75,24179953,2020-10-12
2020-10-19,300.11712646484375,321.8999938964844,326.0,314.75,322.0,10889097,2020-10-19
2020-10-26,300.53668212890625,322.3500061035156,331.45001220703125,312.6000061035156,321.29998779296875,12442790,2020-10-26
2020-11-02,296.10809326171875,317.6000061035156,324.0,303.0,319.95001220703125,8001419,2020-11-02
2020-11-09,302.4013671875,324.3500061035156,329.75,312.5,318.0,6886779,2020-11-09
2020-11-16,332.2359619140625,356.3500061035156,368.8500061035156,318.1000061035156,324.5,27167608,2020-11-16
2020-11-23,365.5667419433594,392.1000061035156,396.95001220703125,351.1000061035156,359.20001220703125,23488296,2020-11-23
2020-11-30,457.6809997558594,490.8999938964844,495.5,386.95001220703125,392.1000061035156,65004870,2020-11-30
2020-12-07,473.7637023925781,508.1499938964844,527.0,498.1000061035156,505.25,65414435,2020-12-07
2020-12-14,456.7020568847656,489.8500061035156,513.4500122070312,487.3999938964844,510.0,17289295,2020-12-14
2020-12-21,443.97576904296875,476.20001220703125,490.95001220703125,440.8999938964844,489.8999938964844,19419186,2020-12-21
