Date,Adj Close_HMVL.NS,Close_HMVL.NS,High_HMVL.NS,Low_HMVL.NS,Open_HMVL.NS,Volume_HMVL.NS,Date
2020-07-13,49.04999923706055,49.04999923706055,50.5,47.70000076293945,49.349998474121094,73491,2020-07-13
2020-07-20,49.599998474121094,49.599998474121094,50.95000076293945,49.0,50.20000076293945,86334,2020-07-20
2020-07-27,45.599998474121094,45.599998474121094,50.400001525878906,45.29999923706055,50.349998474121094,124360,2020-07-27
2020-08-03,46.849998474121094,46.849998474121094,47.349998474121094,45.0,45.0,76575,2020-08-03
2020-08-10,48.79999923706055,48.79999923706055,50.29999923706055,45.70000076293945,47.20000076293945,106105,2020-08-10
2020-08-17,51.400001525878906,51.400001525878906,53.95000076293945,47.849998474121094,51.0,312467,2020-08-17
2020-08-24,55.25,55.25,58.29999923706055,51.75,52.95000076293945,342228,2020-08-24
2020-08-31,51.79999923706055,51.79999923706055,57.75,50.5,57.04999923706055,127194,2020-08-31
2020-09-07,52.849998474121094,52.849998474121094,53.75,47.95000076293945,52.54999923706055,87658,2020-09-07
2020-09-14,51.70000076293945,51.70000076293945,55.75,51.25,53.0,126668,2020-09-14
2020-09-21,47.0,47.0,53.0,45.95000076293945,53.0,82683,2020-09-21
2020-09-28,49.25,49.25,49.900001525878906,47.099998474121094,48.5,40219,2020-09-28
2020-10-05,47.75,47.75,50.45000076293945,47.29999923706055,50.0,34684,2020-10-05
2020-10-12,46.349998474121094,46.349998474121094,49.349998474121094,44.79999923706055,48.04999923706055,84648,2020-10-12
2020-10-19,49.20000076293945,49.20000076293945,49.79999923706055,45.599998474121094,46.04999923706055,39118,2020-10-19
2020-10-26,50.29999923706055,50.29999923706055,52.79999923706055,48.099998474121094,50.0,417077,2020-10-26
2020-11-02,50.0,50.0,51.349998474121094,48.0,50.29999923706055,99345,2020-11-02
2020-11-09,50.0,50.0,52.400001525878906,48.20000076293945,49.95000076293945,59282,2020-11-09
2020-11-16,54.25,54.25,56.599998474121094,48.45000076293945,50.400001525878906,319597,2020-11-16
2020-11-23,57.0,57.0,60.0,50.5,54.45000076293945,372419,2020-11-23
2020-11-30,54.70000076293945,54.70000076293945,59.0,51.95000076293945,57.0,288985,2020-11-30
2020-12-07,57.04999923706055,57.04999923706055,58.900001525878906,53.5,53.599998474121094,385036,2020-12-07
2020-12-14,57.900001525878906,57.900001525878906,64.19999694824219,56.5,57.04999923706055,834092,2020-12-14
2020-12-21,56.5,56.5,59.599998474121094,49.0,59.599998474121094,328507,2020-12-21
2020-12-28,57.400001525878906,57.400001525878906,58.79999923706055,54.25,54.79999923706055,135019,2020-12-28
2021-01-04,59.20000076293945,59.20000076293945,62.25,57.20000076293945,57.400001525878906,1212966,2021-01-04
2021-01-11,57.400001525878906,57.400001525878906,60.95000076293945,56.20000076293945,60.0,543473,2021-01-11
2021-01-18,54.95000076293945,54.95000076293945,59.900001525878906,51.349998474121094,58.0,871187,2021-01-18
2021-01-25,53.95000076293945,53.95000076293945,55.5,52.5,55.5,114789,2021-01-25
2021-02-01,55.45000076293945,55.45000076293945,57.20000076293945,53.25,54.79999923706055,268721,2021-02-01
2021-02-08,54.0,54.0,56.75,53.599998474121094,55.20000076293945,176569,2021-02-08
2021-02-15,58.099998474121094,58.099998474121094,60.900001525878906,53.0,54.04999923706055,396526,2021-02-15
2021-02-22,64.80000305175781,64.80000305175781,67.3499984741211,58.099998474121094,58.20000076293945,1060615,2021-02-22
2021-03-01,66.94999694824219,66.94999694824219,74.0,65.25,69.4000015258789,574810,2021-03-01
2021-03-08,71.1500015258789,71.1500015258789,76.05000305175781,66.94999694824219,66.94999694824219,518225,2021-03-08
