Date,Adj Close_MTARTECH.NS,Close_MTARTECH.NS,High_MTARTECH.NS,Low_MTARTECH.NS,Open_MTARTECH.NS,Volume_MTARTECH.NS,Date
2021-03-15,965.9796752929688,969.4500122070312,1154.9000244140625,860.0,1050.0,25391972,2021-03-15
2021-03-22,1014.0570068359375,1017.7000122070312,1076.300048828125,960.1500244140625,973.9000244140625,3862032,2021-03-22
2021-03-29,1041.9068603515625,1045.6500244140625,1059.0,990.9000244140625,1017.7000122070312,785632,2021-03-29
2021-04-05,1024.6688232421875,1028.3499755859375,1070.0,1007.1500244140625,1050.0,1307413,2021-04-05
2021-04-12,946.4000244140625,949.7999877929688,1019.2000122070312,943.0499877929688,1018.0,1092794,2021-04-12
2021-04-19,954.221923828125,957.6500244140625,979.0,914.1500244140625,940.0,678163,2021-04-19
2021-04-26,930.2081909179688,933.5499877929688,971.0,930.0,965.0,505566,2021-04-26
2021-05-03,905.5966186523438,908.8499755859375,948.5499877929688,905.0,928.0,478558,2021-05-03
2021-05-10,892.29443359375,895.5,917.0,887.9500122070312,917.0,418920,2021-05-10
2021-05-17,922.6851806640625,926.0,947.7999877929688,900.0,901.9500122070312,565709,2021-05-17
2021-05-24,978.5843505859375,982.0999755859375,1034.699951171875,925.0,935.2000122070312,955918,2021-05-24
2021-05-31,1005.0394287109375,1008.6500244140625,1078.949951171875,953.25,982.0999755859375,1445128,2021-05-31
2021-06-07,1024.6190185546875,1028.300048828125,1048.050048828125,981.9000244140625,1017.6500244140625,889379,2021-06-07
2021-06-14,983.0682983398438,986.5999755859375,1035.0,957.0999755859375,1034.949951171875,553713,2021-06-14
2021-06-21,1021.330810546875,1025.0,1036.949951171875,967.0999755859375,986.5999755859375,492730,2021-06-21
2021-06-28,1252.2012939453125,1256.699951171875,1299.0,1002.3499755859375,1033.199951171875,5223895,2021-06-28
2021-07-05,1371.273681640625,1376.199951171875,1456.0,1280.0,1283.0,5545071,2021-07-05
2021-07-12,1472.360595703125,1477.6500244140625,1563.949951171875,1340.5999755859375,1390.5999755859375,3683545,2021-07-12
