Date,Adj Close_ENTERO.NS,Close_ENTERO.NS,High_ENTERO.NS,Low_ENTERO.NS,Open_ENTERO.NS,Volume_ENTERO.NS,Date
2024-02-12,1149.550048828125,1149.550048828125,1258.0,1141.0,1228.699951171875,1788742,2024-02-12
2024-02-19,1169.1500244140625,1169.1500244140625,1198.0,1105.8499755859375,1149.5,1725047,2024-02-19
2024-02-26,1017.5,1017.5,1185.1500244140625,1002.3499755859375,1146.550048828125,1493149,2024-02-26
2024-03-04,1094.199951171875,1094.199951171875,1099.9000244140625,1010.0,1028.25,750313,2024-03-04
2024-03-11,1006.2999877929688,1006.2999877929688,1124.0,980.3499755859375,1100.25,828093,2024-03-11
2024-03-18,991.5499877929688,991.5499877929688,1053.449951171875,984.0,1010.9500122070312,395718,2024-03-18
2024-03-25,987.4500122070312,987.4500122070312,1010.0999755859375,970.0,991.5499877929688,266293,2024-03-25
2024-04-01,1005.9000244140625,1005.9000244140625,1014.0,985.3499755859375,995.0,243556,2024-04-01
2024-04-08,1170.550048828125,1170.550048828125,1202.300048828125,992.0,1006.9500122070312,959003,2024-04-08
2024-04-15,1128.199951171875,1128.199951171875,1165.0,1080.0,1165.0,322620,2024-04-15
2024-04-22,1151.75,1151.75,1225.0,1130.0,1134.949951171875,654142,2024-04-22
2024-04-29,1096.0,1096.0,1206.0,1078.1500244140625,1151.75,183513,2024-04-29
2024-05-06,1047.0999755859375,1047.0999755859375,1111.949951171875,1023.1500244140625,1100.0,146302,2024-05-06
2024-05-13,1043.9000244140625,1043.9000244140625,1120.5,1002.8499755859375,1056.949951171875,304298,2024-05-13
2024-05-20,1022.6500244140625,1022.6500244140625,1080.0,1017.0,1064.300048828125,230148,2024-05-20
2024-05-27,1028.3499755859375,1028.3499755859375,1060.0,994.0,1027.949951171875,411659,2024-05-27
2024-06-03,1035.5,1035.5,1044.949951171875,991.0999755859375,1035.0999755859375,220584,2024-06-03
2024-06-10,1027.5999755859375,1027.5999755859375,1064.0,1009.0,1064.0,275619,2024-06-10
2024-06-17,1040.5,1040.5,1069.0,1024.5,1027.5999755859375,456528,2024-06-17
