Date,Adj Close_LOKESHMACH.NS,Close_LOKESHMACH.NS,High_LOKESHMACH.NS,Low_LOKESHMACH.NS,Open_LOKESHMACH.NS,Volume_LOKESHMACH.NS,Date
2020-07-13,23.399999618530273,23.399999618530273,24.299999237060547,21.200000762939453,23.899999618530273,146978,2020-07-13
2020-07-20,25.049999237060547,25.049999237060547,25.75,21.200000762939453,23.950000762939453,532806,2020-07-20
2020-07-27,22.200000762939453,22.200000762939453,25.0,21.649999618530273,25.0,349264,2020-07-27
2020-08-03,23.399999618530273,23.399999618530273,23.799999237060547,21.049999237060547,22.200000762939453,292942,2020-08-03
2020-08-10,21.950000762939453,21.950000762939453,24.5,18.600000381469727,23.899999618530273,379977,2020-08-10
2020-08-17,23.200000762939453,23.200000762939453,24.5,21.350000381469727,21.350000381469727,288256,2020-08-17
2020-08-24,23.899999618530273,23.899999618530273,24.299999237060547,22.5,23.799999237060547,226411,2020-08-24
2020-08-31,22.149999618530273,22.149999618530273,24.200000762939453,20.100000381469727,24.100000381469727,167847,2020-08-31
2020-09-07,21.149999618530273,21.149999618530273,22.5,20.200000762939453,22.200000762939453,76792,2020-09-07
2020-09-14,21.549999237060547,21.549999237060547,23.200000762939453,20.299999237060547,21.649999618530273,104447,2020-09-14
2020-09-21,20.100000381469727,20.100000381469727,22.450000762939453,19.450000762939453,22.450000762939453,93397,2020-09-21
2020-09-28,20.0,20.0,21.399999618530273,19.850000381469727,19.850000381469727,24671,2020-09-28
2020-10-05,20.350000381469727,20.350000381469727,21.399999618530273,20.0,20.5,68664,2020-10-05
2020-10-12,19.549999237060547,19.549999237060547,20.350000381469727,18.450000762939453,20.350000381469727,106072,2020-10-12
2020-10-19,20.200000762939453,20.200000762939453,20.5,19.25,19.549999237060547,38621,2020-10-19
2020-10-26,19.649999618530273,19.649999618530273,20.899999618530273,19.149999618530273,20.0,43220,2020-10-26
2020-11-02,20.799999237060547,20.799999237060547,21.5,19.200000762939453,19.5,66353,2020-11-02
2020-11-09,26.0,26.0,27.25,18.25,20.799999237060547,938742,2020-11-09
2020-11-16,23.950000762939453,23.950000762939453,25.950000762939453,23.450000762939453,25.049999237060547,226585,2020-11-16
2020-11-23,24.850000381469727,24.850000381469727,25.799999237060547,22.649999618530273,23.799999237060547,129527,2020-11-23
2020-11-30,27.100000381469727,27.100000381469727,28.399999618530273,23.100000381469727,24.850000381469727,340898,2020-11-30
2020-12-07,31.450000762939453,31.450000762939453,33.0,24.350000381469727,27.149999618530273,959179,2020-12-07
2020-12-14,30.100000381469727,30.100000381469727,32.0,28.899999618530273,31.450000762939453,170650,2020-12-14
2020-12-21,32.25,32.25,32.79999923706055,26.399999618530273,30.0,311424,2020-12-21
2020-12-28,35.400001525878906,35.400001525878906,38.400001525878906,31.200000762939453,31.5,481954,2020-12-28
2021-01-04,42.95000076293945,42.95000076293945,46.79999923706055,33.45000076293945,37.150001525878906,1606912,2021-01-04
2021-01-11,39.20000076293945,39.20000076293945,43.900001525878906,37.849998474121094,41.650001525878906,204676,2021-01-11
2021-01-18,39.79999923706055,39.79999923706055,43.0,37.75,38.099998474121094,150985,2021-01-18
2021-01-25,40.45000076293945,40.45000076293945,44.150001525878906,39.70000076293945,41.150001525878906,137207,2021-01-25
2021-02-01,38.5,38.5,41.599998474121094,38.349998474121094,38.650001525878906,41753,2021-02-01
2021-02-08,38.04999923706055,38.04999923706055,41.54999923706055,36.400001525878906,38.5,90028,2021-02-08
2021-02-15,36.599998474121094,36.599998474121094,38.95000076293945,35.20000076293945,38.95000076293945,52737,2021-02-15
2021-02-22,36.5,36.5,37.400001525878906,33.70000076293945,35.70000076293945,31963,2021-02-22
2021-03-01,35.54999923706055,35.54999923706055,37.45000076293945,35.0,36.400001525878906,36018,2021-03-01
2021-03-08,35.599998474121094,35.599998474121094,36.849998474121094,34.5,34.5,20780,2021-03-08
2021-03-15,34.150001525878906,34.150001525878906,35.75,31.600000381469727,34.79999923706055,29023,2021-03-15
2021-03-22,31.049999237060547,31.049999237060547,35.04999923706055,30.049999237060547,33.79999923706055,34811,2021-03-22
2021-03-29,32.900001525878906,32.900001525878906,32.900001525878906,30.850000381469727,31.049999237060547,14831,2021-03-29
2021-04-05,41.45000076293945,41.45000076293945,41.45000076293945,33.349998474121094,34.0,66630,2021-04-05
2021-04-12,50.25,50.25,50.25,41.70000076293945,43.5,277969,2021-04-12
2021-04-19,49.150001525878906,49.150001525878906,53.70000076293945,46.599998474121094,50.400001525878906,125309,2021-04-19
2021-04-26,47.04999923706055,47.04999923706055,51.0,44.45000076293945,50.95000076293945,143866,2021-04-26
2021-05-03,44.25,44.25,47.95000076293945,43.54999923706055,46.04999923706055,53305,2021-05-03
2021-05-10,44.25,44.25,45.900001525878906,42.0,42.650001525878906,40210,2021-05-10
